Time,Sat Nov  9 15:34:24 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,27.11
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1452,1534
338.1,1410,1487
338.5,1556,1640
339,1442,1517
339.4,1483,1563
339.9,1377,1450
340.3,1575,1657
340.8,1573,1651
341.3,1277,1360
341.7,1482,1559
342.2,1567,1650
342.6,1457,1540
343.1,1532,1614
343.5,1553,1632
344,1556,1636
344.5,1504,1587
344.9,1495,1576
345.4,1488,1571
345.8,1478,1565
346.3,1544,1628
346.7,1526,1611
347.2,1429,1515
347.7,1515,1598
348.1,1493,1572
348.6,1357,1436
349,1563,1636
349.5,1500,1581
349.9,1559,1642
350.4,1438,1512
350.9,1501,1582
351.3,1572,1651
351.8,1524,1608
352.2,1562,1647
352.7,1471,1549
353.1,1475,1562
353.6,1536,1620
354.1,1513,1595
354.5,1430,1510
355,1436,1513
355.4,1523,1603
355.9,1528,1609
356.3,1552,1626
356.8,1510,1593
357.3,1547,1629
357.7,1504,1583
358.2,1565,1641
358.6,1516,1599
359.1,1567,1651
359.5,1520,1601
360,1496,1564
360.5,1549,1638
360.9,1518,1603
361.4,1500,1579
361.8,1563,1644
362.3,1463,1549
362.7,1456,1538
363.2,1502,1588
363.7,1549,1624
364.1,1555,1641
364.6,1541,1618
365,1422,1503
365.5,1370,1446
366,1238,1303
366.4,1442,1524
366.9,1487,1571
367.3,1543,1622
367.8,1573,1651
368.2,1571,1662
368.7,1436,1513
369.2,1503,1585
369.6,1527,1608
370.1,1535,1611
370.5,1525,1605
371,1525,1606
371.5,1430,1508
371.9,1422,1504
372.4,1499,1576
372.8,1512,1594
373.3,1522,1608
373.8,1526,1607
374.2,1555,1635
374.7,1538,1620
375.1,1495,1571
375.6,1557,1640
376,1513,1587
376.5,1461,1540
377,1545,1627
377.4,1555,1639
377.9,1472,1554
378.3,1526,1609
378.8,1590,1661
379.3,1560,1644
379.7,1520,1606
380.2,1522,1603
380.6,1584,1667
381.1,1526,1612
381.6,1540,1618
382,1524,1607
382.5,1537,1619
382.9,1546,1628
383.4,1567,1646
383.9,1491,1573
384.3,1505,1590
384.8,1521,1607
385.2,1479,1560
385.7,1475,1554
386.2,1578,1650
386.6,1515,1599
387.1,1428,1512
387.5,1547,1632
388,1556,1639
388.5,1412,1489
388.9,1582,1663
389.4,1573,1657
389.8,1546,1625
390.3,1438,1515
390.8,1538,1620
391.2,1518,1603
391.7,1500,1579
392.1,1533,1609
392.6,1494,1578
393.1,1534,1613
393.5,1468,1546
394,1591,1672
394.4,1288,1373
394.9,1543,1623
395.4,1543,1623
395.8,1574,1654
396.3,1557,1641
396.7,1503,1583
397.2,1553,1634
397.7,1490,1561
398.1,1535,1614
398.6,1403,1474
399,1570,1652
399.5,1509,1591
400,1567,1649
400.4,1561,1644
400.9,1558,1640
401.3,1558,1637
401.8,1522,1601
402.3,1514,1599
402.7,1521,1602
403.2,1533,1605
403.6,1503,1585
404.1,1506,1590
404.6,1525,1606
405,1529,1610
405.5,1539,1619
406,1504,1584
406.4,1464,1543
406.9,1567,1649
407.3,1531,1613
407.8,1513,1597
408.3,1558,1643
408.7,1356,1436
409.2,1557,1638
409.6,1520,1601
410.1,1559,1639
410.6,1555,1638
411,1503,1581
411.5,1470,1554
412,1512,1595
412.4,1575,1657
412.9,1555,1632
413.3,1584,1663
413.8,1514,1598
414.3,1503,1587
414.7,1540,1620
415.2,1546,1628
415.6,1541,1623
416.1,1519,1603
416.6,1556,1643
417,1595,1673
417.5,1480,1560
418,1557,1638
418.4,1531,1613
418.9,1323,1395
419.3,1442,1527
419.8,1556,1638
420.3,1550,1631
420.7,1460,1533
421.2,1472,1549
421.7,1550,1631
422.1,1377,1456
422.6,1495,1578
423,1547,1633
423.5,1577,1655
424,1498,1575
424.4,1490,1572
424.9,1583,1662
425.4,1562,1635
425.8,1525,1606
426.3,1418,1501
426.7,1562,1648
427.2,1551,1636
427.7,1517,1596
428.1,1494,1578
428.6,1481,1565
429.1,1567,1649
429.5,1493,1581
430,1539,1620
430.4,1618,1699
430.9,1562,1647
431.4,1519,1603
431.8,1548,1630
432.3,1541,1627
432.8,1582,1666
433.2,1466,1548
433.7,1476,1561
434.1,1547,1629
434.6,1579,1659
435.1,1471,1552
435.5,1555,1637
436,1522,1599
436.5,1495,1580
436.9,1459,1547
