Time,Sat Nov  9 15:33:14 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.37
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1453,1529
338.1,1413,1492
338.5,1553,1627
339,1444,1515
339.4,1483,1560
339.9,1382,1453
340.3,1571,1644
340.8,1569,1644
341.3,1286,1358
341.7,1482,1552
342.2,1563,1638
342.6,1459,1537
343.1,1530,1600
343.5,1550,1625
344,1553,1627
344.5,1503,1576
344.9,1494,1572
345.4,1488,1566
345.8,1478,1554
346.3,1541,1616
346.7,1524,1602
347.2,1431,1509
347.7,1514,1587
348.1,1492,1563
348.6,1363,1431
349,1559,1627
349.5,1499,1574
349.9,1555,1640
350.4,1440,1508
350.9,1500,1570
351.3,1568,1642
351.8,1523,1600
352.2,1559,1639
352.7,1472,1544
353.1,1475,1556
353.6,1534,1609
354.1,1512,1584
354.5,1432,1508
355,1438,1508
355.4,1521,1597
355.9,1526,1606
356.3,1548,1621
356.8,1509,1588
357.3,1544,1618
357.7,1503,1575
358.2,1561,1630
358.6,1515,1594
359.1,1563,1637
359.5,1518,1592
360,1495,1561
360.5,1546,1624
360.9,1516,1592
361.4,1499,1571
361.8,1559,1633
362.3,1464,1539
362.7,1457,1528
363.2,1501,1581
363.7,1546,1616
364.1,1552,1630
364.6,1538,1612
365,1424,1497
365.5,1375,1449
366,1249,1305
366.4,1444,1521
366.9,1487,1564
367.3,1540,1612
367.8,1569,1645
368.2,1567,1650
368.7,1438,1514
369.2,1502,1575
369.6,1525,1601
370.1,1533,1605
370.5,1523,1600
371,1523,1596
371.5,1432,1504
371.9,1425,1496
372.4,1498,1573
372.8,1510,1585
373.3,1521,1593
373.8,1524,1601
374.2,1552,1625
374.7,1535,1611
375.1,1494,1568
375.6,1554,1629
376,1512,1580
376.5,1462,1536
377,1542,1610
377.4,1552,1625
377.9,1472,1546
378.3,1524,1596
378.8,1585,1654
379.3,1557,1633
379.7,1518,1589
380.2,1521,1598
380.6,1579,1654
381.1,1524,1604
381.6,1537,1615
382,1522,1595
382.5,1535,1613
382.9,1544,1617
383.4,1563,1639
383.9,1491,1573
384.3,1504,1581
384.8,1519,1597
385.2,1479,1556
385.7,1476,1550
386.2,1574,1636
386.6,1513,1593
387.1,1431,1504
387.5,1544,1621
388,1553,1627
388.5,1415,1492
388.9,1577,1655
389.4,1569,1643
389.8,1543,1616
390.3,1440,1509
390.8,1535,1609
391.2,1516,1590
391.7,1500,1573
392.1,1531,1597
392.6,1494,1569
393.1,1532,1607
393.5,1469,1536
394,1586,1664
394.4,1297,1377
394.9,1540,1609
395.4,1541,1607
395.8,1570,1641
396.3,1554,1633
396.7,1502,1577
397.2,1550,1626
397.7,1489,1548
398.1,1533,1608
398.6,1406,1469
399,1566,1640
399.5,1508,1582
400,1563,1637
400.4,1557,1633
400.9,1555,1630
