x=sensor temperature [°C], y= Integrationtime [ms], z=counts
NOTE:in the raw data .csv files Integrationtime is given in microseconds instead of milliseconds
thus the Integrationtime has to be devided by 1000 before using it as "y" with this calibration file 
z(x,y)= p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
wvlngth	adjstRsq	p00	p10	p01	p20	p11	p30	p21
345.367000	9.972730e-01	1433.571833	8.187289e+00	0.021717	-3.302766e-01	-0.002553	4.184567e-03	0.000084	
345.824000	9.965233e-01	1430.570513	8.646926e+00	0.020293	-3.498010e-01	-0.002427	4.452906e-03	0.000078	
346.281000	9.989122e-01	1409.863320	1.134186e+01	0.027646	-4.566602e-01	-0.002982	5.818771e-03	0.000106	
346.738000	9.986054e-01	1420.182193	9.972780e+00	0.025213	-3.986868e-01	-0.002756	5.048024e-03	0.000097	
347.194000	9.862250e-01	1436.043008	7.906408e+00	0.015401	-3.195216e-01	-0.002098	4.077472e-03	0.000060	
347.651000	9.981776e-01	1406.511734	1.168645e+01	0.026532	-4.721419e-01	-0.003020	6.034703e-03	0.000101	
348.108000	9.970613e-01	1420.636069	9.851318e+00	0.020041	-4.009212e-01	-0.002466	5.126717e-03	0.000085	
348.565000	9.770578e-01	1441.792080	7.241372e+00	0.011101	-2.911735e-01	-0.002311	3.666602e-03	0.000053	
349.022000	9.989110e-01	1416.555143	1.042681e+01	0.028637	-4.209331e-01	-0.003079	5.371153e-03	0.000113	
349.480000	9.975613e-01	1420.489473	9.822179e+00	0.022655	-3.922021e-01	-0.002636	4.965804e-03	0.000088	
349.937000	9.990925e-01	1412.846824	1.083985e+01	0.028423	-4.368684e-01	-0.002968	5.555077e-03	0.000109	
350.394000	9.919659e-01	1423.629734	9.441648e+00	0.018425	-3.765711e-01	-0.002804	4.740381e-03	0.000082	
350.851000	9.974387e-01	1425.517114	9.314876e+00	0.023268	-3.734455e-01	-0.002896	4.719798e-03	0.000096	
351.308000	9.990628e-01	1410.362764	1.103240e+01	0.030462	-4.392854e-01	-0.003146	5.547192e-03	0.000116	
351.765000	9.982374e-01	1418.734421	9.884394e+00	0.024697	-3.918780e-01	-0.002655	4.930937e-03	0.000094	
352.223000	9.989223e-01	1399.524517	1.226619e+01	0.030766	-4.867058e-01	-0.003173	6.149626e-03	0.000114	
352.680000	9.962765e-01	1414.523364	1.066453e+01	0.022260	-4.294203e-01	-0.002762	5.455788e-03	0.000086	
353.137000	9.956592e-01	1431.225626	8.527201e+00	0.020011	-3.391665e-01	-0.002326	4.250900e-03	0.000075	
353.595000	9.988089e-01	1419.000172	1.006814e+01	0.025731	-4.037214e-01	-0.002817	5.118847e-03	0.000102	
354.052000	9.980666e-01	1414.929253	1.035989e+01	0.025768	-4.093284e-01	-0.002997	5.131162e-03	0.000100	
354.510000	9.854381e-01	1412.508032	1.082518e+01	0.019605	-4.351038e-01	-0.002608	5.540178e-03	0.000072	
354.967000	9.891943e-01	1424.382554	9.366734e+00	0.017026	-3.756148e-01	-0.002305	4.770303e-03	0.000066	
355.425000	9.984818e-01	1420.071436	9.922397e+00	0.025050	-3.994263e-01	-0.002953	5.072695e-03	0.000102	
355.882000	9.984667e-01	1421.273532	9.690908e+00	0.024720	-3.847605e-01	-0.002684	4.833079e-03	0.000095	
356.340000	9.988911e-01	1411.043575	1.112523e+01	0.028579	-4.500634e-01	-0.003068	5.768170e-03	0.000110	
356.797000	9.979431e-01	1430.268608	8.718959e+00	0.021748	-3.519203e-01	-0.002464	4.466271e-03	0.000086	
357.255000	9.988954e-01	1405.020013	1.196039e+01	0.028611	-4.839703e-01	-0.003123	6.204545e-03	0.000110	
357.713000	9.976156e-01	1406.708247	1.143345e+01	0.024535	-4.526631e-01	-0.002809	5.693099e-03	0.000093	
358.170000	9.988232e-01	1407.183111	1.159746e+01	0.029754	-4.667036e-01	-0.003172	5.952011e-03	0.000116	
358.628000	9.983700e-01	1422.093523	9.754385e+00	0.022895	-3.925439e-01	-0.002580	4.983789e-03	0.000090	
359.086000	9.990722e-01	1407.426465	1.136657e+01	0.030179	-4.550453e-01	-0.003184	5.745378e-03	0.000117	
359.544000	9.983739e-01	1424.889178	9.323084e+00	0.024039	-3.734397e-01	-0.002709	4.722026e-03	0.000095	
360.002000	9.978960e-01	1440.075265	7.621346e+00	0.022704	-3.130375e-01	-0.003017	4.035653e-03	0.000099	
360.459000	9.988010e-01	1414.060215	1.065617e+01	0.025929	-4.260731e-01	-0.002796	5.389861e-03	0.000104	
360.917000	9.983796e-01	1418.176982	1.011496e+01	0.024163	-4.062433e-01	-0.002651	5.171238e-03	0.000092	
361.375000	9.974894e-01	1408.715021	1.134638e+01	0.023937	-4.544102e-01	-0.002967	5.783086e-03	0.000098	
361.833000	9.989176e-01	1405.154023	1.163743e+01	0.029494	-4.619209e-01	-0.003048	5.807935e-03	0.000112	
362.291000	9.955043e-01	1426.507199	9.043032e+00	0.020625	-3.604702e-01	-0.002619	4.540351e-03	0.000081	
362.749000	9.951240e-01	1417.688322	1.006392e+01	0.020990	-4.013825e-01	-0.002965	5.060741e-03	0.000091	
363.207000	9.976025e-01	1414.688645	1.044160e+01	0.022884	-4.158661e-01	-0.002541	5.246005e-03	0.000085	
363.665000	9.988234e-01	1418.381124	9.940792e+00	0.027047	-3.983897e-01	-0.002859	5.022875e-03	0.000104	
364.124000	9.989158e-01	1421.752374	9.733586e+00	0.027232	-3.929674e-01	-0.002822	4.977053e-03	0.000105	
364.582000	9.986424e-01	1406.563416	1.163059e+01	0.027129	-4.704000e-01	-0.002927	6.021171e-03	0.000104	
365.040000	9.783365e-01	1436.823115	7.813044e+00	0.014318	-3.144764e-01	-0.002158	3.977947e-03	0.000060	
365.498000	9.691414e-01	1420.293071	9.923253e+00	0.015167	-4.004824e-01	-0.002847	5.099508e-03	0.000069	
365.957000	9.981278e-01	1421.126308	9.937395e+00	0.003855	-4.081633e-01	-0.002972	5.248983e-03	0.000051	
366.415000	9.908966e-01	1429.590253	8.642956e+00	0.016928	-3.453205e-01	-0.002399	4.351948e-03	0.000071	
366.873000	9.972772e-01	1418.763749	1.011984e+01	0.020978	-4.093877e-01	-0.002481	5.240230e-03	0.000082	
367.332000	9.988644e-01	1416.222792	1.034071e+01	0.027707	-4.126937e-01	-0.003179	5.206751e-03	0.000112	
367.790000	9.992248e-01	1409.218508	1.118719e+01	0.030668	-4.465176e-01	-0.003203	5.626908e-03	0.000118	
368.248000	9.990032e-01	1412.844453	1.087373e+01	0.030135	-4.406606e-01	-0.003102	5.653355e-03	0.000115	
368.707000	9.884614e-01	1419.860991	9.819574e+00	0.018413	-3.912767e-01	-0.002480	4.930733e-03	0.000070	
369.165000	9.979941e-01	1428.076750	9.059741e+00	0.021933	-3.706811e-01	-0.002566	4.755959e-03	0.000088	
369.624000	9.985248e-01	1411.937854	1.089187e+01	0.025108	-4.361659e-01	-0.002728	5.540878e-03	0.000095	
370.083000	9.986259e-01	1417.583769	1.021986e+01	0.027114	-4.092615e-01	-0.003043	5.198007e-03	0.000106	
370.541000	9.983673e-01	1421.507936	9.748925e+00	0.025936	-3.901774e-01	-0.002863	4.937885e-03	0.000099	
371.000000	9.984349e-01	1404.460088	1.179752e+01	0.026222	-4.724730e-01	-0.002956	6.004473e-03	0.000102	
371.458000	9.903074e-01	1420.154222	9.669511e+00	0.018721	-3.859187e-01	-0.002999	4.858857e-03	0.000087	
371.917000	9.856281e-01	1433.574005	8.122199e+00	0.015791	-3.226830e-01	-0.002556	4.048124e-03	0.000073	
372.376000	9.977966e-01	1430.142717	8.700240e+00	0.023438	-3.484722e-01	-0.002778	4.393763e-03	0.000092	
372.835000	9.981512e-01	1415.566006	1.044413e+01	0.023941	-4.196054e-01	-0.002725	5.334280e-03	0.000093	
373.293000	9.983230e-01	1394.256813	1.313709e+01	0.032145	-5.231569e-01	-0.003578	6.611853e-03	0.000116	
373.752000	9.982182e-01	1411.285991	1.082967e+01	0.025058	-4.295838e-01	-0.002829	5.412479e-03	0.000099	
374.211000	9.989877e-01	1403.290533	1.193638e+01	0.028459	-4.792532e-01	-0.003085	6.102586e-03	0.000112	
374.670000	9.982086e-01	1407.408872	1.136701e+01	0.026833	-4.515649e-01	-0.002848	5.707645e-03	0.000100	
375.129000	9.972504e-01	1432.201210	8.378958e+00	0.022223	-3.355058e-01	-0.002651	4.241122e-03	0.000088	
375.588000	9.990010e-01	1403.972408	1.186783e+01	0.031062	-4.730522e-01	-0.003211	5.984917e-03	0.000114	
376.047000	9.980952e-01	1403.162052	1.184428e+01	0.025669	-4.691741e-01	-0.003033	5.922109e-03	0.000101	
376.506000	9.950152e-01	1420.658570	9.855465e+00	0.020409	-4.011109e-01	-0.002586	5.127997e-03	0.000079	
376.965000	9.987811e-01	1396.770998	1.260354e+01	0.029902	-4.992936e-01	-0.003272	6.276935e-03	0.000114	
377.424000	9.989717e-01	1405.855407	1.148930e+01	0.028005	-4.547524e-01	-0.002988	5.729421e-03	0.000108	
377.883000	9.961025e-01	1422.666502	9.577071e+00	0.020661	-3.870927e-01	-0.002516	4.941225e-03	0.000079	
378.343000	9.983776e-01	1425.419759	9.270075e+00	0.024583	-3.735708e-01	-0.002721	4.745063e-03	0.000096	
378.802000	9.981100e-01	1270.885215	2.807748e+01	0.055355	-1.106560e+00	-0.005506	1.391035e-02	0.000172	
379.261000	9.987509e-01	1399.945745	1.220760e+01	0.029485	-4.869862e-01	-0.002986	6.189360e-03	0.000109	
379.720000	9.982596e-01	1407.144424	1.150235e+01	0.026343	-4.589520e-01	-0.002953	5.814331e-03	0.000101	
380.180000	9.981261e-01	1420.716976	9.868217e+00	0.022529	-3.991920e-01	-0.002466	5.111144e-03	0.000089	
380.639000	9.991173e-01	1398.537920	1.252016e+01	0.032096	-5.017979e-01	-0.003335	6.396825e-03	0.000124	
381.098000	9.983366e-01	1422.921799	9.564445e+00	0.024219	-3.866259e-01	-0.002619	4.938132e-03	0.000094	
381.558000	9.988285e-01	1421.446324	9.800135e+00	0.026240	-3.942469e-01	-0.002804	5.010110e-03	0.000101	
382.017000	9.984583e-01	1422.577563	9.484689e+00	0.024461	-3.783418e-01	-0.002744	4.754691e-03	0.000096	
382.477000	9.987898e-01	1416.147549	1.018525e+01	0.026659	-4.036213e-01	-0.002874	5.078790e-03	0.000102	
382.936000	9.989342e-01	1410.793528	1.112545e+01	0.027468	-4.461004e-01	-0.002960	5.662419e-03	0.000106	
383.396000	9.991420e-01	1412.955825	1.083013e+01	0.029754	-4.340805e-01	-0.003151	5.515887e-03	0.000116	
383.855000	9.973961e-01	1418.046382	1.013936e+01	0.022011	-4.087501e-01	-0.002599	5.224211e-03	0.000086	
384.315000	9.980415e-01	1435.658037	8.051996e+00	0.021732	-3.280365e-01	-0.002494	4.202706e-03	0.000086	
384.775000	9.984810e-01	1413.802195	1.072895e+01	0.024315	-4.304759e-01	-0.002744	5.484601e-03	0.000096	
385.234000	9.954517e-01	1415.764307	1.046126e+01	0.021182	-4.182068e-01	-0.002540	5.283572e-03	0.000081	
385.694000	9.960439e-01	1430.081300	8.807173e+00	0.020104	-3.587528e-01	-0.002519	4.604652e-03	0.000081	
386.154000	9.989484e-01	1410.923098	1.090103e+01	0.028616	-4.330229e-01	-0.003047	5.458744e-03	0.000116	
386.613000	9.982490e-01	1424.191601	9.342659e+00	0.023783	-3.731801e-01	-0.002690	4.729952e-03	0.000093	
387.073000	9.869947e-01	1417.519594	1.003828e+01	0.017217	-3.996685e-01	-0.002429	5.039336e-03	0.000069	
387.533000	9.986176e-01	1397.892411	1.242943e+01	0.028530	-5.014119e-01	-0.002943	6.337263e-03	0.000106	
387.993000	9.986804e-01	1407.782070	1.130060e+01	0.029063	-4.537921e-01	-0.003012	5.774141e-03	0.000109	
388.453000	9.723146e-01	1437.799629	7.565600e+00	0.016105	-3.019161e-01	-0.002420	3.795880e-03	0.000065	
388.913000	9.993486e-01	1414.977367	1.050636e+01	0.028407	-4.250674e-01	-0.002950	5.448110e-03	0.000115	
389.373000	9.990587e-01	1393.859035	1.303756e+01	0.030680	-5.196340e-01	-0.003225	6.585828e-03	0.000119	
389.833000	9.985521e-01	1389.777879	1.350488e+01	0.031318	-5.343041e-01	-0.003306	6.744103e-03	0.000114	
390.293000	9.927612e-01	1424.553504	9.311231e+00	0.019624	-3.750675e-01	-0.002929	4.761275e-03	0.000086	
390.753000	9.987438e-01	1410.952249	1.108448e+01	0.028630	-4.463163e-01	-0.003204	5.682430e-03	0.000112	
391.213000	9.980606e-01	1402.539158	1.193895e+01	0.025395	-4.779707e-01	-0.002878	6.055879e-03	0.000098	
391.673000	9.976828e-01	1410.185093	1.108861e+01	0.023373	-4.431133e-01	-0.002760	5.613842e-03	0.000092	
392.133000	9.987084e-01	1415.442615	1.048955e+01	0.026350	-4.196096e-01	-0.003058	5.309612e-03	0.000107	
392.593000	9.976038e-01	1428.726171	8.896205e+00	0.022191	-3.606586e-01	-0.002534	4.617593e-03	0.000084	
393.054000	9.987823e-01	1416.011119	1.054489e+01	0.025667	-4.245521e-01	-0.002865	5.374609e-03	0.000102	
393.514000	9.963042e-01	1417.920721	1.041262e+01	0.022085	-4.216648e-01	-0.002891	5.386954e-03	0.000089	
393.974000	9.992418e-01	1400.951905	1.229123e+01	0.032126	-4.892709e-01	-0.003286	6.193291e-03	0.000124	
394.435000	9.975111e-01	1464.570461	4.454072e+00	0.001674	-1.831460e-01	-0.001276	2.322631e-03	0.000011	
394.895000	9.988948e-01	1407.992578	1.139769e+01	0.028016	-4.592509e-01	-0.003088	5.867150e-03	0.000109	
395.355000	9.988251e-01	1408.922291	1.127947e+01	0.028140	-4.514470e-01	-0.003145	5.706425e-03	0.000110	
395.816000	9.991244e-01	1405.730587	1.175394e+01	0.030580	-4.749159e-01	-0.003137	6.080583e-03	0.000117	
396.276000	9.989711e-01	1407.524866	1.137101e+01	0.028035	-4.533407e-01	-0.002884	5.731821e-03	0.000106	
396.737000	9.975999e-01	1419.349777	1.006602e+01	0.025123	-4.047850e-01	-0.002932	5.148676e-03	0.000096	
397.197000	9.978562e-01	1411.265158	1.093344e+01	0.029230	-4.328041e-01	-0.003118	5.439378e-03	0.000111	
397.658000	9.962223e-01	1373.826764	1.536669e+01	0.032898	-6.054727e-01	-0.003805	7.603132e-03	0.000112	
398.119000	9.984437e-01	1410.765762	1.087986e+01	0.025533	-4.311988e-01	-0.002797	5.424323e-03	0.000099	
398.579000	9.808026e-01	1421.958713	9.628304e+00	0.014493	-3.871361e-01	-0.003091	4.925223e-03	0.000087	
399.040000	9.991063e-01	1406.634885	1.152786e+01	0.029069	-4.634767e-01	-0.002981	5.917912e-03	0.000112	
399.501000	9.980856e-01	1432.680115	8.245864e+00	0.021680	-3.307952e-01	-0.002558	4.181837e-03	0.000090	
399.961000	9.989994e-01	1401.901342	1.208958e+01	0.030163	-4.849981e-01	-0.003138	6.160706e-03	0.000115	
400.422000	9.989619e-01	1396.208176	1.284530e+01	0.029669	-5.127026e-01	-0.003076	6.507302e-03	0.000111	
400.883000	9.989836e-01	1415.110505	1.041911e+01	0.028857	-4.140756e-01	-0.002921	5.208133e-03	0.000107	
401.344000	9.989445e-01	1395.085351	1.303754e+01	0.031080	-5.220165e-01	-0.003404	6.639705e-03	0.000120	
401.805000	9.985338e-01	1412.365768	1.090756e+01	0.024960	-4.377222e-01	-0.002880	5.563639e-03	0.000100	
402.265000	9.978697e-01	1409.416569	1.126660e+01	0.023440	-4.531424e-01	-0.002592	5.788083e-03	0.000090	
402.726000	9.982868e-01	1412.512795	1.076692e+01	0.024817	-4.279042e-01	-0.002753	5.395032e-03	0.000095	
403.187000	9.978699e-01	1443.426155	7.198791e+00	0.022014	-2.942929e-01	-0.002654	3.760242e-03	0.000098	
403.648000	9.979843e-01	1430.549741	8.605437e+00	0.021368	-3.455190e-01	-0.002395	4.361160e-03	0.000083	
404.109000	9.981045e-01	1425.997880	9.173738e+00	0.022744	-3.677806e-01	-0.002609	4.660220e-03	0.000088	
404.571000	9.985275e-01	1406.363668	1.156403e+01	0.027424	-4.632666e-01	-0.003069	5.875631e-03	0.000104	
405.032000	9.985296e-01	1420.218920	9.876939e+00	0.025103	-3.997478e-01	-0.002846	5.100989e-03	0.000101	
405.493000	9.985645e-01	1423.032660	9.412968e+00	0.025123	-3.768451e-01	-0.002727	4.756112e-03	0.000099	
405.954000	9.979308e-01	1416.138472	1.022114e+01	0.023371	-4.055925e-01	-0.002691	5.105266e-03	0.000090	
406.415000	9.948245e-01	1414.740903	1.054643e+01	0.020175	-4.223995e-01	-0.002541	5.356035e-03	0.000078	
406.876000	9.991133e-01	1399.062626	1.246169e+01	0.030885	-4.986196e-01	-0.003244	6.328122e-03	0.000118	
407.338000	9.984107e-01	1422.228901	9.639234e+00	0.023688	-3.890122e-01	-0.002589	4.966087e-03	0.000094	
407.799000	9.983614e-01	1419.489466	9.895081e+00	0.024554	-3.951768e-01	-0.002720	5.004076e-03	0.000093	
408.260000	9.990396e-01	1421.888133	9.675697e+00	0.027717	-3.869963e-01	-0.002884	4.894559e-03	0.000107	
408.722000	9.753981e-01	1426.267472	9.305840e+00	0.011289	-3.788081e-01	-0.002549	4.869183e-03	0.000060	
409.183000	9.987177e-01	1405.240190	1.181431e+01	0.030118	-4.731711e-01	-0.003190	6.011016e-03	0.000113	
409.644000	9.983427e-01	1428.081542	8.829429e+00	0.024311	-3.546915e-01	-0.002763	4.502883e-03	0.000095	
410.106000	9.989732e-01	1415.974564	1.030472e+01	0.027540	-4.113767e-01	-0.002865	5.203052e-03	0.000107	
410.567000	9.989648e-01	1401.503598	1.226372e+01	0.029144	-4.958263e-01	-0.003178	6.360407e-03	0.000114	
411.029000	9.979246e-01	1421.642317	9.856301e+00	0.023541	-4.003437e-01	-0.002747	5.132176e-03	0.000092	
411.491000	9.961433e-01	1418.468971	1.017330e+01	0.020840	-4.106446e-01	-0.002701	5.234027e-03	0.000085	
411.952000	9.981601e-01	1429.897386	8.626309e+00	0.022761	-3.453986e-01	-0.002595	4.352356e-03	0.000090	
412.414000	9.991764e-01	1402.274695	1.197849e+01	0.031095	-4.786834e-01	-0.003246	6.026438e-03	0.000120	
412.875000	9.989080e-01	1397.955604	1.259135e+01	0.030919	-5.033055e-01	-0.003326	6.386846e-03	0.000116	
413.337000	9.991245e-01	1388.236977	1.373613e+01	0.035214	-5.460698e-01	-0.003561	6.915385e-03	0.000127	
413.799000	9.982275e-01	1423.898358	9.385690e+00	0.023369	-3.736452e-01	-0.002652	4.707587e-03	0.000092	
414.261000	9.977746e-01	1418.047052	1.008310e+01	0.023534	-4.034662e-01	-0.002640	5.112089e-03	0.000089	
414.722000	9.984314e-01	1407.351555	1.141832e+01	0.028053	-4.560433e-01	-0.003021	5.784326e-03	0.000106	
415.184000	9.988809e-01	1421.910169	9.717534e+00	0.026236	-3.921277e-01	-0.002758	4.995018e-03	0.000101	
415.646000	9.985593e-01	1409.595076	1.098522e+01	0.027405	-4.406744e-01	-0.002934	5.606318e-03	0.000104	
416.108000	9.983303e-01	1396.762071	1.251455e+01	0.027405	-4.963779e-01	-0.003148	6.270632e-03	0.000105	
416.570000	9.990406e-01	1408.990546	1.107288e+01	0.029593	-4.461635e-01	-0.003186	5.596812e-03	0.000115	
417.032000	9.993202e-01	1382.151696	1.441250e+01	0.035376	-5.707681e-01	-0.003743	7.207868e-03	0.000136	
417.494000	9.963505e-01	1413.398424	1.066978e+01	0.021550	-4.285635e-01	-0.002677	5.460261e-03	0.000086	
417.956000	9.987307e-01	1415.258454	1.050972e+01	0.028168	-4.257288e-01	-0.002975	5.453679e-03	0.000109	
418.418000	9.985927e-01	1403.125818	1.184906e+01	0.028220	-4.724930e-01	-0.003297	5.968279e-03	0.000113	
418.880000	9.923563e-01	1436.621476	7.918456e+00	0.007641	-3.227932e-01	-0.002451	4.140714e-03	0.000052	
419.342000	9.915246e-01	1435.756472	7.876291e+00	0.017087	-3.159213e-01	-0.002251	4.005511e-03	0.000066	
419.804000	9.990053e-01	1393.264071	1.315324e+01	0.030416	-5.263756e-01	-0.003234	6.687183e-03	0.000115	
420.267000	9.985503e-01	1412.628832	1.074538e+01	0.027457	-4.308968e-01	-0.002884	5.474865e-03	0.000104	
420.729000	9.948816e-01	1411.643146	1.090999e+01	0.020872	-4.384791e-01	-0.002846	5.576792e-03	0.000087	
421.191000	9.964543e-01	1411.309020	1.093890e+01	0.021493	-4.391597e-01	-0.002847	5.589013e-03	0.000090	
421.653000	9.988015e-01	1404.255603	1.169474e+01	0.029168	-4.668140e-01	-0.003052	5.912997e-03	0.000109	
422.116000	9.464158e-01	1435.283215	8.006119e+00	0.011799	-3.243257e-01	-0.002040	4.151562e-03	0.000048	
422.578000	9.970406e-01	1417.919089	1.013960e+01	0.022995	-4.095013e-01	-0.002668	5.230506e-03	0.000088	
423.041000	9.989231e-01	1408.163412	1.141421e+01	0.028072	-4.596143e-01	-0.003139	5.862473e-03	0.000112	
423.503000	9.992448e-01	1401.885039	1.202541e+01	0.031356	-4.795779e-01	-0.003231	6.067597e-03	0.000119	
423.965000	9.975793e-01	1401.072281	1.216341e+01	0.025349	-4.884155e-01	-0.003013	6.214434e-03	0.000098	
424.428000	9.975858e-01	1422.208908	9.755500e+00	0.022413	-3.987389e-01	-0.002666	5.132546e-03	0.000088	
424.890000	9.992039e-01	1401.535625	1.209846e+01	0.031571	-4.823239e-01	-0.003228	6.100336e-03	0.000120	
425.353000	9.990180e-01	1412.534606	1.093723e+01	0.026990	-4.405356e-01	-0.002886	5.618014e-03	0.000108	
425.816000	9.982823e-01	1404.093728	1.165250e+01	0.025292	-4.615489e-01	-0.002778	5.818291e-03	0.000096	
426.278000	9.804638e-01	1425.177166	9.232777e+00	0.016093	-3.709582e-01	-0.002315	4.710949e-03	0.000063	
