Time,Mon Nov 25 14:47:18 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,28.63
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1449,1544
338.1,1403,1499
338.5,1564,1660
339,1439,1532
339.4,1483,1581
339.9,1367,1461
340.3,1584,1675
340.8,1582,1678
341.3,1257,1350
341.7,1482,1577
342.2,1575,1673
342.6,1455,1548
343.1,1537,1634
343.5,1560,1656
344,1563,1658
344.5,1506,1600
344.9,1496,1586
345.4,1489,1584
345.8,1477,1580
346.3,1550,1646
346.7,1530,1631
347.2,1424,1521
347.7,1518,1613
348.1,1494,1588
348.6,1345,1440
349,1570,1659
349.5,1502,1599
349.9,1566,1659
350.4,1434,1524
350.9,1503,1594
351.3,1580,1676
351.8,1529,1624
352.2,1570,1665
352.7,1470,1561
353.1,1474,1572
353.6,1541,1639
354.1,1516,1610
354.5,1425,1516
355,1432,1519
355.4,1527,1622
355.9,1532,1629
356.3,1558,1655
356.8,1513,1606
357.3,1553,1645
357.7,1506,1605
358.2,1573,1665
358.6,1520,1613
359.1,1575,1672
359.5,1524,1619
360,1497,1590
360.5,1556,1653
360.9,1522,1617
361.4,1502,1599
361.8,1571,1670
362.3,1461,1562
362.7,1453,1545
363.2,1504,1597
363.7,1555,1647
364.1,1563,1661
364.6,1547,1643
365,1416,1503
365.5,1359,1447
366,1215,1284
366.4,1439,1536
366.9,1488,1586
367.3,1549,1638
367.8,1581,1676
368.2,1580,1678
368.7,1432,1527
369.2,1505,1601
369.6,1531,1626
370.1,1540,1639
370.5,1529,1621
371,1529,1625
371.5,1425,1519
371.9,1417,1510
372.4,1500,1593
372.8,1515,1610
373.3,1527,1621
373.8,1531,1625
374.2,1563,1656
374.7,1543,1638
375.1,1496,1588
375.6,1565,1658
376,1516,1609
376.5,1459,1555
377,1551,1643
377.4,1562,1657
377.9,1471,1570
378.3,1530,1628
378.8,1601,1688
379.3,1568,1659
379.7,1523,1621
380.2,1527,1624
380.6,1594,1689
381.1,1531,1626
381.6,1545,1636
382,1528,1627
382.5,1543,1639
382.9,1553,1651
383.4,1575,1669
383.9,1492,1585
384.3,1508,1602
384.8,1525,1621
385.2,1479,1573
385.7,1475,1568
386.2,1587,1683
386.6,1518,1612
387.1,1423,1524
387.5,1553,1659
388,1564,1658
388.5,1406,1499
388.9,1591,1687
389.4,1582,1681
389.8,1552,1646
390.3,1434,1525
390.8,1543,1642
391.2,1521,1616
391.7,1502,1593
392.1,1538,1629
392.6,1496,1596
393.1,1539,1638
393.5,1467,1561
394,1602,1703
394.4,1270,1363
394.9,1549,1644
395.4,1549,1642
395.8,1583,1673
396.3,1565,1656
396.7,1505,1597
397.2,1560,1660
397.7,1491,1572
398.1,1541,1636
398.6,1395,1485
399,1579,1671
399.5,1511,1609
400,1575,1665
400.4,1568,1662
400.9,1566,1660
401.3,1565,1657
401.8,1526,1617
402.3,1518,1612
402.7,1525,1615
403.2,1538,1632
403.6,1505,1600
404.1,1509,1601
404.6,1530,1618
405,1533,1629
405.5,1544,1637
406,1506,1599
406.4,1463,1555
406.9,1575,1670
407.3,1536,1628
407.8,1517,1613
408.3,1565,1663
408.7,1344,1432
409.2,1564,1659
409.6,1524,1616
410.1,1567,1664
410.6,1563,1660
411,1505,1602
411.5,1469,1562
412,1515,1608
412.4,1584,1681
412.9,1562,1660
413.3,1594,1685
413.8,1517,1614
414.3,1505,1599
414.7,1546,1639
415.2,1553,1648
415.6,1547,1646
