Time,Wed Sep 25 13:09:07 2019
Serial Number,S10535
Integration time (microseconds),2000000
Sensor temperature,26.05
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1491,1511
338.1,1475,1493
338.5,1530,1551
339,1488,1506
339.4,1503,1518
339.9,1463,1480
340.3,1537,1554
340.8,1537,1561
341.3,1426,1440
341.7,1503,1520
342.2,1534,1552
342.6,1493,1513
343.1,1521,1547
343.5,1529,1548
344,1530,1549
344.5,1511,1527
344.9,1507,1528
345.4,1505,1526
345.8,1501,1522
346.3,1526,1546
346.7,1519,1540
347.2,1483,1502
347.7,1515,1538
348.1,1506,1531
348.6,1456,1471
349,1533,1553
349.5,1509,1532
349.9,1531,1549
350.4,1486,1505
350.9,1510,1526
351.3,1536,1558
351.8,1518,1537
352.2,1533,1556
352.7,1498,1519
353.1,1500,1524
353.6,1523,1541
354.1,1514,1530
354.5,1483,1503
355,1485,1502
355.4,1518,1534
355.9,1520,1539
356.3,1529,1552
356.8,1513,1535
357.3,1527,1543
357.7,1511,1533
358.2,1534,1551
358.6,1515,1535
359.1,1534,1555
359.5,1517,1537
360,1508,1526
360.5,1528,1549
360.9,1516,1535
361.4,1509,1530
361.8,1533,1550
362.3,1495,1517
362.7,1493,1515
363.2,1510,1529
363.7,1527,1549
364.1,1530,1554
364.6,1525,1543
365,1480,1500
365.5,1460,1480
366,1411,1425
366.4,1488,1507
366.9,1504,1525
367.3,1525,1544
367.8,1536,1558
368.2,1536,1557
368.7,1485,1505
369.2,1511,1535
369.6,1519,1541
370.1,1522,1544
370.5,1519,1539
371,1518,1539
371.5,1483,1500
371.9,1480,1498
372.4,1509,1529
372.8,1514,1533
373.3,1518,1539
373.8,1519,1539
374.2,1530,1547
374.7,1523,1546
375.1,1507,1529
375.6,1531,1554
376,1514,1534
376.5,1495,1515
377,1526,1546
377.4,1530,1548
377.9,1499,1525
378.3,1519,1537
378.8,1543,1559
379.3,1532,1554
379.7,1517,1535
380.2,1518,1540
380.6,1541,1566
381.1,1519,1537
