wvlngth,flux,group
750,27.49119691,1300lux
751,27.40966585,1300lux
752,27.68328473,1300lux
753,27.58278042,1300lux
754,27.75372413,1300lux
755,25.24000604,1300lux
756,25.24000604,1300lux
757,22.72628796,1300lux
758,19.89193059,1300lux
759,16.85326346,1300lux
760,13.89754928,1300lux
761,12.40923933,1300lux
762,12.33571353,1300lux
763,12.87360396,1300lux
764,14.63968268,1300lux
765,16.66862233,1300lux
766,19.01341403,1300lux
767,21.49219054,1300lux
768,23.33104768,1300lux
769,24.71610857,1300lux
770,25.69259611,1300lux
771,26.42218395,1300lux
772,27.06066041,1300lux
773,27.23120789,1300lux
774,27.49521547,1300lux
775,27.76041783,1300lux
776,27.65340348,1300lux
777,27.75847368,1300lux
778,27.79759839,1300lux
779,27.73608732,1300lux
780,27.87446374,1300lux
380,0.070065766,150lux
381,0.116196376,150lux
382,0.068633537,150lux
383,0.083752134,150lux
384,0.069630048,150lux
385,0.083003036,150lux
386,0.075931931,150lux
387,0.08391079,150lux
388,0.10413667,150lux
389,0.093635439,150lux
390,0.082033464,150lux
391,0.075707459,150lux
392,0.07790427,150lux
393,0.069927229,150lux
394,0.098008072,150lux
395,0.072658931,150lux
396,0.081880924,150lux
397,0.107810573,150lux
398,0.107810573,150lux
399,0.133740221,150lux
400,0.208685332,150lux
401,0.348228877,150lux
402,0.600630265,150lux
403,0.829091443,150lux
404,0.925789511,150lux
405,0.911104071,150lux
406,0.842214545,150lux
407,0.679273265,150lux
408,0.43815451,150lux
409,0.306572808,150lux
410,0.263692765,150lux
411,0.213715732,150lux
412,0.211854312,150lux
413,0.227343142,150lux
414,0.231361536,150lux
415,0.2341531,150lux
416,0.24791581,150lux
417,0.261948202,150lux
418,0.274870508,150lux
419,0.293780056,150lux
420,0.299135572,150lux
421,0.328966574,150lux
422,0.34218541,150lux
423,0.370889391,150lux
424,0.403444396,150lux
425,0.408411003,150lux
426,0.434661833,150lux
427,0.461448273,150lux
428,0.502269579,150lux
429,0.514552721,150lux
430,0.632054026,150lux
431,0.928289197,150lux
432,1.415448123,150lux
433,2.319351191,150lux
434,3.314630596,150lux
435,3.773090035,150lux
436,3.777599753,150lux
437,2.81835673,150lux
438,2.81835673,150lux
439,1.859113706,150lux
440,1.173215568,150lux
441,0.991964028,150lux
442,0.867116325,150lux
443,0.805628692,150lux
444,0.810013932,150lux
445,0.817008713,150lux
446,0.824003493,150lux
447,0.842265833,150lux
448,0.859001756,150lux
449,0.864467887,150lux
450,0.883397963,150lux
451,0.876194886,150lux
452,0.87567423,150lux
453,0.880112957,150lux
454,0.884551685,150lux
455,0.864345881,150lux
456,0.844936606,150lux
457,0.832191883,150lux
458,0.82952315,150lux
459,0.804841837,150lux
460,0.811319826,150lux
461,0.784795401,150lux
462,0.769167756,150lux
463,0.785993736,150lux
464,0.753507725,150lux
465,0.748715123,150lux
466,0.728099277,150lux
467,0.708998024,150lux
468,0.688447764,150lux
469,0.667775645,150lux
470,0.655253868,150lux
471,0.65873507,150lux
472,0.622964451,150lux
473,0.608131793,150lux
474,0.600192215,150lux
475,0.584609007,150lux
476,0.580680089,150lux
477,0.567947616,150lux
478,0.592287149,150lux
479,0.616626682,150lux
480,0.701934471,150lux
481,0.840128836,150lux
482,1.02314737,150lux
483,1.303700762,150lux
484,1.614758516,150lux
485,1.938959991,150lux
486,2.199163867,150lux
487,2.398789401,150lux
488,2.490775735,150lux
489,2.47336817,150lux
490,2.372946785,150lux
491,2.24217102,150lux
492,2.075186393,150lux
493,1.904954207,150lux
494,1.752467549,150lux
495,1.592250099,150lux
496,1.440135729,150lux
497,1.285592232,150lux
498,1.140804194,150lux
499,1.001038818,150lux
500,0.838637696,150lux
501,0.703289549,150lux
502,0.566208735,150lux
503,0.494840158,150lux
504,0.444818641,150lux
505,0.396718345,150lux
506,0.362252386,150lux
507,0.353837709,150lux
508,0.33986586,150lux
509,0.332491905,150lux
510,0.330192558,150lux
511,0.330072306,150lux
512,0.327144501,150lux
513,0.327820554,150lux
514,0.326694003,150lux
515,0.320933023,150lux
516,0.311478561,150lux
517,0.312960643,150lux
518,0.299908264,150lux
519,0.294269264,150lux
520,0.2964957,150lux
521,0.290731681,150lux
522,0.287206188,150lux
523,0.283680695,150lux
524,0.283278516,150lux
525,0.277467178,150lux
526,0.28005709,150lux
527,0.279387063,150lux
528,0.279007338,150lux
529,0.29698655,150lux
530,0.322854219,150lux
531,0.347258801,150lux
532,0.3855197,150lux
533,0.437786642,150lux
534,0.539520573,150lux
535,0.693964324,150lux
536,0.965379748,150lux
537,1.417558485,150lux
538,2.286460032,150lux
539,3.684140206,150lux
540,5.554896629,150lux
541,7.829228493,150lux
542,10.05453585,150lux
543,11.92859619,150lux
544,13.01690211,150lux
545,12.75294765,150lux
546,11.68741347,150lux
547,8.736140304,150lux
