Time,Wed Sep 25 13:10:04 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.47
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1453,1530
338.1,1413,1489
338.5,1554,1632
339,1444,1516
339.4,1483,1559
339.9,1381,1451
340.3,1572,1648
340.8,1570,1650
341.3,1285,1354
341.7,1482,1551
342.2,1564,1639
342.6,1458,1531
343.1,1530,1608
343.5,1550,1631
344,1553,1626
344.5,1503,1580
344.9,1494,1571
345.4,1488,1566
345.8,1478,1553
346.3,1542,1621
346.7,1524,1605
347.2,1431,1506
347.7,1514,1588
348.1,1492,1570
348.6,1362,1436
349,1559,1626
349.5,1499,1577
349.9,1556,1633
350.4,1439,1505
350.9,1500,1572
351.3,1568,1641
351.8,1523,1602
352.2,1559,1641
352.7,1472,1549
353.1,1475,1554
353.6,1534,1610
354.1,1512,1588
354.5,1432,1507
355,1438,1515
355.4,1522,1599
355.9,1526,1598
356.3,1549,1624
356.8,1509,1584
357.3,1544,1622
357.7,1503,1577
358.2,1562,1635
358.6,1515,1586
359.1,1564,1642
359.5,1519,1595
360,1495,1563
360.5,1547,1625
360.9,1517,1598
361.4,1500,1576
361.8,1560,1638
362.3,1464,1535
362.7,1457,1535
363.2,1501,1580
363.7,1546,1623
364.1,1553,1627
364.6,1539,1615
365,1424,1500
365.5,1374,1445
366,1247,1304
366.4,1444,1523
366.9,1487,1565
367.3,1540,1616
367.8,1569,1646
368.2,1568,1645
368.7,1438,1522
369.2,1502,1579
369.6,1525,1599
370.1,1533,1606
370.5,1523,1600
371,1523,1598
371.5,1432,1501
371.9,1424,1496
372.4,1498,1574
372.8,1511,1589
373.3,1521,1598
373.8,1525,1602
374.2,1553,1622
374.7,1535,1615
375.1,1494,1571
375.6,1554,1638
376,1512,1583
376.5,1461,1530
377,1543,1615
377.4,1552,1626
377.9,1472,1548
378.3,1524,1598
378.8,1586,1656
379.3,1557,1636
379.7,1518,1595
380.2,1521,1601
380.6,1580,1662
381.1,1525,1599
381.6,1537,1617
382,1522,1599
382.5,1535,1607
382.9,1544,1622
383.4,1563,1637
383.9,1491,1567
384.3,1504,1581
384.8,1519,1594
385.2,1479,1554
385.7,1476,1551
386.2,1574,1650
386.6,1514,1592
387.1,1430,1507
387.5,1544,1628
388,1554,1633
388.5,1415,1486
388.9,1578,1655
389.4,1570,1642
389.8,1543,1618
390.3,1440,1509
390.8,1536,1606
391.2,1516,1593
391.7,1500,1578
392.1,1531,1602
392.6,1494,1574
393.1,1532,1610
393.5,1469,1544
394,1587,1667
394.4,1296,1372
394.9,1540,1616
395.4,1541,1611
395.8,1571,1641
396.3,1554,1635
396.7,1502,1582
397.2,1550,1632
397.7,1489,1554
398.1,1533,1603
398.6,1406,1474
399,1567,1642
399.5,1508,1582
400,1563,1636
400.4,1558,1632
400.9,1555,1635
401.3,1555,1628
401.8,1520,1594
402.3,1513,1591
402.7,1520,1597
403.2,1531,1590
403.6,1502,1586
404.1,1505,1580
404.6,1524,1598
405,1527,1601
405.5,1536,1614
406,1503,1575
406.4,1465,1541
406.9,1563,1641
407.3,1529,1608
407.8,1512,1588
