Time,Wed Sep 25 13:09:14 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,25.94
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1454,1523
338.1,1415,1487
338.5,1551,1620
339,1445,1515
339.4,1483,1552
339.9,1384,1450
340.3,1569,1640
340.8,1567,1638
341.3,1291,1358
341.7,1482,1556
342.2,1561,1635
342.6,1459,1530
343.1,1529,1597
343.5,1548,1621
344,1551,1623
344.5,1503,1572
344.9,1494,1566
345.4,1487,1561
345.8,1478,1556
346.3,1540,1613
346.7,1523,1597
347.2,1433,1505
347.7,1513,1582
348.1,1492,1562
348.6,1366,1434
349,1557,1621
349.5,1499,1567
349.9,1553,1629
350.4,1441,1506
350.9,1500,1567
351.3,1565,1635
351.8,1521,1596
352.2,1557,1629
352.7,1472,1545
353.1,1475,1556
353.6,1532,1607
354.1,1511,1580
354.5,1433,1511
355,1439,1509
355.4,1521,1590
355.9,1525,1596
356.3,1547,1616
356.8,1508,1584
357.3,1542,1612
357.7,1502,1574
358.2,1559,1622
358.6,1514,1585
359.1,1561,1637
359.5,1517,1593
360,1495,1560
360.5,1545,1618
360.9,1515,1594
361.4,1499,1567
361.8,1557,1630
362.3,1464,1535
362.7,1457,1526
363.2,1501,1577
363.7,1544,1617
364.1,1550,1622
364.6,1537,1608
365,1426,1498
365.5,1377,1446
366,1254,1306
366.4,1445,1520
366.9,1487,1562
367.3,1539,1609
367.8,1566,1633
368.2,1565,1634
368.7,1439,1512
369.2,1502,1577
369.6,1524,1593
370.1,1531,1604
370.5,1522,1594
371,1522,1590
371.5,1433,1495
371.9,1426,1495
372.4,1497,1565
372.8,1510,1583
373.3,1520,1589
373.8,1523,1595
374.2,1550,1621
374.7,1534,1606
375.1,1494,1562
375.6,1552,1627
376,1511,1578
376.5,1462,1538
377,1541,1609
377.4,1550,1623
377.9,1473,1545
378.3,1523,1592
378.8,1583,1649
379.3,1555,1627
379.7,1517,1591
380.2,1520,1597
380.6,1577,1654
381.1,1523,1593
381.6,1536,1610
382,1521,1592
382.5,1534,1603
382.9,1542,1615
383.4,1561,1635
383.9,1491,1563
384.3,1504,1581
384.8,1518,1589
385.2,1479,1550
385.7,1476,1551
386.2,1571,1635
386.6,1513,1587
387.1,1432,1506
387.5,1542,1622
388,1551,1626
388.5,1417,1489
388.9,1575,1652
389.4,1567,1637
389.8,1541,1613
390.3,1441,1503
390.8,1534,1607
391.2,1515,1590
391.7,1499,1569
392.1,1529,1592
392.6,1494,1565
393.1,1531,1607
393.5,1469,1541
394,1584,1658
394.4,1302,1379
394.9,1539,1615
395.4,1539,1608
395.8,1568,1637
396.3,1552,1625
396.7,1502,1574
397.2,1548,1617
397.7,1489,1554
398.1,1532,1596
398.6,1408,1467
399,1564,1635
399.5,1507,1578
400,1561,1628
400.4,1555,1628
400.9,1553,1629
401.3,1553,1620
401.8,1519,1594
402.3,1512,1582
402.7,1518,1590
403.2,1529,1588
403.6,1502,1577
404.1,1505,1577
404.6,1522,1589
405,1526,1599
405.5,1535,1607
406,1502,1577
406.4,1466,1539
406.9,1561,1634
407.3,1528,1604
407.8,1511,1589
408.3,1553,1625
408.7,1365,1432
409.2,1552,1624
409.6,1518,1593
410.1,1554,1627
410.6,1550,1620
411,1501,1568
411.5,1471,1543
412,1510,1581
412.4,1569,1644
412.9,1550,1622
413.3,1577,1645
413.8,1512,1583
414.3,1501,1573
414.7,1536,1619
415.2,1542,1619
415.6,1537,1607
416.1,1517,1584
416.6,1551,1626
417,1587,1650
417.5,1480,1550
418,1551,1622
418.4,1527,1596
418.9,1334,1399
419.3,1444,1523
419.8,1551,1615
420.3,1546,1619
420.7,1462,1531
421.2,1473,1545
421.7,1545,1620
422.1,1385,1462
422.6,1494,1567
423,1542,1614
423.5,1571,1643
424,1497,1565
424.4,1489,1562
424.9,1576,1645
425.4,1557,1625
425.8,1522,1595
426.3,1423,1493
426.7,1556,1626
427.2,1546,1624
427.7,1514,1585
428.1,1493,1567
428.6,1481,1555
429.1,1561,1631
429.5,1493,1566
430,1535,1598
430.4,1608,1675
430.9,1556,1625
431.4,1516,1588
431.8,1544,1614
432.3,1537,1611
432.8,1575,1644
433.2,1467,1544
433.7,1476,1547
434.1,1543,1617
434.6,1573,1640
435.1,1472,1545
435.5,1550,1623
436,1519,1583
436.5,1494,1564
436.9,1461,1555
437.4,1513,1584
437.9,1391,1462
438.3,1531,1604
438.8,1536,1605
439.2,1558,1627
439.7,1547,1614
440.2,1376,1454
440.6,1438,1512
441.1,1549,1617
441.6,1562,1634
442,1472,1547
442.5,1571,1640
443,1538,1610
443.4,1517,1587
443.9,1487,1560
444.3,1494,1542
444.8,1534,1606
445.3,1576,1648
445.7,1372,1447
446.2,1545,1614
446.7,1552,1624
447.1,1540,1608
447.6,1528,1601
448.1,1451,1523
448.5,1517,1588
