Time,Wed Sep 25 13:09:04 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,25.83
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1454,1524
338.1,1415,1489
338.5,1551,1623
339,1445,1516
339.4,1483,1555
339.9,1385,1450
340.3,1568,1641
340.8,1566,1639
341.3,1292,1360
341.7,1482,1552
342.2,1561,1632
342.6,1459,1531
343.1,1528,1598
343.5,1548,1620
344,1550,1620
344.5,1502,1572
344.9,1494,1564
345.4,1487,1560
345.8,1478,1549
346.3,1539,1607
346.7,1523,1599
347.2,1433,1513
347.7,1513,1578
348.1,1492,1562
348.6,1366,1434
349,1557,1623
349.5,1498,1571
349.9,1553,1626
350.4,1441,1506
350.9,1500,1566
351.3,1565,1633
351.8,1521,1595
352.2,1556,1627
352.7,1472,1544
353.1,1475,1548
353.6,1532,1609
354.1,1511,1579
354.5,1434,1508
355,1440,1510
355.4,1520,1589
355.9,1524,1595
356.3,1546,1617
356.8,1508,1585
357.3,1542,1610
357.7,1502,1574
358.2,1559,1629
358.6,1514,1584
359.1,1561,1633
359.5,1517,1591
360,1495,1557
360.5,1544,1612
360.9,1515,1591
361.4,1499,1567
361.8,1557,1627
362.3,1464,1532
362.7,1458,1528
363.2,1500,1572
363.7,1544,1616
364.1,1550,1617
364.6,1537,1614
365,1426,1498
365.5,1378,1444
366,1256,1306
366.4,1445,1517
366.9,1487,1561
367.3,1538,1610
367.8,1566,1635
368.2,1565,1635
368.7,1439,1513
369.2,1502,1575
369.6,1523,1596
370.1,1531,1600
370.5,1522,1597
371,1521,1596
371.5,1433,1497
371.9,1427,1493
372.4,1497,1568
372.8,1510,1581
373.3,1520,1591
373.8,1523,1591
374.2,1550,1612
374.7,1533,1603
375.1,1494,1563
375.6,1552,1631
376,1511,1579
376.5,1462,1534
377,1541,1609
377.4,1550,1623
377.9,1473,1547
378.3,1522,1591
378.8,1582,1644
379.3,1555,1626
379.7,1517,1592
380.2,1519,1595
380.6,1576,1653
381.1,1523,1593
381.6,1535,1605
382,1521,1590
382.5,1533,1608
382.9,1542,1613
383.4,1560,1628
383.9,1491,1560
384.3,1504,1578
384.8,1518,1592
385.2,1479,1549
385.7,1476,1545
386.2,1571,1638
386.6,1512,1586
387.1,1432,1505
387.5,1542,1618
388,1551,1623
388.5,1417,1489
388.9,1574,1646
389.4,1566,1634
389.8,1541,1615
390.3,1441,1502
390.8,1534,1601
391.2,1515,1583
391.7,1499,1571
392.1,1529,1598
392.6,1493,1567
393.1,1530,1605
393.5,1469,1538
394,1583,1655
394.4,1303,1381
394.9,1538,1605
395.4,1539,1609
395.8,1568,1634
396.3,1552,1623
396.7,1502,1570
397.2,1548,1619
397.7,1489,1548
398.1,1531,1594
398.6,1408,1465
399,1564,1636
399.5,1507,1577
400,1560,1624
400.4,1555,1629
400.9,1553,1624
401.3,1552,1621
401.8,1519,1596
402.3,1512,1585
402.7,1518,1589
403.2,1529,1587
403.6,1501,1581
404.1,1505,1576
404.6,1522,1588
405,1525,1598
405.5,1534,1603
406,1502,1569
406.4,1466,1539
406.9,1560,1635
407.3,1528,1601
407.8,1511,1581
408.3,1552,1625
408.7,1365,1431
409.2,1551,1625
409.6,1517,1591
410.1,1553,1626
410.6,1550,1620
411,1501,1575
411.5,1471,1538
412,1510,1579
412.4,1568,1639
412.9,1550,1621
413.3,1576,1648
413.8,1512,1586
414.3,1501,1578
414.7,1536,1623
415.2,1542,1619
415.6,1537,1609
416.1,1516,1585
416.6,1551,1625
417,1587,1652
417.5,1480,1554
418,1551,1622
418.4,1527,1595
418.9,1335,1397
419.3,1445,1518
419.8,1551,1621
420.3,1545,1614
420.7,1462,1530
421.2,1473,1540
421.7,1545,1617
422.1,1385,1461
422.6,1494,1564
423,1542,1611
423.5,1570,1640
424,1496,1564
424.4,1489,1561
424.9,1575,1646
425.4,1556,1626
425.8,1522,1590
426.3,1423,1498
426.7,1556,1627
427.2,1546,1622
427.7,1514,1585
428.1,1493,1570
428.6,1481,1553
429.1,1561,1632
429.5,1493,1567
430,1535,1608
430.4,1608,1672
430.9,1556,1629
431.4,1516,1585
431.8,1543,1607
432.3,1537,1609
432.8,1575,1646
433.2,1467,1537
433.7,1476,1544
434.1,1543,1614
434.6,1572,1638
435.1,1472,1542
435.5,1549,1617
436,1519,1582
436.5,1494,1564
436.9,1461,1549
437.4,1513,1581
437.9,1392,1464
438.3,1530,1600
438.8,1536,1596
439.2,1557,1632
439.7,1547,1616
440.2,1377,1459
440.6,1439,1508
441.1,1549,1619
441.6,1562,1633
442,1472,1546
442.5,1570,1635
443,1538,1610
443.4,1517,1585
443.9,1487,1561
444.3,1494,1544
444.8,1533,1608
445.3,1576,1647
445.7,1373,1449
446.2,1545,1616
446.7,1551,1622
447.1,1540,1605
447.6,1528,1598
448.1,1451,1524
448.5,1516,1586
449,1521,1598
449.5,1499,1568
449.9,1540,1607
450.4,1519,1592
450.8,1426,1492
451.3,1559,1632
451.8,1585,1655
452.2,1513,1586
452.7,1600,1667
453.2,1580,1657
453.6,1537,1605
454.1,1495,1570
454.6,1544,1616
455,1498,1569
455.5,1535,1608
456,1536,1609
456.4,1494,1563
456.9,1598,1664
457.4,1536,1605
457.8,1475,1549
458.3,1386,1449
458.7,1560,1631
459.2,1575,1646
459.7,1522,1590
460.1,1489,1559
460.6,1527,1600
461.1,1501,1577
461.5,1562,1631
462,1526,1598
462.5,1563,1640
462.9,1530,1602
463.4,1408,1473
463.9,1467,1532
464.3,1542,1616
464.8,1547,1620
465.3,1522,1593
465.7,1514,1590
466.2,1436,1510
466.7,1539,1610
467.1,1554,1624
467.6,1538,1606
468.1,1524,1594
468.5,1494,1569
469,1490,1562
469.4,1568,1641
469.9,1554,1624
470.4,1554,1624
