Time,Wed Sep 25 13:10:54 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,27.01
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1452,1531
338.1,1410,1494
338.5,1556,1636
339,1443,1522
339.4,1483,1566
339.9,1378,1452
340.3,1575,1655
340.8,1572,1653
341.3,1278,1353
341.7,1482,1561
342.2,1566,1649
342.6,1458,1537
343.1,1532,1613
343.5,1552,1633
344,1555,1631
344.5,1504,1581
344.9,1495,1581
345.4,1488,1574
345.8,1478,1557
346.3,1544,1627
346.7,1526,1609
347.2,1429,1515
347.7,1515,1594
348.1,1492,1570
348.6,1358,1436
349,1562,1641
349.5,1500,1582
349.9,1558,1644
350.4,1438,1516
350.9,1501,1580
351.3,1571,1652
351.8,1524,1611
352.2,1562,1645
352.7,1471,1550
353.1,1475,1562
353.6,1536,1618
354.1,1513,1594
354.5,1430,1511
355,1437,1519
355.4,1523,1609
355.9,1528,1608
356.3,1551,1630
356.8,1510,1592
357.3,1546,1628
357.7,1503,1588
358.2,1564,1641
358.6,1516,1597
359.1,1566,1654
359.5,1520,1601
360,1496,1578
360.5,1549,1634
360.9,1518,1606
361.4,1500,1583
361.8,1562,1645
362.3,1463,1547
362.7,1456,1537
363.2,1502,1585
363.7,1548,1631
364.1,1555,1635
364.6,1541,1626
365,1422,1504
365.5,1370,1451
366,1239,1306
366.4,1443,1524
366.9,1487,1571
367.3,1542,1623
367.8,1572,1659
368.2,1571,1651
368.7,1436,1518
369.2,1503,1589
369.6,1526,1612
370.1,1535,1615
370.5,1525,1606
371,1524,1602
371.5,1430,1509
371.9,1422,1500
372.4,1498,1583
372.8,1512,1597
373.3,1522,1603
373.8,1526,1604
374.2,1555,1633
374.7,1537,1621
375.1,1495,1581
375.6,1557,1646
376,1513,1590
376.5,1461,1542
377,1545,1620
377.4,1555,1633
377.9,1472,1558
378.3,1525,1606
378.8,1589,1662
379.3,1560,1636
379.7,1519,1605
380.2,1522,1605
380.6,1583,1677
381.1,1526,1607
381.6,1539,1620
382,1523,1604
382.5,1537,1620
382.9,1546,1629
383.4,1566,1647
383.9,1491,1569
384.3,1505,1593
384.8,1520,1604
385.2,1479,1559
385.7,1475,1559
386.2,1577,1649
386.6,1515,1597
387.1,1429,1508
387.5,1546,1629
388,1556,1638
388.5,1413,1496
388.9,1581,1665
389.4,1573,1653
389.8,1545,1627
390.3,1438,1517
390.8,1538,1621
391.2,1517,1605
391.7,1500,1581
392.1,1533,1611
392.6,1494,1578
393.1,1534,1618
393.5,1469,1546
394,1590,1672
394.4,1290,1375
394.9,1542,1624
395.4,1543,1625
395.8,1574,1653
396.3,1557,1644
396.7,1503,1582
397.2,1552,1634
397.7,1490,1565
398.1,1535,1612
398.6,1403,1479
399,1570,1654
399.5,1509,1588
400,1566,1650
400.4,1560,1641
400.9,1558,1645
401.3,1557,1639
401.8,1521,1601
402.3,1514,1597
402.7,1521,1601
403.2,1533,1617
403.6,1503,1595
404.1,1506,1589
404.6,1525,1601
405,1528,1613
405.5,1538,1620
406,1504,1583
406.4,1464,1546
406.9,1566,1653
407.3,1531,1614
407.8,1513,1598
408.3,1557,1645
408.7,1357,1436
409.2,1556,1637
409.6,1520,1602
410.1,1559,1642
410.6,1555,1635
411,1502,1586
411.5,1470,1553
412,1512,1595
412.4,1574,1658
412.9,1555,1638
413.3,1583,1660
413.8,1514,1595
414.3,1502,1585
414.7,1540,1631
415.2,1546,1635
415.6,1541,1625
416.1,1519,1594
416.6,1556,1642
417,1594,1674
417.5,1480,1565
418,1556,1635
418.4,1530,1610
418.9,1324,1400
419.3,1442,1525
419.8,1556,1636
420.3,1550,1634
420.7,1461,1537
421.2,1472,1550
421.7,1550,1640
422.1,1378,1461
422.6,1495,1578
423,1546,1623
423.5,1576,1657
424,1497,1577
424.4,1490,1575
424.9,1582,1664
425.4,1562,1642
425.8,1524,1604
426.3,1419,1506
426.7,1561,1641
427.2,1551,1633
427.7,1516,1598
428.1,1494,1574
428.6,1481,1562
429.1,1566,1651
429.5,1493,1575
430,1539,1619
430.4,1617,1692
430.9,1561,1642
431.4,1519,1602
431.8,1548,1625
432.3,1541,1622
432.8,1581,1661
433.2,1466,1549
433.7,1476,1555
434.1,1547,1631
434.6,1579,1661
435.1,1471,1554
435.5,1554,1634
436,1522,1594
436.5,1495,1580
436.9,1460,1562
437.4,1515,1593
437.9,1385,1466
438.3,1534,1616
438.8,1540,1621
439.2,1563,1645
439.7,1551,1630
440.2,1369,1456
440.6,1436,1517
441.1,1554,1633
441.6,1567,1649
442,1471,1558
442.5,1577,1659
443,1542,1629
443.4,1519,1601
443.9,1487,1570
444.3,1495,1551
444.8,1537,1622
445.3,1582,1667
445.7,1365,1449
446.2,1549,1625
446.7,1556,1639
447.1,1544,1621
447.6,1531,1614
448.1,1449,1537
448.5,1519,1598
449,1524,1608
449.5,1501,1585
449.9,1544,1628
450.4,1522,1604
450.8,1421,1499
451.3,1565,1645
451.8,1592,1672
452.2,1515,1559
452.7,1608,1684
453.2,1587,1669
453.6,1540,1617
454.1,1496,1583
454.6,1548,1631
455,1500,1581
455.5,1539,1618
456,1540,1623
456.4,1495,1579
456.9,1606,1684
457.4,1540,1617
457.8,1474,1557
458.3,1379,1456
458.7,1565,1648
459.2,1582,1664
459.7,1525,1605
460.1,1490,1572
460.6,1531,1620
461.1,1502,1588
461.5,1568,1651
462,1529,1614
462.5,1569,1657
462.9,1534,1618
463.4,1403,1479
463.9,1465,1547
464.3,1547,1630
464.8,1552,1635
465.3,1525,1607
465.7,1516,1604
466.2,1433,1519
466.7,1543,1622
467.1,1559,1638
467.6,1542,1619
468.1,1527,1608
468.5,1495,1576
469,1491,1573
469.4,1574,1654
469.9,1559,1641
470.4,1559,1643
470.8,1519,1600
471.3,1613,1694
471.8,1566,1647
472.2,1517,1607
472.7,1477,1560
473.2,1485,1564
473.6,1480,1561
474.1,1594,1666
474.6,1558,1637
475,1507,1595
475.5,1532,1608
476,1509,1593
476.4,1531,1611
476.9,1555,1638
477.4,1522,1617
477.8,1548,1629
478.3,1458,1534
478.8,1534,1615
479.2,1536,1612
479.7,1552,1635
480.2,1526,1607
480.6,1551,1629
481.1,1443,1523
481.6,1529,1611
482,1505,1587
482.5,1544,1629
483,1545,1632
483.4,1548,1625
483.9,1552,1634
484.4,1523,1609
484.8,1578,1648
485.3,1565,1642
485.8,1537,1614
486.2,1531,1612
486.7,1535,1621
487.2,1562,1643
487.6,1533,1617
488.1,1490,1566
488.6,1563,1649
489,1530,1614
489.5,1548,1629
490,1557,1636
490.4,1623,1700
490.9,1479,1561
491.4,1557,1638
491.8,1544,1623
492.3,1534,1618
492.8,1605,1689
493.2,1567,1653
493.7,1496,1574
494.2,1542,1625
494.6,1528,1614
495.1,1556,1639
495.6,1450,1526
496,1505,1590
496.5,1470,1550
497,1518,1603
497.5,1500,1581
497.9,1516,1593
498.4,1578,1656
498.9,1441,1530
499.3,1536,1621
499.8,1540,1623
500.3,1542,1627
500.7,1557,1640
501.2,1350,1428
501.7,1450,1530
502.1,1487,1575
502.6,1526,1606
503.1,1488,1569
