Data from it5000_Temperature12_16-58-38-016.txt Node

Standard Time	Epoch Time	
HH:MM:SS:000	(msec 1970)	Temperature1_2
17:26:32.330	1581438392330	32.2	
17:26:42.364	1581438402364	32.2	
17:26:52.377	1581438412377	32.2	
17:27:02.406	1581438422406	32.31	
17:27:12.435	1581438432435	32.31	
17:27:22.469	1581438442469	32.31	
17:27:32.482	1581438452482	32.43	
17:27:42.511	1581438462511	32.43	
17:27:52.527	1581438472527	32.54	
17:28:02.556	1581438482556	32.54	
17:28:12.585	1581438492585	32.54	
17:28:22.619	1581438502619	32.66	
17:28:32.632	1581438512632	32.66	
17:28:42.661	1581438522661	32.66	
17:28:52.690	1581438532690	32.66	
17:29:02.719	1581438542719	32.77	
17:29:12.748	1581438552748	32.77	
17:29:22.777	1581438562777	32.89	
17:29:32.805	1581438572805	32.89	
17:29:42.834	1581438582834	32.89	
17:29:52.863	1581438592863	32.89	
17:30:02.897	1581438602897	33.01	
17:30:12.911	1581438612911	33.01	
17:30:22.936	1581438622936	33.01	
17:30:32.965	1581438632965	33.01	
17:30:42.999	1581438642999	33.12	
17:30:52.999	1581438652999	33.12	
17:31:03.028	1581438663028	33.12	
17:31:13.057	1581438673057	33.12	
17:31:23.086	1581438683086	33.24	
17:31:33.115	1581438693115	33.24	
17:31:43.144	1581438703144	33.36	
17:31:53.173	1581438713173	33.36	
17:32:03.202	1581438723202	33.36	
17:32:13.231	1581438733231	33.36	
17:32:23.275	1581438743275	33.36	
17:32:33.288	1581438753288	33.47	
17:32:43.317	1581438763317	33.47	
17:32:53.346	1581438773346	33.47	
17:33:03.375	1581438783375	33.47	
17:33:13.404	1581438793404	33.59	
17:33:23.433	1581438803433	33.59	
17:33:33.467	1581438813467	33.59	
17:33:43.480	1581438823480	33.59	
17:33:53.501	1581438833501	33.59	
17:34:03.514	1581438843514	33.71	
17:34:13.543	1581438853543	33.71	
17:34:23.572	1581438863572	33.71	
17:34:33.606	1581438873606	33.71	
17:34:43.619	1581438883619	33.71	
17:34:53.648	1581438893648	33.82	
17:35:03.677	1581438903677	33.82	
17:35:13.706	1581438913706	33.82	
17:35:23.735	1581438923735	33.82	
17:35:33.769	1581438933769	33.82	
17:35:43.782	1581438943782	33.82	
17:35:53.816	1581438953816	33.94	
17:36:03.829	1581438963829	33.94	
17:36:13.859	1581438973859	33.94	
17:36:23.887	1581438983887	33.94	
