Data from it100_Temperature12_18-21-04-147.txt Node

Standard Time	Epoch Time	
HH:MM:SS:000	(msec 1970)	Temperature1_2
18:21:04.162	1581355264162	16.2	
18:21:14.163	1581355274163	16.41	
18:21:24.176	1581355284176	16.72	
18:21:34.189	1581355294189	16.93	
18:21:44.202	1581355304202	17.14	
18:21:54.216	1581355314216	17.34	
18:22:04.235	1581355324235	17.55	
18:22:14.249	1581355334249	17.86	
18:22:24.262	1581355344262	17.96	
18:22:34.275	1581355354275	18.17	
18:22:44.289	1581355364289	18.48	
18:22:54.302	1581355374302	18.68	
18:23:04.315	1581355384315	18.78	
18:23:14.335	1581355394335	19.09	
18:23:24.348	1581355404348	19.2	
18:23:34.361	1581355414361	19.4	
18:23:44.381	1581355424381	19.61	
18:23:54.394	1581355434394	19.81	
18:24:04.407	1581355444407	20.02	
18:24:14.429	1581355454429	20.22	
18:24:24.443	1581355464443	20.33	
18:24:34.456	1581355474456	20.53	
18:24:44.476	1581355484476	20.74	
18:24:54.489	1581355494489	20.94	
18:25:04.502	1581355504502	21.15	
18:25:14.516	1581355514516	21.25	
18:25:24.529	1581355524529	21.46	
18:25:34.542	1581355534542	21.56	
18:25:44.555	1581355544555	21.77	
18:25:54.575	1581355554575	21.97	
18:26:04.588	1581355564588	22.08	
18:26:14.602	1581355574602	22.18	
18:26:24.615	1581355584615	22.39	
18:26:34.628	1581355594628	22.49	
18:26:44.641	1581355604641	22.7	
18:26:54.655	1581355614655	22.8	
18:27:04.674	1581355624674	23.01	
18:27:14.690	1581355634690	23.11	
18:27:24.704	1581355644704	23.32	
18:27:34.717	1581355654717	23.42	
18:27:44.730	1581355664730	23.63	
18:27:54.743	1581355674743	23.74	
18:28:04.757	1581355684757	23.94	
18:28:14.776	1581355694776	24.05	
18:28:24.790	1581355704790	24.15	
18:28:34.803	1581355714803	24.36	
18:28:44.831	1581355724831	24.47	
18:28:54.845	1581355734845	24.57	
18:29:04.858	1581355744858	24.68	
18:29:14.871	1581355754871	24.89	
18:29:24.884	1581355764884	24.99	
18:29:34.898	1581355774898	25.1	
18:29:44.911	1581355784911	25.2	
18:29:54.924	1581355794924	25.41	
18:30:04.937	1581355804937	25.52	
18:30:14.951	1581355814951	25.62	
18:30:24.964	1581355824964	25.73	
18:30:34.978	1581355834978	25.83	
18:30:44.991	1581355844991	25.94	
18:30:55.004	1581355855004	26.05	
18:31:05.018	1581355865018	26.15	
18:31:15.037	1581355875037	26.26	
18:31:25.051	1581355885051	26.47	
18:31:35.064	1581355895064	26.47	
18:31:45.080	1581355905080	26.58	
18:31:55.093	1581355915093	26.68	
18:32:05.106	1581355925106	26.79	
18:32:15.120	1581355935120	27.01	
18:32:25.133	1581355945133	27.11	
18:32:35.144	1581355955144	27.11	
18:32:45.158	1581355965158	27.22	
18:32:55.171	1581355975171	27.33	
18:33:05.184	1581355985184	27.43	
18:33:15.198	1581355995198	27.54	
18:33:25.211	1581356005211	27.65	
18:33:35.224	1581356015224	27.76	
18:33:45.237	1581356025237	27.87	
18:33:55.251	1581356035251	27.97	
18:34:05.264	1581356045264	28.08	
18:34:15.277	1581356055277	28.19	
18:34:25.290	1581356065290	28.19	
18:34:35.310	1581356075310	28.3	
18:34:45.326	1581356085326	28.41	
18:34:55.339	1581356095339	28.52	
18:35:05.359	1581356105359	28.63	
18:35:15.372	1581356115372	28.63	
18:35:25.385	1581356125385	28.73	
18:35:35.405	1581356135405	28.84	
18:35:45.418	1581356145418	28.95	
18:35:55.432	1581356155432	29.06	
18:36:05.445	1581356165445	29.06	
18:36:15.458	1581356175458	29.17	
18:36:25.472	1581356185472	29.28	
18:36:35.485	1581356195485	29.28	
18:36:45.498	1581356205498	29.39	
18:36:55.511	1581356215511	29.5	
18:37:05.525	1581356225525	29.5	
18:37:15.538	1581356235538	29.61	
18:37:25.551	1581356245551	29.72	
18:37:35.564	1581356255564	29.72	
18:37:45.580	1581356265580	29.83	
18:37:55.593	1581356275593	29.94	
18:38:05.607	1581356285607	29.94	
18:38:15.620	1581356295620	30.06	
18:38:25.633	1581356305633	30.17	
18:38:35.647	1581356315647	30.17	
18:38:45.660	1581356325660	30.28	
18:38:55.677	1581356335677	30.28	
18:39:05.690	1581356345690	30.39	
18:39:15.703	1581356355703	30.5	
18:39:25.723	1581356365723	30.5	
18:39:35.736	1581356375736	30.61	
18:39:45.750	1581356385750	30.61	
18:39:55.769	1581356395769	30.73	
18:40:05.783	1581356405783	30.73	
18:40:15.796	1581356415796	30.84	
18:40:25.809	1581356425809	30.95	
18:40:35.822	1581356435822	30.95	
18:40:45.838	1581356445838	31.06	
18:40:55.852	1581356455852	31.06	
18:41:05.865	1581356465865	31.06	
18:41:15.878	1581356475878	31.18	
18:41:25.891	1581356485891	31.18	
18:41:35.905	1581356495905	31.29	
18:41:45.918	1581356505918	31.29	
18:41:55.931	1581356515931	31.4	
18:42:05.944	1581356525944	31.4	
18:42:15.964	1581356535964	31.51	
18:42:25.977	1581356545977	31.51	
18:42:35.991	1581356555991	31.63	
18:42:46.011	1581356566011	31.63	
18:42:56.024	1581356576024	31.74	
18:43:06.037	1581356586037	31.74	
18:43:16.057	1581356596057	31.74	
18:43:26.070	1581356606070	31.86	
18:43:36.083	1581356616083	31.86	
18:43:46.099	1581356626099	31.97	
18:43:56.119	1581356636119	31.97	
18:44:06.132	1581356646132	31.97	
18:44:16.145	1581356656145	32.08	
18:44:26.165	1581356666165	32.08	
18:44:36.178	1581356676178	32.2	
18:44:46.192	1581356686192	32.2	
18:44:56.212	1581356696212	32.2	
18:45:06.225	1581356706225	32.31	
18:45:16.245	1581356716245	32.31	
18:45:26.258	1581356726258	32.31	
18:45:36.271	1581356736271	32.43	
18:45:46.285	1581356746285	32.43	
18:45:56.298	1581356756298	32.54	
18:46:06.311	1581356766311	32.54	
18:46:16.324	1581356776324	32.54	
18:46:26.338	1581356786338	32.66	
18:46:36.351	1581356796351	32.66	
18:46:46.364	1581356806364	32.66	
18:46:56.380	1581356816380	32.77	
18:47:06.400	1581356826400	32.77	
18:47:16.413	1581356836413	32.77	
18:47:26.429	1581356846429	32.89	
18:47:36.443	1581356856443	32.89	
18:47:46.456	1581356866456	32.89	
18:47:56.469	1581356876469	32.89	
18:48:06.482	1581356886482	33.01	
18:48:16.502	1581356896502	33.01	
18:48:26.515	1581356906515	33.01	
18:48:36.527	1581356916527	33.12	
18:48:46.540	1581356926540	33.12	
18:48:56.553	1581356936553	33.12	
18:49:06.573	1581356946573	33.12	
18:49:16.586	1581356956586	33.24	
18:49:26.599	1581356966599	33.24	
18:49:36.613	1581356976613	33.24	
18:49:46.626	1581356986626	33.36	
18:49:56.642	1581356996642	33.36	
18:50:06.655	1581357006655	33.36	
18:50:16.668	1581357016668	33.36	
18:50:26.682	1581357026682	33.47	
18:50:36.695	1581357036695	33.47	
18:50:46.708	1581357046708	33.47	
18:50:56.727	1581357056727	33.47	
18:51:06.741	1581357066741	33.47	
18:51:16.754	1581357076754	33.59	
18:51:26.774	1581357086774	33.59	
18:51:36.787	1581357096787	33.59	
18:51:46.800	1581357106800	33.71	
18:51:56.814	1581357116814	33.71	
18:52:06.827	1581357126827	33.71	
18:52:16.840	1581357136840	33.71	
18:52:26.853	1581357146853	33.71	
18:52:36.867	1581357156867	33.82	
18:52:46.880	1581357166880	33.71	
18:52:56.896	1581357176896	33.82	
18:53:06.909	1581357186909	33.82	
18:53:16.922	1581357196922	33.82	
18:53:26.936	1581357206936	33.82	
18:53:36.949	1581357216949	33.82	
