Time,Thu Jan  9 12:03:12 2020
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.9
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1453,1530
338.1,1411,1490
338.5,1555,1632
339,1443,1517
339.4,1483,1562
339.9,1379,1452
340.3,1574,1654
340.8,1572,1649
341.3,1279,1354
341.7,1482,1557
342.2,1566,1640
342.6,1458,1536
343.1,1532,1610
343.5,1552,1630
344,1555,1632
344.5,1504,1582
344.9,1495,1573
345.4,1488,1567
345.8,1478,1560
346.3,1543,1619
346.7,1525,1608
347.2,1430,1512
347.7,1515,1591
348.1,1492,1573
348.6,1359,1438
349,1562,1632
349.5,1500,1576
349.9,1558,1635
350.4,1438,1512
350.9,1501,1577
351.3,1570,1651
351.8,1524,1604
352.2,1561,1639
352.7,1471,1555
353.1,1475,1562
353.6,1535,1619
354.1,1512,1588
354.5,1430,1510
355,1437,1510
355.4,1523,1600
355.9,1527,1605
356.3,1551,1628
356.8,1509,1591
357.3,1546,1623
357.7,1503,1578
358.2,1564,1641
358.6,1516,1594
359.1,1566,1640
359.5,1519,1596
360,1495,1563
360.5,1548,1631
360.9,1517,1601
361.4,1500,1575
361.8,1562,1639
362.3,1463,1536
362.7,1456,1533
363.2,1502,1579
363.7,1548,1624
364.1,1554,1632
364.6,1540,1622
365,1423,1496
365.5,1371,1446
366,1241,1304
366.4,1443,1518
366.9,1487,1563
367.3,1542,1615
367.8,1571,1650
368.2,1570,1654
368.7,1436,1519
369.2,1503,1579
369.6,1526,1607
370.1,1534,1611
370.5,1525,1603
371,1524,1601
371.5,1430,1501
371.9,1423,1496
372.4,1498,1578
372.8,1511,1591
373.3,1522,1596
373.8,1526,1602
374.2,1554,1629
374.7,1537,1619
375.1,1495,1573
375.6,1556,1634
376,1513,1589
376.5,1461,1545
377,1544,1621
377.4,1554,1632
377.9,1472,1553
378.3,1525,1599
378.8,1589,1659
379.3,1559,1643
379.7,1519,1594
380.2,1522,1596
380.6,1582,1659
381.1,1526,1611
381.6,1539,1621
382,1523,1599
382.5,1537,1616
382.9,1546,1624
383.4,1566,1641
383.9,1491,1572
384.3,1505,1586
384.8,1520,1595
385.2,1479,1558
385.7,1476,1554
386.2,1577,1655
386.6,1514,1593
387.1,1429,1512
387.5,1546,1632
388,1555,1634
388.5,1413,1492
388.9,1580,1655
389.4,1572,1649
389.8,1545,1623
390.3,1438,1515
390.8,1537,1616
391.2,1517,1592
391.7,1500,1575
392.1,1532,1607
392.6,1494,1571
393.1,1534,1613
393.5,1469,1544
394,1590,1672
394.4,1291,1376
394.9,1542,1618
395.4,1542,1615
395.8,1573,1650
396.3,1556,1640
396.7,1503,1578
397.2,1552,1607
397.7,1490,1557
398.1,1535,1607
398.6,1404,1472
399,1569,1648
399.5,1508,1587
400,1565,1647
400.4,1560,1637
400.9,1557,1642
401.3,1557,1631
401.8,1521,1596
402.3,1514,1590
402.7,1521,1602
403.2,1532,1609
403.6,1503,1587
404.1,1506,1583
404.6,1525,1602
405,1528,1603
405.5,1538,1617
406,1504,1578
406.4,1465,1543
406.9,1566,1645
407.3,1531,1610
407.8,1513,1589
