Time,Thu Jan  9 12:01:52 2020
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,25.94
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1454,1523
338.1,1415,1486
338.5,1551,1620
339,1445,1511
339.4,1483,1551
339.9,1384,1449
340.3,1569,1640
340.8,1567,1641
341.3,1291,1359
341.7,1482,1550
342.2,1561,1630
342.6,1459,1532
343.1,1529,1600
343.5,1548,1621
344,1551,1617
344.5,1503,1571
344.9,1494,1570
345.4,1487,1565
345.8,1478,1549
346.3,1540,1608
346.7,1523,1597
347.2,1433,1503
347.7,1513,1581
348.1,1492,1564
348.6,1366,1430
349,1557,1623
349.5,1499,1574
349.9,1553,1623
350.4,1441,1503
350.9,1500,1570
351.3,1565,1638
351.8,1521,1594
352.2,1557,1629
352.7,1472,1545
353.1,1475,1553
353.6,1532,1605
354.1,1511,1577
354.5,1433,1507
355,1439,1509
355.4,1521,1587
355.9,1525,1598
356.3,1547,1620
356.8,1508,1580
357.3,1542,1613
357.7,1502,1575
358.2,1559,1630
358.6,1514,1587
359.1,1561,1634
359.5,1517,1587
360,1495,1561
360.5,1545,1620
360.9,1515,1593
361.4,1499,1570
361.8,1557,1629
362.3,1464,1531
362.7,1457,1528
363.2,1501,1573
363.7,1544,1608
364.1,1550,1624
364.6,1537,1606
365,1426,1489
365.5,1377,1440
366,1254,1306
366.4,1445,1517
366.9,1487,1559
367.3,1539,1603
367.8,1566,1639
368.2,1565,1638
368.7,1439,1513
369.2,1502,1575
369.6,1524,1594
370.1,1531,1599
370.5,1522,1590
371,1522,1594
371.5,1433,1497
371.9,1426,1493
372.4,1497,1569
372.8,1510,1584
373.3,1520,1587
373.8,1523,1594
374.2,1550,1619
374.7,1534,1610
375.1,1494,1565
375.6,1552,1629
376,1511,1582
376.5,1462,1535
377,1541,1609
377.4,1550,1620
377.9,1473,1548
378.3,1523,1593
378.8,1583,1647
379.3,1555,1630
379.7,1517,1591
380.2,1520,1596
380.6,1577,1645
381.1,1523,1594
381.6,1536,1605
382,1521,1594
382.5,1534,1603
382.9,1542,1615
383.4,1561,1632
383.9,1491,1561
384.3,1504,1575
384.8,1518,1588
385.2,1479,1549
385.7,1476,1545
386.2,1571,1640
386.6,1513,1584
387.1,1432,1505
387.5,1542,1621
388,1551,1623
388.5,1417,1487
388.9,1575,1648
389.4,1567,1637
389.8,1541,1614
390.3,1441,1508
390.8,1534,1607
391.2,1515,1587
391.7,1499,1568
392.1,1529,1594
392.6,1494,1570
393.1,1531,1602
393.5,1469,1537
394,1584,1657
394.4,1302,1376
394.9,1539,1610
395.4,1539,1607
395.8,1568,1635
396.3,1552,1625
396.7,1502,1571
397.2,1548,1619
397.7,1489,1548
398.1,1532,1600
398.6,1408,1463
399,1564,1633
399.5,1507,1578
400,1561,1633
400.4,1555,1621
400.9,1553,1630
401.3,1553,1623
401.8,1519,1587
402.3,1512,1585
402.7,1518,1592
403.2,1529,1603
403.6,1502,1577
404.1,1505,1578
404.6,1522,1590
405,1526,1593
405.5,1535,1606
406,1502,1571
406.4,1466,1537
406.9,1561,1629
407.3,1528,1599
407.8,1511,1585
408.3,1553,1631
408.7,1365,1429
409.2,1552,1620
409.6,1518,1584
410.1,1554,1625
410.6,1550,1616
411,1501,1573
411.5,1471,1539
412,1510,1584
412.4,1569,1641
412.9,1550,1621
413.3,1577,1643
413.8,1512,1581
414.3,1501,1576
414.7,1536,1611
415.2,1542,1617
415.6,1537,1609
416.1,1517,1584
416.6,1551,1623
417,1587,1656
417.5,1480,1552
418,1551,1616
418.4,1527,1591
418.9,1334,1396
419.3,1444,1513
419.8,1551,1622
420.3,1546,1623
420.7,1462,1530
421.2,1473,1538
421.7,1545,1616
422.1,1385,1458
422.6,1494,1568
423,1542,1612
423.5,1571,1640
424,1497,1565
424.4,1489,1563
424.9,1576,1642
425.4,1557,1627
425.8,1522,1594
426.3,1423,1497
426.7,1556,1627
427.2,1546,1616
427.7,1514,1587
428.1,1493,1566
428.6,1481,1550
429.1,1561,1630
429.5,1493,1561
430,1535,1603
430.4,1608,1679
430.9,1556,1626
431.4,1516,1587
431.8,1544,1611
432.3,1537,1617
432.8,1575,1651
433.2,1467,1539
433.7,1476,1546
434.1,1543,1610
434.6,1573,1643
435.1,1472,1542
435.5,1550,1624
436,1519,1586
436.5,1494,1563
436.9,1461,1552
437.4,1513,1585
437.9,1391,1460
438.3,1531,1601
438.8,1536,1605
439.2,1558,1629
439.7,1547,1618
440.2,1376,1452
440.6,1438,1510
441.1,1549,1616
441.6,1562,1635
442,1472,1547
442.5,1571,1637
443,1538,1617
443.4,1517,1590
443.9,1487,1562
444.3,1494,1547
444.8,1534,1608
445.3,1576,1649
445.7,1372,1444
446.2,1545,1616
446.7,1552,1628
447.1,1540,1603
447.6,1528,1601
448.1,1451,1520
448.5,1517,1589
