Time,Sat Nov  9 15:34:14 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,27.01
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1452,1534
338.1,1410,1489
338.5,1556,1633
339,1443,1520
339.4,1483,1563
339.9,1378,1451
340.3,1575,1653
340.8,1572,1650
341.3,1278,1355
341.7,1482,1558
342.2,1566,1645
342.6,1458,1535
343.1,1532,1612
343.5,1552,1637
344,1555,1638
344.5,1504,1584
344.9,1495,1579
345.4,1488,1570
345.8,1478,1563
346.3,1544,1624
346.7,1526,1612
347.2,1429,1513
347.7,1515,1599
348.1,1492,1572
348.6,1358,1434
349,1562,1636
349.5,1500,1579
349.9,1558,1641
350.4,1438,1507
350.9,1501,1580
351.3,1571,1651
351.8,1524,1608
352.2,1562,1637
352.7,1471,1550
353.1,1475,1562
353.6,1536,1616
354.1,1513,1592
354.5,1430,1512
355,1437,1510
355.4,1523,1601
355.9,1528,1611
356.3,1551,1634
356.8,1510,1592
357.3,1546,1628
357.7,1503,1586
358.2,1564,1639
358.6,1516,1601
359.1,1566,1652
359.5,1520,1599
360,1496,1566
360.5,1549,1635
360.9,1518,1602
361.4,1500,1579
361.8,1562,1644
362.3,1463,1548
362.7,1456,1538
363.2,1502,1585
363.7,1548,1628
364.1,1555,1636
364.6,1541,1621
365,1422,1503
365.5,1370,1445
366,1239,1308
366.4,1443,1523
366.9,1487,1564
367.3,1542,1620
367.8,1572,1653
368.2,1571,1663
368.7,1436,1512
369.2,1503,1586
369.6,1526,1610
370.1,1535,1610
370.5,1525,1610
371,1524,1605
371.5,1430,1507
371.9,1422,1498
372.4,1498,1575
372.8,1512,1590
373.3,1522,1602
373.8,1526,1607
374.2,1555,1637
374.7,1537,1621
375.1,1495,1578
375.6,1557,1641
376,1513,1588
376.5,1461,1545
377,1545,1624
377.4,1555,1632
377.9,1472,1553
378.3,1525,1606
378.8,1589,1665
379.3,1560,1643
379.7,1519,1599
380.2,1522,1606
380.6,1583,1661
381.1,1526,1604
381.6,1539,1622
382,1523,1602
382.5,1537,1620
382.9,1546,1628
383.4,1566,1643
383.9,1491,1570
384.3,1505,1589
384.8,1520,1606
385.2,1479,1558
385.7,1475,1558
386.2,1577,1657
386.6,1515,1599
387.1,1429,1515
387.5,1546,1631
388,1556,1637
388.5,1413,1495
388.9,1581,1662
389.4,1573,1653
389.8,1545,1628
390.3,1438,1512
390.8,1538,1619
391.2,1517,1597
391.7,1500,1584
392.1,1533,1609
392.6,1494,1579
393.1,1534,1612
393.5,1469,1547
394,1590,1673
394.4,1290,1377
394.9,1542,1622
395.4,1543,1617
395.8,1574,1655
396.3,1557,1642
396.7,1503,1584
397.2,1552,1631
397.7,1490,1564
398.1,1535,1613
398.6,1403,1478
399,1570,1651
399.5,1509,1590
400,1566,1642
400.4,1560,1641
400.9,1558,1640
401.3,1557,1633
401.8,1521,1600
402.3,1514,1596
402.7,1521,1603
403.2,1533,1606
403.6,1503,1581
404.1,1506,1589
404.6,1525,1610
405,1528,1608
405.5,1538,1618
406,1504,1581
406.4,1464,1545
406.9,1566,1646
407.3,1531,1614
407.8,1513,1596
408.3,1557,1640
408.7,1357,1436
409.2,1556,1636
409.6,1520,1604
410.1,1559,1643
410.6,1555,1633
411,1502,1579
411.5,1470,1550
412,1512,1596
412.4,1574,1659
412.9,1555,1629
413.3,1583,1662
413.8,1514,1602
414.3,1502,1584
414.7,1540,1615
415.2,1546,1627
415.6,1541,1618
416.1,1519,1595
416.6,1556,1636
417,1594,1670
417.5,1480,1557
418,1556,1637
418.4,1530,1613
418.9,1324,1400
419.3,1442,1519
419.8,1556,1636
420.3,1550,1631
420.7,1461,1537
421.2,1472,1552
421.7,1550,1631
422.1,1378,1460
422.6,1495,1579
423,1546,1632
423.5,1576,1655
424,1497,1575
424.4,1490,1572
424.9,1582,1667
425.4,1562,1639
425.8,1524,1600
426.3,1419,1497
426.7,1561,1644
427.2,1551,1638
427.7,1516,1598
428.1,1494,1576
428.6,1481,1560
429.1,1566,1646
429.5,1493,1575
430,1539,1624
430.4,1617,1692
430.9,1561,1639
431.4,1519,1601
431.8,1548,1629
432.3,1541,1624
432.8,1581,1661
433.2,1466,1547
433.7,1476,1560
434.1,1547,1626
434.6,1579,1659
435.1,1471,1554
435.5,1554,1635
436,1522,1596
436.5,1495,1578
436.9,1460,1541
