Time,Tue Nov 26 12:22:32 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,27.76
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1451,1539
338.1,1407,1497
338.5,1559,1645
339,1441,1523
339.4,1483,1570
339.9,1373,1455
340.3,1579,1665
340.8,1577,1668
341.3,1269,1354
341.7,1482,1565
342.2,1570,1658
342.6,1457,1545
343.1,1534,1620
343.5,1556,1643
344,1559,1645
344.5,1505,1591
344.9,1496,1583
345.4,1488,1575
345.8,1477,1564
346.3,1546,1635
346.7,1528,1616
347.2,1427,1515
347.7,1516,1604
348.1,1493,1584
348.6,1352,1438
349,1566,1645
349.5,1500,1584
349.9,1562,1653
350.4,1436,1521
350.9,1502,1589
351.3,1575,1661
351.8,1526,1616
352.2,1566,1653
352.7,1471,1557
353.1,1474,1565
353.6,1538,1628
354.1,1514,1600
354.5,1428,1519
355,1435,1521
355.4,1525,1609
355.9,1530,1616
356.3,1554,1640
356.8,1511,1600
357.3,1549,1639
357.7,1504,1592
358.2,1568,1654
358.6,1518,1604
359.1,1570,1658
359.5,1522,1611
360,1496,1573
360.5,1552,1642
360.9,1519,1613
361.4,1501,1588
361.8,1566,1652
362.3,1462,1550
362.7,1455,1538
363.2,1503,1592
363.7,1551,1632
364.1,1558,1642
364.6,1543,1634
365,1419,1505
365.5,1365,1451
366,1228,1303
366.4,1441,1525
366.9,1487,1572
367.3,1545,1633
367.8,1576,1663
368.2,1575,1663
368.7,1434,1520
369.2,1504,1597
369.6,1528,1614
370.1,1537,1622
370.5,1527,1608
371,1526,1615
371.5,1428,1510
371.9,1420,1505
372.4,1499,1585
372.8,1513,1601
373.3,1524,1607
373.8,1528,1618
374.2,1558,1640
374.7,1540,1628
375.1,1495,1588
375.6,1560,1645
376,1515,1596
376.5,1460,1550
377,1548,1631
377.4,1558,1645
377.9,1472,1562
378.3,1527,1612
378.8,1594,1678
379.3,1564,1655
379.7,1521,1603
380.2,1524,1611
380.6,1588,1678
381.1,1528,1617
381.6,1542,1634
382,1525,1613
382.5,1540,1629
382.9,1549,1639
383.4,1570,1659
383.9,1492,1577
384.3,1506,1591
384.8,1522,1609
385.2,1479,1567
385.7,1475,1562
386.2,1582,1668
386.6,1516,1606
387.1,1426,1514
387.5,1549,1639
388,1559,1642
388.5,1410,1499
388.9,1586,1672
389.4,1577,1663
389.8,1548,1641
390.3,1436,1518
390.8,1540,1621
391.2,1519,1607
391.7,1501,1591
392.1,1535,1619
392.6,1495,1581
393.1,1536,1627
393.5,1468,1554
394,1595,1685
394.4,1281,1372
394.9,1545,1634
395.4,1546,1631
395.8,1578,1659
396.3,1560,1649
396.7,1504,1590
397.2,1556,1648
397.7,1490,1570
398.1,1537,1623
398.6,1399,1474
399,1574,1661
399.5,1510,1597
400,1570,1658
400.4,1564,1651
400.9,1561,1651
401.3,1561,1641
401.8,1523,1611
402.3,1516,1595
402.7,1523,1605
403.2,1535,1623
403.6,1504,1598
404.1,1507,1596
404.6,1527,1610
405,1531,1619
405.5,1541,1623
406,1505,1590
406.4,1464,1551
406.9,1570,1659
407.3,1533,1623
407.8,1515,1605
408.3,1561,1652
408.7,1351,1429
409.2,1560,1644
409.6,1522,1606
410.1,1562,1649
410.6,1558,1646
411,1503,1591
411.5,1469,1556
412,1513,1596
412.4,1579,1665
412.9,1558,1644
413.3,1588,1672
413.8,1515,1604
414.3,1503,1593
414.7,1543,1627
415.2,1549,1644
415.6,1544,1629
416.1,1521,1606
416.6,1559,1648
417,1600,1683
417.5,1480,1563
418,1560,1649
418.4,1533,1622
418.9,1317,1398
419.3,1440,1530
419.8,1559,1649
420.3,1553,1642
420.7,1460,1547
421.2,1472,1555
421.7,1553,1646
422.1,1373,1459
422.6,1496,1582
423,1549,1634
423.5,1581,1666
424,1498,1581
424.4,1490,1578
424.9,1587,1676
425.4,1565,1648
425.8,1526,1613
426.3,1416,1506
426.7,1565,1651
427.2,1554,1646
427.7,1518,1605
428.1,1495,1583
428.6,1481,1567
429.1,1570,1657
429.5,1494,1585
430,1542,1631
430.4,1623,1704
430.9,1565,1651
431.4,1521,1609
431.8,1551,1635
432.3,1543,1634
432.8,1586,1672
433.2,1466,1550
433.7,1475,1566
434.1,1550,1638
434.6,1583,1673
435.1,1471,1555
435.5,1558,1645
436,1524,1604
436.5,1496,1587
436.9,1459,1566
437.4,1517,1606
437.9,1380,1469
438.3,1536,1622
438.8,1543,1627
439.2,1567,1655
439.7,1555,1640
440.2,1364,1453
440.6,1433,1524
441.1,1557,1646
441.6,1571,1658
442,1470,1561
442.5,1581,1664
443,1545,1633
443.4,1521,1610
443.9,1488,1578
444.3,1496,1557
444.8,1540,1628
445.3,1587,1676
445.7,1359,1447
446.2,1552,1638
446.7,1560,1651
447.1,1547,1632
447.6,1533,1620
448.1,1447,1537
448.5,1521,1608
449,1526,1616
449.5,1501,1589
449.9,1547,1637
450.4,1523,1609
450.8,1419,1501
451.3,1569,1650
451.8,1597,1684
452.2,1517,1574
452.7,1614,1698
453.2,1592,1680
453.6,1543,1634
454.1,1497,1586
454.6,1551,1639
455,1500,1585
455.5,1542,1629
456,1543,1631
456.4,1495,1585
456.9,1612,1697
457.4,1543,1644
457.8,1474,1558
458.3,1374,1458
458.7,1569,1658
459.2,1587,1675
459.7,1527,1610
460.1,1490,1578
460.6,1533,1621
461.1,1503,1595
461.5,1572,1660
462,1531,1619
462.5,1573,1658
462.9,1536,1623
463.4,1399,1482
463.9,1465,1552
464.3,1550,1634
464.8,1555,1645
465.3,1527,1615
465.7,1518,1609
466.2,1431,1516
466.7,1546,1635
467.1,1562,1652
467.6,1545,1630
468.1,1529,1613
468.5,1496,1583
469,1491,1578
469.4,1578,1666
469.9,1563,1649
470.4,1563,1648
470.8,1521,1607
471.3,1619,1704
471.8,1570,1654
472.2,1519,1610
472.7,1477,1569
473.2,1485,1571
473.6,1479,1570
474.1,1599,1676
474.6,1562,1650
475,1508,1603
475.5,1534,1624
476,1510,1600
476.4,1533,1618
476.9,1558,1647
477.4,1524,1621
477.8,1551,1640
478.3,1457,1545
478.8,1536,1618
479.2,1538,1630
479.7,1556,1638
480.2,1528,1616
480.6,1555,1641
481.1,1441,1525
481.6,1532,1625
482,1506,1597
482.5,1547,1635
483,1548,1638
483.4,1551,1641
483.9,1555,1641
484.4,1525,1613
484.8,1582,1663
485.3,1569,1658
485.8,1540,1627
486.2,1534,1626
486.7,1537,1627
487.2,1565,1654
487.6,1536,1620
488.1,1490,1578
488.6,1567,1656
489,1532,1623
489.5,1551,1640
490,1560,1651
490.4,1630,1713
490.9,1479,1561
491.4,1561,1645
491.8,1547,1633
492.3,1537,1623
492.8,1610,1700
493.2,1571,1659
493.7,1497,1579
494.2,1545,1634
494.6,1530,1617
495.1,1559,1649
495.6,1449,1535
496,1506,1593
496.5,1469,1558
497,1520,1610
497.5,1501,1583
497.9,1517,1600
498.4,1582,1668
498.9,1439,1537
499.3,1539,1628
499.8,1543,1632
500.3,1545,1633
500.7,1560,1655
501.2,1344,1433
501.7,1448,1534
502.1,1487,1575
502.6,1528,1617
503.1,1488,1576
503.5,1559,1647
504,1535,1625
504.5,1497,1586
504.9,1573,1659
505.4,1501,1589
505.9,1546,1631
506.3,1526,1610
506.8,1529,1612
507.3,1505,1590
507.8,1436,1529
508.2,1529,1618
508.7,1521,1611
509.2,1410,1496
509.6,1375,1467
510.1,1496,1589
510.6,1493,1576
511,1581,1667
511.5,1550,1634
512,1529,1614
512.4,1567,1651
512.9,1566,1657
513.4,1474,1559
513.8,1486,1577
514.3,1577,1660
514.8,1568,1658
515.3,1453,1537
515.7,1478,1566
516.2,1588,1676
516.7,1461,1548
517.1,1532,1622
517.6,1503,1586
518.1,1534,1619
518.5,1531,1623
519,1414,1500
519.5,1508,1591
519.9,1557,1641
520.4,1538,1628
520.9,1515,1606
521.4,1446,1539
521.8,1507,1596
522.3,1473,1559
522.8,1551,1644
523.2,1454,1547
523.7,1524,1612
524.2,1356,1439
524.6,1523,1606
525.1,1586,1670
525.6,1572,1658
526,1534,1619
526.5,1536,1622
527,1550,1637
527.5,1521,1612
527.9,1536,1623
528.4,1572,1654
528.9,1553,1644
529.3,1396,1481
529.8,1581,1669
530.3,1524,1609
530.7,1554,1640
531.2,1524,1609
531.7,1532,1621
532.2,1500,1589
532.6,1546,1637
533.1,1554,1642
533.6,1530,1621
534,1558,1645
534.5,1514,1600
535,1554,1647
535.4,1535,1626
535.9,1551,1639
536.4,1424,1506
536.9,1585,1675
537.3,1502,1591
537.8,1563,1648
538.3,1540,1629
538.7,1594,1680
539.2,1577,1663
539.7,1548,1635
540.2,1479,1562
540.6,1544,1627
541.1,1532,1617
541.6,1539,1629
542,1579,1670
542.5,1537,1619
543,1548,1634
543.5,1530,1618
543.9,1548,1638
544.4,1522,1604
544.9,1477,1557
545.3,1534,1620
545.8,1562,1648
546.3,1526,1622
546.7,1510,1593
547.2,1543,1637
547.7,1538,1628
548.2,1567,1652
548.6,1555,1639
549.1,1472,1561
549.6,1577,1667
550,1524,1615
550.5,1499,1590
551,1541,1628
551.5,1576,1663
551.9,1546,1629
552.4,1506,1598
552.9,1546,1635
553.3,1559,1644
553.8,1461,1548
554.3,1532,1614
554.8,1556,1643
555.2,1345,1429
555.7,1583,1672
556.2,1556,1644
556.7,1582,1669
557.1,1544,1635
557.6,1558,1650
558.1,1518,1608
558.5,1476,1567
559,1500,1589
559.5,1579,1667
560,1539,1629
560.4,1538,1631
560.9,1523,1609
561.4,1550,1635
561.8,1489,1575
562.3,1560,1654
562.8,1524,1610
563.3,1533,1621
563.7,1548,1640
564.2,1351,1434
564.7,1469,1551
565.2,1413,1502
565.6,1510,1594
566.1,1587,1669
566.6,1573,1663
567,1551,1635
567.5,1546,1634
568,1536,1624
568.5,1502,1587
568.9,1492,1577
569.4,1519,1608
569.9,1472,1559
570.4,1484,1567
570.8,1547,1637
571.3,1551,1640
571.8,1547,1636
572.2,1509,1603
572.7,1557,1644
573.2,1522,1609
573.7,1562,1647
574.1,1543,1631
574.6,1567,1655
575.1,1582,1656
575.6,1555,1644
576,1519,1609
576.5,1507,1592
577,1578,1665
577.4,1456,1542
577.9,1517,1602
578.4,1458,1546
578.9,1534,1626
579.3,1479,1568
579.8,1515,1606
580.3,1545,1630
580.8,1533,1622
581.2,1522,1612
581.7,1554,1644
582.2,1561,1650
582.7,1382,1458
583.1,1461,1551
583.6,1465,1552
584.1,1466,1554
584.6,1569,1664
585,1565,1652
585.5,1532,1616
586,1531,1621
586.4,1566,1658
586.9,1562,1647
587.4,1571,1657
587.9,827.5,909
588.3,1518,1605
588.8,1458,1544
589.3,1494,1585
589.8,1540,1625
590.2,1522,1612
590.7,1572,1661
591.2,1550,1641
591.7,1466,1554
592.1,1541,1628
592.6,1469,1556
593.1,1584,1674
593.6,1556,1647
594,1496,1588
594.5,1453,1544
595,1433,1526
595.5,1453,1547
595.9,1526,1618
596.4,1461,1550
596.9,1483,1574
597.4,1560,1651
597.8,1596,1680
598.3,1570,1655
598.8,1525,1612
599.3,1561,1650
599.7,1585,1675
600.2,1519,1600
600.7,1542,1634
601.2,1445,1530
601.6,1567,1660
602.1,1589,1671
602.6,1547,1636
603.1,1565,1651
603.5,1381,1472
604,1515,1603
604.5,1572,1651
605,1545,1626
605.4,1474,1564
605.9,1500,1591
606.4,1526,1612
606.9,1489,1582
607.3,1531,1621
607.8,1553,1639
608.3,1412,1507
608.8,1391,1480
609.2,1547,1636
609.7,1507,1597
610.2,1538,1628
610.7,1452,1542
611.1,1488,1575
611.6,1582,1669
612.1,1555,1646
612.6,1549,1635
613,1590,1680
613.5,1565,1650
614,1448,1537
614.5,1530,1617
614.9,1247,1321
615.4,1535,1624
615.9,1505,1598
616.4,1544,1625
616.9,1564,1648
617.3,1533,1623
617.8,1515,1600
618.3,1601,1685
618.8,1602,1691
619.2,1569,1658
619.7,1557,1642
620.2,1410,1493
620.7,1532,1622
621.1,1568,1660
621.6,1483,1569
622.1,1563,1653
622.6,1430,1515
623,1538,1623
623.5,1563,1650
624,1545,1630
624.5,1517,1604
625,1554,1643
625.4,1569,1653
