Time,Mon Nov 25 14:47:38 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,28.84
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1449,1541
338.1,1402,1496
338.5,1565,1666
339,1438,1534
339.4,1483,1577
339.9,1366,1464
340.3,1586,1684
340.8,1583,1678
341.3,1254,1348
341.7,1482,1578
342.2,1577,1676
342.6,1455,1549
343.1,1538,1634
343.5,1561,1664
344,1564,1662
344.5,1507,1602
344.9,1497,1594
345.4,1489,1588
345.8,1477,1577
346.3,1551,1650
346.7,1531,1627
347.2,1423,1525
347.7,1519,1614
348.1,1494,1592
348.6,1343,1437
349,1572,1660
349.5,1502,1600
349.9,1567,1665
350.4,1433,1531
350.9,1503,1603
351.3,1582,1678
351.8,1529,1630
352.2,1571,1665
352.7,1470,1569
353.1,1474,1573
353.6,1542,1639
354.1,1516,1608
354.5,1424,1526
355,1431,1523
355.4,1528,1624
355.9,1533,1632
356.3,1559,1655
356.8,1513,1610
357.3,1554,1650
357.7,1506,1604
358.2,1574,1669
358.6,1520,1615
359.1,1577,1673
359.5,1524,1621
360,1497,1595
360.5,1557,1656
360.9,1522,1620
361.4,1502,1599
361.8,1572,1671
362.3,1461,1566
362.7,1453,1548
363.2,1504,1599
363.7,1556,1654
364.1,1564,1669
364.6,1548,1649
365,1415,1509
365.5,1357,1451
366,1211,1287
366.4,1438,1531
366.9,1488,1592
367.3,1550,1643
367.8,1583,1682
368.2,1581,1679
368.7,1431,1535
369.2,1506,1609
369.6,1532,1625
370.1,1541,1638
370.5,1530,1626
371,1529,1626
371.5,1424,1519
371.9,1416,1512
372.4,1501,1598
372.8,1515,1609
373.3,1527,1621
373.8,1531,1631
374.2,1564,1663
374.7,1544,1644
375.1,1497,1596
375.6,1566,1664
376,1517,1612
376.5,1458,1554
377,1552,1647
377.4,1563,1661
377.9,1471,1572
378.3,1531,1625
378.8,1602,1687
379.3,1569,1666
379.7,1524,1622
380.2,1527,1629
380.6,1595,1689
381.1,1532,1628
381.6,1546,1642
382,1529,1629
382.5,1544,1639
382.9,1554,1646
383.4,1576,1674
383.9,1493,1590
384.3,1508,1605
384.8,1525,1624
385.2,1479,1577
385.7,1475,1570
386.2,1589,1688
386.6,1519,1621
387.1,1423,1523
387.5,1554,1663
388,1565,1660
388.5,1405,1500
388.9,1593,1693
389.4,1583,1686
389.8,1553,1653
390.3,1433,1526
390.8,1544,1645
391.2,1522,1619
391.7,1503,1594
392.1,1539,1636
392.6,1496,1602
393.1,1540,1640
393.5,1467,1560
394,1603,1703
394.4,1267,1365
