Time,Mon Nov 25 14:47:08 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,28.52
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1450,1541
338.1,1404,1498
338.5,1563,1656
339,1439,1531
339.4,1483,1577
339.9,1368,1462
340.3,1584,1672
340.8,1581,1674
341.3,1259,1348
341.7,1482,1577
342.2,1575,1664
342.6,1455,1546
343.1,1537,1630
343.5,1559,1656
344,1563,1654
344.5,1506,1599
344.9,1496,1590
345.4,1489,1584
345.8,1477,1573
346.3,1550,1643
346.7,1530,1626
347.2,1425,1519
347.7,1518,1607
348.1,1494,1586
348.6,1346,1439
349,1570,1656
349.5,1501,1597
349.9,1566,1658
350.4,1434,1525
350.9,1503,1593
351.3,1580,1671
351.8,1528,1625
352.2,1570,1664
352.7,1470,1565
353.1,1474,1567
353.6,1541,1637
354.1,1516,1611
354.5,1425,1519
355,1432,1526
355.4,1527,1621
355.9,1532,1627
356.3,1558,1649
356.8,1512,1609
357.3,1552,1646
357.7,1506,1600
358.2,1572,1662
358.6,1520,1613
359.1,1575,1671
359.5,1523,1621
360,1497,1589
360.5,1555,1653
360.9,1521,1612
361.4,1502,1597
361.8,1570,1665
362.3,1462,1556
362.7,1453,1546
363.2,1504,1598
363.7,1555,1644
364.1,1562,1660
364.6,1546,1646
365,1417,1511
365.5,1360,1452
366,1216,1286
366.4,1439,1532
366.9,1487,1582
367.3,1548,1638
367.8,1581,1676
368.2,1579,1679
368.7,1432,1527
369.2,1505,1604
369.6,1531,1625
370.1,1540,1633
370.5,1529,1620
371,1529,1626
371.5,1425,1518
371.9,1417,1509
372.4,1500,1595
372.8,1514,1603
373.3,1526,1617
373.8,1530,1625
374.2,1562,1657
374.7,1543,1638
375.1,1496,1587
375.6,1564,1656
376,1516,1611
376.5,1459,1556
377,1551,1646
377.4,1562,1656
377.9,1471,1567
378.3,1530,1627
378.8,1600,1687
379.3,1567,1662
379.7,1523,1613
380.2,1526,1622
380.6,1593,1686
381.1,1530,1623
381.6,1545,1638
382,1528,1622
382.5,1542,1635
382.9,1552,1644
383.4,1574,1666
383.9,1492,1583
384.3,1507,1602
384.8,1524,1617
385.2,1479,1578
385.7,1475,1567
386.2,1586,1683
386.6,1518,1616
387.1,1424,1515
387.5,1553,1654
388,1563,1658
388.5,1406,1504
388.9,1591,1684
389.4,1581,1674
389.8,1551,1651
390.3,1434,1530
390.8,1543,1637
391.2,1521,1615
391.7,1502,1593
392.1,1538,1628
392.6,1496,1597
393.1,1539,1638
393.5,1467,1559
394,1601,1698
394.4,1271,1368
394.9,1548,1641
395.4,1549,1640
395.8,1583,1678
396.3,1564,1652
396.7,1505,1596
397.2,1559,1649
397.7,1491,1578
398.1,1540,1634
398.6,1396,1484
399,1578,1675
399.5,1511,1610
400,1574,1668
400.4,1568,1660
400.9,1565,1660
401.3,1565,1662
401.8,1525,1618
402.3,1517,1611
402.7,1525,1616
403.2,1538,1636
403.6,1505,1598
404.1,1509,1604
404.6,1529,1620
405,1533,1624
405.5,1544,1637
406,1506,1597
406.4,1463,1552
406.9,1574,1671
407.3,1536,1624
407.8,1516,1616
408.3,1565,1661
408.7,1345,1438
409.2,1564,1657
409.6,1524,1612
410.1,1566,1660
410.6,1562,1654
411,1505,1596
411.5,1469,1559
412,1515,1609
412.4,1583,1683
412.9,1562,1657
413.3,1593,1685
