Time,Mon Nov 25 14:48:58 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,29.61
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1448,1555
338.1,1398,1503
338.5,1569,1675
339,1436,1538
339.4,1484,1588
339.9,1361,1467
340.3,1591,1697
340.8,1588,1692
341.3,1244,1348
341.7,1482,1587
342.2,1581,1687
342.6,1454,1557
343.1,1541,1648
343.5,1565,1669
344,1568,1674
344.5,1508,1606
344.9,1497,1607
345.4,1489,1598
345.8,1477,1581
346.3,1554,1659
346.7,1533,1640
347.2,1421,1531
347.7,1521,1626
348.1,1495,1598
348.6,1337,1438
349,1576,1677
349.5,1503,1610
349.9,1571,1678
350.4,1431,1533
350.9,1504,1605
351.3,1586,1691
351.8,1532,1640
352.2,1576,1681
352.7,1470,1574
353.1,1474,1582
353.6,1545,1656
354.1,1518,1623
354.5,1422,1527
355,1429,1530
355.4,1530,1631
355.9,1536,1644
356.3,1563,1664
356.8,1515,1620
357.3,1558,1663
357.7,1507,1610
358.2,1579,1690
358.6,1522,1624
359.1,1581,1688
359.5,1527,1633
360,1498,1607
360.5,1561,1668
360.9,1524,1630
361.4,1504,1609
361.8,1576,1689
362.3,1460,1570
362.7,1452,1554
363.2,1505,1613
363.7,1560,1661
364.1,1568,1676
364.6,1551,1660
365,1412,1514
365.5,1352,1457
366,1198,1284
366.4,1436,1539
366.9,1488,1598
367.3,1553,1661
367.8,1588,1692
368.2,1586,1693
368.7,1429,1533
369.2,1507,1618
369.6,1534,1641
370.1,1544,1649
370.5,1532,1632
371,1532,1634
371.5,1421,1528
371.9,1413,1517
372.4,1502,1606
372.8,1517,1624
373.3,1529,1632
373.8,1534,1642
374.2,1568,1674
374.7,1547,1655
375.1,1497,1605
375.6,1570,1681
376,1519,1626
376.5,1458,1563
377,1556,1664
377.4,1567,1674
377.9,1471,1575
378.3,1533,1640
378.8,1608,1706
379.3,1574,1677
379.7,1526,1631
380.2,1529,1637
380.6,1601,1708
381.1,1534,1637
381.6,1549,1656
382,1531,1636
382.5,1547,1654
382.9,1557,1663
383.4,1581,1684
383.9,1493,1600
384.3,1509,1618
384.8,1527,1635
385.2,1479,1583
385.7,1475,1584
386.2,1594,1701
386.6,1521,1629
387.1,1420,1535
387.5,1558,1671
388,1569,1676
388.5,1401,1508
388.9,1598,1707
389.4,1588,1697
389.8,1556,1665
390.3,1431,1537
390.8,1547,1653
391.2,1524,1635
391.7,1504,1611
392.1,1542,1645
392.6,1497,1604
393.1,1543,1650
393.5,1467,1574
394,1609,1722
394.4,1257,1360
394.9,1553,1656
395.4,1554,1656
395.8,1590,1698
396.3,1570,1679
396.7,1507,1612
397.2,1565,1672
397.7,1491,1583
398.1,1544,1653
398.6,1390,1495
399,1585,1689
399.5,1513,1617
400,1581,1682
400.4,1574,1679
400.9,1571,1677
401.3,1570,1674
401.8,1528,1633
402.3,1520,1626
402.7,1528,1630
403.2,1542,1648
403.6,1507,1613
404.1,1511,1616
404.6,1533,1637
405,1537,1642
405.5,1548,1651
406,1508,1609
406.4,1462,1564
406.9,1581,1690
407.3,1540,1650
407.8,1519,1626
408.3,1571,1680
408.7,1336,1439
409.2,1569,1675
409.6,1527,1629
410.1,1572,1676
410.6,1568,1675
411,1506,1611
411.5,1468,1578
412,1517,1622
412.4,1591,1696
412.9,1568,1675
413.3,1601,1707
413.8,1520,1624
414.3,1506,1616
414.7,1550,1658
415.2,1557,1665
415.6,1551,1659
416.1,1525,1631
416.6,1569,1674
417,1614,1718
417.5,1480,1585
418,1569,1675
418.4,1539,1643
418.9,1298,1404
419.3,1435,1540
419.8,1569,1676
420.3,1562,1673
420.7,1457,1560
421.2,1471,1583
421.7,1562,1666
422.1,1361,1462
422.6,1498,1600
423,1558,1664
423.5,1593,1697
424,1500,1604
424.4,1491,1602
424.9,1599,1703
425.4,1576,1682
425.8,1532,1636
426.3,1408,1515
426.7,1575,1683
427.2,1563,1668
427.7,1522,1626
428.1,1497,1604
428.6,1481,1588
429.1,1581,1692
429.5,1496,1603
430,1549,1655
430.4,1640,1744
430.9,1575,1680
431.4,1525,1630
431.8,1559,1665
432.3,1551,1658
432.8,1599,1705
433.2,1464,1574
433.7,1475,1581
434.1,1558,1669
434.6,1595,1702
435.1,1470,1574
435.5,1567,1680
436,1529,1634
436.5,1498,1606
436.9,1456,1584
437.4,1521,1625
437.9,1369,1473
438.3,1543,1649
438.8,1550,1652
439.2,1577,1682
439.7,1564,1665
440.2,1350,1454
440.6,1428,1537
441.1,1566,1668
441.6,1582,1695
442,1469,1575
442.5,1593,1699
443,1552,1659
443.4,1526,1633
443.9,1489,1591
444.3,1498,1575
444.8,1547,1654
445.3,1600,1707
445.7,1345,1450
446.2,1561,1670
446.7,1569,1677
447.1,1555,1658
447.6,1540,1644
448.1,1443,1552
448.5,1525,1636
449,1531,1639
449.5,1504,1614
449.9,1555,1660
450.4,1529,1633
450.8,1411,1520
451.3,1579,1682
451.8,1611,1711
452.2,1521,1633
452.7,1630,1734
453.2,1606,1715
453.6,1551,1654
