Time,Wed Jan  8 12:39:56 2020
Serial Number,S10535
Integration time (microseconds),4000000
Sensor temperature,25.94
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1467,1515
338.1,1435,1488
338.5,1544,1598
339,1459,1510
339.4,1490,1544
339.9,1411,1464
340.3,1558,1610
340.8,1557,1609
341.3,1336,1388
341.7,1489,1540
342.2,1552,1608
342.6,1471,1526
343.1,1526,1578
343.5,1542,1594
344,1544,1597
344.5,1505,1555
344.9,1498,1555
345.4,1493,1544
345.8,1485,1538
346.3,1535,1586
346.7,1522,1576
347.2,1449,1509
347.7,1513,1564
348.1,1497,1551
348.6,1396,1448
349,1549,1603
349.5,1502,1558
349.9,1546,1596
350.4,1456,1503
350.9,1503,1550
351.3,1556,1609
351.8,1520,1576
352.2,1549,1608
352.7,1481,1538
353.1,1483,1543
353.6,1529,1579
354.1,1512,1563
354.5,1450,1506
355,1455,1506
355.4,1520,1572
355.9,1523,1582
356.3,1541,1595
356.8,1510,1566
357.3,1537,1587
357.7,1505,1564
358.2,1551,1605
358.6,1514,1568
359.1,1552,1608
359.5,1517,1570
360,1499,1547
360.5,1539,1595
360.9,1516,1571
361.4,1502,1556
361.8,1549,1599
362.3,1475,1527
362.7,1469,1521
363.2,1504,1561
363.7,1538,1591
364.1,1544,1597
364.6,1533,1588
365,1444,1497
365.5,1405,1454
366,1307,1344
366.4,1459,1514
366.9,1492,1545
367.3,1534,1592
367.8,1556,1609
368.2,1555,1608
368.7,1454,1507
369.2,1505,1557
369.6,1522,1573
370.1,1528,1578
370.5,1521,1577
371,1521,1569
371.5,1450,1496
371.9,1444,1495
372.4,1501,1556
372.8,1511,1567
373.3,1519,1573
373.8,1522,1578
374.2,1544,1597
374.7,1530,1588
375.1,1498,1555
375.6,1545,1604
376,1512,1564
376.5,1473,1527
377,1536,1592
377.4,1543,1594
377.9,1481,1539
378.3,1521,1574
378.8,1569,1612
379.3,1547,1599
379.7,1517,1571
380.2,1519,1575
380.6,1565,1628
381.1,1522,1577
381.6,1532,1587
382,1520,1568
382.5,1530,1591
382.9,1537,1589
383.4,1552,1601
383.9,1496,1547
384.3,1506,1561
384.8,1518,1573
385.2,1487,1544
385.7,1484,1534
386.2,1560,1608
386.6,1513,1572
387.1,1449,1506
387.5,1537,1590
388,1544,1596
388.5,1437,1487
388.9,1563,1617
389.4,1557,1610
389.8,1536,1591
390.3,1456,1502
390.8,1530,1582
391.2,1515,1573
391.7,1503,1557
392.1,1527,1579
392.6,1498,1551
393.1,1528,1585
393.5,1479,1530
394,1570,1625
394.4,1344,1403
394.9,1534,1587
395.4,1534,1588
395.8,1558,1613
396.3,1545,1597
396.7,1505,1558
397.2,1542,1597
397.7,1495,1543
398.1,1529,1575
398.6,1430,1470
399,1555,1606
399.5,1509,1566
400,1552,1612
400.4,1547,1601
400.9,1546,1601
401.3,1545,1594
401.8,1518,1572
402.3,1513,1568
402.7,1518,1574
403.2,1527,1582
403.6,1504,1559
404.1,1507,1560
404.6,1521,1577
405,1524,1579
405.5,1531,1583
406,1505,1557
406.4,1476,1528
406.9,1552,1606
407.3,1525,1582
407.8,1512,1566
408.3,1545,1603
408.7,1395,1442
409.2,1545,1596
409.6,1517,1567
410.1,1546,1603
410.6,1543,1593
411,1504,1555
411.5,1480,1533
412,1511,1562
412.4,1558,1607
412.9,1543,1593
413.3,1565,1609
413.8,1513,1571
414.3,1504,1560
414.7,1532,1586
415.2,1537,1594
415.6,1533,1589
416.1,1516,1565
416.6,1544,1599
417,1573,1620
417.5,1487,1538
418,1544,1596
418.4,1525,1577
418.9,1370,1415
419.3,1459,1512
419.8,1544,1598
420.3,1540,1592
420.7,1473,1520
421.2,1482,1535
421.7,1540,1591
422.1,1411,1467
422.6,1499,1548
423,1537,1589
423.5,1560,1614
424,1500,1554
424.4,1495,1549
424.9,1564,1615
425.4,1549,1603
425.8,1521,1574
426.3,1441,1498
426.7,1548,1601
427.2,1540,1594
427.7,1515,1566
428.1,1498,1548
428.6,1488,1542
429.1,1552,1610
429.5,1497,1554
430,1532,1584
430.4,1590,1642
430.9,1548,1602
431.4,1516,1569
431.8,1538,1591
432.3,1533,1594
432.8,1563,1614
433.2,1477,1527
433.7,1484,1539
434.1,1538,1594
434.6,1561,1616
435.1,1481,1536
435.5,1543,1597
436,1519,1566
436.5,1499,1555
436.9,1472,1538
437.4,1514,1569
437.9,1416,1465
438.3,1528,1578
438.8,1532,1582
439.2,1549,1606
439.7,1541,1596
