Time,Wed Jan  8 12:40:46 2020
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.58
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1453,1527
338.1,1412,1490
338.5,1554,1628
339,1444,1515
339.4,1483,1559
339.9,1381,1453
340.3,1572,1649
340.8,1570,1645
341.3,1283,1358
341.7,1482,1554
342.2,1564,1644
342.6,1458,1533
343.1,1531,1608
343.5,1551,1625
344,1554,1625
344.5,1503,1578
344.9,1495,1571
345.4,1488,1565
345.8,1478,1555
346.3,1542,1618
346.7,1524,1606
347.2,1431,1511
347.7,1514,1592
348.1,1492,1562
348.6,1361,1438
349,1560,1628
349.5,1499,1578
349.9,1556,1625
350.4,1439,1512
350.9,1500,1573
351.3,1569,1644
351.8,1523,1607
352.2,1560,1639
352.7,1471,1547
353.1,1475,1562
353.6,1534,1612
354.1,1512,1586
354.5,1431,1509
355,1438,1511
355.4,1522,1595
355.9,1526,1605
356.3,1549,1628
356.8,1509,1590
357.3,1545,1617
357.7,1503,1582
358.2,1562,1635
358.6,1515,1590
359.1,1564,1641
359.5,1519,1597
360,1495,1570
360.5,1547,1629
360.9,1517,1597
361.4,1500,1574
361.8,1560,1634
362.3,1464,1539
362.7,1456,1538
363.2,1501,1581
363.7,1546,1618
364.1,1553,1628
364.6,1539,1613
365,1424,1501
365.5,1373,1439
366,1246,1303
366.4,1444,1523
366.9,1487,1563
367.3,1541,1617
367.8,1570,1639
368.2,1569,1644
368.7,1437,1515
369.2,1503,1578
369.6,1525,1602
370.1,1533,1604
370.5,1524,1605
371,1523,1599
371.5,1431,1507
371.9,1424,1492
372.4,1498,1576
372.8,1511,1587
373.3,1521,1594
373.8,1525,1608
374.2,1553,1629
374.7,1536,1615
375.1,1495,1569
375.6,1555,1634
376,1512,1585
376.5,1461,1540
377,1543,1616
377.4,1553,1627
377.9,1472,1555
378.3,1524,1601
378.8,1587,1656
379.3,1558,1630
379.7,1518,1596
380.2,1521,1602
380.6,1581,1664
381.1,1525,1608
381.6,1538,1618
382,1522,1600
382.5,1536,1615
382.9,1544,1618
383.4,1564,1635
383.9,1491,1569
384.3,1505,1583
384.8,1520,1597
385.2,1479,1554
385.7,1476,1553
386.2,1575,1649
386.6,1514,1595
387.1,1430,1504
387.5,1545,1626
388,1554,1629
388.5,1414,1492
388.9,1579,1657
389.4,1570,1646
389.8,1543,1618
390.3,1439,1505
390.8,1536,1614
391.2,1517,1597
391.7,1500,1579
392.1,1531,1603
392.6,1494,1571
393.1,1533,1610
393.5,1469,1543
394,1588,1666
394.4,1295,1375
394.9,1541,1612
395.4,1541,1615
395.8,1572,1645
396.3,1555,1635
396.7,1503,1576
397.2,1551,1628
397.7,1490,1556
398.1,1534,1605
398.6,1405,1471
399,1568,1640
399.5,1508,1583
400,1564,1645
400.4,1558,1635
400.9,1556,1634
401.3,1555,1629
401.8,1520,1599
402.3,1513,1589
402.7,1520,1595
403.2,1531,1611
403.6,1502,1577
404.1,1506,1585
404.6,1524,1598
405,1527,1604
405.5,1537,1610
406,1503,1578
406.4,1465,1543
406.9,1564,1640
407.3,1530,1604
407.8,1512,1586
408.3,1556,1637
408.7,1360,1430
409.2,1555,1630
409.6,1519,1592
410.1,1557,1633
410.6,1553,1625
411,1502,1578
411.5,1470,1541
412,1511,1589
412.4,1572,1649
412.9,1553,1628
413.3,1581,1652
413.8,1513,1594
414.3,1502,1583
414.7,1538,1613
415.2,1544,1625
415.6,1539,1611
416.1,1518,1595
416.6,1554,1629
417,1592,1660
417.5,1480,1555
418,1554,1629
418.4,1529,1604
418.9,1328,1399
419.3,1443,1516
419.8,1554,1627
420.3,1548,1625
420.7,1461,1532
421.2,1473,1546
421.7,1548,1626
422.1,1381,1462
422.6,1495,1573
423,1545,1622
423.5,1574,1651
424,1497,1571
424.4,1489,1570
424.9,1579,1656
425.4,1560,1635
425.8,1523,1599
426.3,1420,1496
426.7,1559,1634
427.2,1549,1627
427.7,1515,1592
428.1,1494,1572
428.6,1481,1559
429.1,1564,1636
429.5,1493,1571
430,1538,1614
430.4,1613,1687
430.9,1559,1635
431.4,1518,1596
431.8,1546,1617
432.3,1539,1622
432.8,1579,1654
433.2,1467,1544
433.7,1476,1554
434.1,1545,1625
434.6,1576,1652
435.1,1472,1550
435.5,1552,1629
436,1521,1595
436.5,1495,1567
436.9,1460,1553
437.4,1514,1592
437.9,1387,1466
438.3,1532,1607
438.8,1538,1609
439.2,1561,1634
439.7,1550,1630
440.2,1372,1460
440.6,1437,1513
441.1,1552,1626
441.6,1565,1640
442,1471,1554
442.5,1574,1650
443,1540,1614
443.4,1519,1590
443.9,1487,1574
444.3,1495,1551
444.8,1536,1615
445.3,1580,1657
445.7,1368,1442
446.2,1547,1620
446.7,1554,1631
447.1,1542,1616
447.6,1530,1610
448.1,1449,1526
448.5,1518,1591
449,1523,1605
449.5,1500,1581
449.9,1543,1620
450.4,1521,1588
450.8,1423,1502
451.3,1563,1638
451.8,1589,1664
452.2,1514,1598
452.7,1605,1677
453.2,1585,1662
453.6,1539,1616
454.1,1496,1574
454.6,1547,1621
455,1499,1580
455.5,1537,1614
456,1538,1613
456.4,1494,1571
456.9,1603,1672
457.4,1538,1611
457.8,1475,1550
458.3,1381,1455
458.7,1563,1638
459.2,1579,1653
459.7,1523,1594
460.1,1489,1567
460.6,1529,1607
461.1,1502,1581
461.5,1566,1637
462,1528,1600
462.5,1567,1642
462.9,1532,1608
463.4,1405,1475
463.9,1466,1540
464.3,1545,1624
464.8,1550,1627
465.3,1524,1600
465.7,1516,1593
466.2,1434,1507
466.7,1541,1618
467.1,1557,1630
467.6,1540,1617
468.1,1526,1599
468.5,1495,1570
469,1491,1561
469.4,1571,1655
469.9,1557,1636
470.4,1557,1636
470.8,1518,1591
471.3,1610,1688
471.8,1564,1639
472.2,1517,1595
472.7,1477,1558
473.2,1485,1563
473.6,1480,1559
474.1,1591,1661
474.6,1556,1635
475,1506,1586
475.5,1530,1607
476,1508,1586
476.4,1530,1609
476.9,1553,1627
477.4,1521,1602
477.8,1546,1624
478.3,1459,1532
478.8,1532,1607
479.2,1534,1611
479.7,1551,1627
480.2,1524,1596
480.6,1550,1623
481.1,1444,1520
481.6,1528,1602
482,1504,1582
482.5,1543,1620
483,1543,1628
483.4,1547,1622
483.9,1550,1621
484.4,1522,1594
484.8,1575,1646
485.3,1563,1637
485.8,1536,1610
486.2,1530,1608
486.7,1533,1613
487.2,1560,1633
487.6,1532,1607
488.1,1490,1563
488.6,1561,1641
489,1528,1607
489.5,1547,1625
490,1555,1627
490.4,1619,1692
490.9,1479,1552
491.4,1556,1629
491.8,1543,1619
492.3,1533,1610
492.8,1602,1678
493.2,1565,1642
493.7,1496,1570
494.2,1541,1619
494.6,1527,1606
495.1,1554,1630
495.6,1451,1528
496,1504,1584
496.5,1470,1549
497,1517,1598
497.5,1499,1573
497.9,1515,1587
498.4,1575,1651
498.9,1442,1515
499.3,1535,1613
499.8,1539,1612
500.3,1541,1618
500.7,1555,1634
501.2,1354,1428
501.7,1451,1523
502.1,1487,1568
502.6,1525,1601
503.1,1488,1562
503.5,1553,1631
504,1531,1603
504.5,1496,1578
504.9,1567,1646
505.4,1500,1575
505.9,1542,1616
506.3,1523,1594
506.8,1526,1607
507.3,1503,1579
507.8,1439,1518
508.2,1526,1607
508.7,1519,1600
509.2,1415,1489
509.6,1382,1460
510.1,1495,1573
510.6,1493,1563
511,1574,1648
511.5,1545,1621
512,1526,1602
512.4,1561,1633
512.9,1560,1635
513.4,1475,1545
513.8,1486,1567
514.3,1570,1644
514.8,1562,1638
515.3,1455,1529
515.7,1478,1555
516.2,1581,1657
516.7,1463,1540
517.1,1528,1610
517.6,1501,1573
518.1,1530,1607
518.5,1528,1603
519,1419,1490
519.5,1506,1582
519.9,1551,1625
520.4,1534,1610
520.9,1513,1594
521.4,1448,1530
521.8,1505,1584
522.3,1473,1549
522.8,1547,1626
523.2,1456,1537
523.7,1521,1600
524.2,1365,1432
524.6,1520,1594
525.1,1579,1654
525.6,1566,1642
526,1531,1608
526.5,1533,1606
527,1546,1620
527.5,1518,1597
527.9,1532,1606
528.4,1566,1641
528.9,1548,1629
529.3,1402,1482
529.8,1574,1652
530.3,1521,1595
530.7,1549,1625
531.2,1521,1592
531.7,1529,1609
532.2,1499,1568
532.6,1542,1620
533.1,1549,1622
533.6,1527,1608
534,1553,1632
534.5,1512,1590
535,1549,1628
535.4,1531,1607
535.9,1546,1622
536.4,1428,1500
536.9,1578,1652
537.3,1500,1579
537.8,1557,1635
538.3,1536,1612
538.7,1586,1656
539.2,1571,1650
539.7,1544,1622
540.2,1479,1552
540.6,1540,1615
541.1,1529,1605
541.6,1535,1608
542,1572,1648
542.5,1533,1606
543,1544,1621
543.5,1527,1601
543.9,1544,1623
544.4,1519,1592
544.9,1477,1551
545.3,1530,1607
545.8,1557,1636
546.3,1523,1607
546.7,1508,1581
547.2,1539,1590
547.7,1534,1616
548.2,1561,1633
548.6,1550,1620
549.1,1473,1550
549.6,1571,1646
550,1521,1597
550.5,1498,1578
551,1537,1615
551.5,1570,1648
551.9,1542,1619
552.4,1504,1582
552.9,1541,1616
553.3,1553,1635
553.8,1463,1539
554.3,1528,1599
554.8,1551,1626
555.2,1354,1421
555.7,1576,1651
556.2,1551,1629
556.7,1575,1656
557.1,1540,1617
557.6,1553,1626
558.1,1516,1599
558.5,1477,1557
559,1499,1581
559.5,1572,1658
560,1535,1612
560.4,1534,1612
560.9,1520,1597
561.4,1545,1621
561.8,1489,1563
562.3,1554,1634
562.8,1521,1599
563.3,1530,1608
563.7,1543,1619
564.2,1360,1437
564.7,1469,1542
565.2,1418,1491
565.6,1508,1578
566.1,1580,1651
566.6,1567,1647
567,1546,1621
567.5,1542,1619
568,1533,1612
568.5,1500,1577
568.9,1491,1569
569.4,1516,1592
569.9,1472,1554
570.4,1484,1556
570.8,1543,1619
571.3,1546,1629
571.8,1543,1622
572.2,1507,1587
572.7,1552,1628
573.2,1519,1594
573.7,1556,1632
574.1,1539,1618
574.6,1561,1637
575.1,1575,1648
575.6,1550,1621
576,1516,1593
576.5,1505,1580
577,1572,1650
577.4,1458,1535
577.9,1515,1586
578.4,1460,1539
578.9,1530,1611
579.3,1479,1561
579.8,1513,1592
580.3,1540,1614
580.8,1530,1608
581.2,1519,1597
581.7,1549,1627
582.2,1555,1632
582.7,1389,1462
583.1,1462,1539
583.6,1466,1543
584.1,1467,1539
584.6,1563,1638
585,1559,1633
585.5,1528,1605
586,1527,1607
586.4,1561,1641
586.9,1557,1631
587.4,1565,1642
587.9,872.5,942
588.3,1515,1596
588.8,1460,1534
589.3,1493,1575
589.8,1536,1617
590.2,1520,1596
590.7,1566,1640
591.2,1546,1623
591.7,1467,1541
592.1,1537,1613
592.6,1470,1546
593.1,1577,1654
593.6,1551,1627
594,1495,1574
594.5,1455,1534
595,1436,1510
595.5,1455,1538
595.9,1523,1598
596.4,1463,1538
596.9,1483,1562
597.4,1554,1633
597.8,1588,1665
598.3,1564,1640
598.8,1522,1598
599.3,1555,1638
599.7,1578,1656
600.2,1516,1597
600.7,1538,1614
601.2,1447,1521
601.6,1561,1637
602.1,1581,1658
602.6,1542,1619
603.1,1559,1633
603.5,1388,1474
604,1513,1586
604.5,1565,1639
605,1540,1611
605.4,1475,1552
605.9,1498,1576
606.4,1523,1602
606.9,1488,1572
607.3,1528,1603
607.8,1548,1626
608.3,1417,1499
608.8,1397,1470
609.2,1542,1621
609.7,1505,1581
610.2,1534,1616
610.7,1454,1533
611.1,1488,1563
611.6,1575,1648
612.1,1550,1629
612.6,1544,1619
613,1583,1661
