Time,Wed Jan  8 12:40:36 2020
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.47
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1453,1529
338.1,1413,1491
338.5,1554,1623
339,1444,1510
339.4,1483,1555
339.9,1381,1453
340.3,1572,1650
340.8,1570,1641
341.3,1285,1357
341.7,1482,1557
342.2,1564,1640
342.6,1458,1536
343.1,1530,1603
343.5,1550,1630
344,1553,1629
344.5,1503,1580
344.9,1494,1574
345.4,1488,1564
345.8,1478,1557
346.3,1542,1617
346.7,1524,1604
347.2,1431,1511
347.7,1514,1587
348.1,1492,1567
348.6,1362,1436
349,1559,1631
349.5,1499,1574
349.9,1556,1627
350.4,1439,1509
350.9,1500,1571
351.3,1568,1643
351.8,1523,1604
352.2,1559,1633
352.7,1472,1544
353.1,1475,1554
353.6,1534,1611
354.1,1512,1581
354.5,1432,1507
355,1438,1511
355.4,1522,1593
355.9,1526,1605
356.3,1549,1622
356.8,1509,1588
357.3,1544,1616
357.7,1503,1576
358.2,1562,1632
358.6,1515,1593
359.1,1564,1640
359.5,1519,1595
360,1495,1567
360.5,1547,1626
360.9,1517,1598
361.4,1500,1577
361.8,1560,1634
362.3,1464,1540
362.7,1457,1531
363.2,1501,1578
363.7,1546,1619
364.1,1553,1628
364.6,1539,1618
365,1424,1502
365.5,1374,1442
366,1247,1308
366.4,1444,1521
366.9,1487,1566
367.3,1540,1612
367.8,1569,1641
368.2,1568,1644
368.7,1438,1515
369.2,1502,1579
369.6,1525,1600
370.1,1533,1605
370.5,1523,1597
371,1523,1594
371.5,1432,1503
371.9,1424,1497
372.4,1498,1572
372.8,1511,1586
373.3,1521,1594
373.8,1525,1606
374.2,1553,1628
374.7,1535,1613
375.1,1494,1568
375.6,1554,1632
376,1512,1581
376.5,1461,1539
377,1543,1616
377.4,1552,1626
377.9,1472,1553
378.3,1524,1601
378.8,1586,1653
379.3,1557,1630
379.7,1518,1592
380.2,1521,1600
380.6,1580,1668
381.1,1525,1600
381.6,1537,1613
382,1522,1595
382.5,1535,1614
382.9,1544,1625
383.4,1563,1638
383.9,1491,1567
384.3,1504,1583
384.8,1519,1596
385.2,1479,1554
385.7,1476,1549
386.2,1574,1640
386.6,1514,1592
387.1,1430,1508
387.5,1544,1629
388,1554,1630
388.5,1415,1487
388.9,1578,1650
389.4,1570,1646
389.8,1543,1628
390.3,1440,1512
390.8,1536,1611
391.2,1516,1590
391.7,1500,1577
392.1,1531,1604
392.6,1494,1569
393.1,1532,1608
393.5,1469,1546
394,1587,1667
394.4,1296,1375
394.9,1540,1616
395.4,1541,1617
395.8,1571,1648
396.3,1554,1628
396.7,1502,1578
397.2,1550,1630
397.7,1489,1553
398.1,1533,1606
398.6,1406,1473
399,1567,1638
399.5,1508,1584
400,1563,1645
400.4,1558,1635
400.9,1555,1635
