Time,Wed Jan  8 12:41:46 2020
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,27.22
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1452,1532
338.1,1409,1494
338.5,1557,1632
339,1442,1519
339.4,1483,1563
339.9,1377,1456
340.3,1576,1653
340.8,1574,1651
341.3,1275,1355
341.7,1482,1562
342.2,1568,1650
342.6,1457,1535
343.1,1533,1614
343.5,1553,1641
344,1556,1636
344.5,1504,1588
344.9,1495,1578
345.4,1488,1574
345.8,1478,1559
346.3,1544,1628
346.7,1526,1609
347.2,1429,1511
347.7,1515,1597
348.1,1493,1574
348.6,1356,1435
349,1563,1641
349.5,1500,1581
349.9,1559,1640
350.4,1437,1514
350.9,1501,1578
351.3,1572,1649
351.8,1525,1613
352.2,1563,1646
352.7,1471,1551
353.1,1475,1564
353.6,1536,1623
354.1,1513,1592
354.5,1429,1513
355,1436,1518
355.4,1524,1604
355.9,1528,1614
356.3,1552,1631
356.8,1510,1592
357.3,1547,1631
357.7,1504,1585
358.2,1566,1644
358.6,1517,1596
359.1,1568,1649
359.5,1520,1601
360,1496,1577
360.5,1550,1635
360.9,1518,1604
361.4,1500,1577
361.8,1563,1645
362.3,1463,1544
362.7,1455,1536
363.2,1502,1584
363.7,1549,1628
364.1,1556,1641
364.6,1541,1621
365,1421,1504
365.5,1369,1445
366,1236,1296
366.4,1442,1524
366.9,1487,1571
367.3,1543,1623
367.8,1573,1652
368.2,1572,1653
368.7,1436,1518
369.2,1503,1583
369.6,1527,1604
370.1,1535,1617
370.5,1525,1606
371,1525,1605
371.5,1429,1506
371.9,1422,1494
372.4,1499,1579
372.8,1512,1594
373.3,1523,1600
373.8,1527,1605
374.2,1556,1639
374.7,1538,1623
375.1,1495,1579
375.6,1558,1644
376,1513,1589
376.5,1461,1547
377,1546,1626
377.4,1556,1632
377.9,1472,1557
378.3,1526,1609
378.8,1591,1663
379.3,1561,1641
379.7,1520,1603
380.2,1523,1610
380.6,1584,1682
381.1,1527,1608
381.6,1540,1617
382,1524,1605
382.5,1538,1625
382.9,1547,1628
383.4,1567,1647
383.9,1491,1573
384.3,1505,1587
384.8,1521,1603
385.2,1479,1566
385.7,1475,1549
386.2,1578,1654
386.6,1515,1600
387.1,1428,1509
387.5,1547,1632
388,1557,1637
388.5,1412,1496
388.9,1582,1661
389.4,1574,1652
389.8,1546,1632
390.3,1438,1514
390.8,1538,1620
391.2,1518,1602
391.7,1501,1581
392.1,1533,1610
392.6,1494,1572
393.1,1535,1620
393.5,1468,1552
394,1592,1677
394.4,1287,1369
394.9,1543,1623
395.4,1544,1623
395.8,1575,1659
396.3,1558,1640
396.7,1503,1584
397.2,1553,1636
397.7,1490,1564
398.1,1536,1613
398.6,1402,1475
399,1571,1647
399.5,1509,1588
400,1567,1652
400.4,1561,1640
400.9,1559,1641
401.3,1558,1639
401.8,1522,1603
402.3,1515,1603
402.7,1521,1601
403.2,1533,1604
403.6,1503,1583
404.1,1507,1594
404.6,1526,1609
405,1529,1613
405.5,1539,1620
406,1504,1584
406.4,1464,1547
406.9,1567,1646
407.3,1532,1608
407.8,1514,1599
408.3,1558,1641
408.7,1355,1434
409.2,1557,1638
409.6,1521,1602
410.1,1560,1638
410.6,1556,1634
411,1503,1587
