x=sensor temperature [°C], y= integrationtime [ms], z=counts
NOTE: in the raw data (.csv) files integrationtime is given in microseconds instead of milliseconds
thus the integrationtime has to be divided by 1000 before using it as 'y' with this calibration file. 
Pixel selection: pixels with FIT_RMSE > 3.25 (RMSE in training dataset) &  dead pixels with SELECT_RMSE > 25
(RMSE in selection dataset) should be excluded from further analysis.
z(x,y)= p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
wvlngth	FIT_RMSE	SELECT_RMSE	p00	p10	p01	p20	p11	p30	p21
337.606	2.55996161346519	NaN	1429.66330731143	8.81643167189109	0.0175238052849771	-0.358132865885668	-0.0023372531882428	0.00455714159325363	7.04678482954221e-05
338.062	2.44545521237096	NaN	1433.43944320653	8.31570821490355	0.0150270541485347	-0.337525696488528	-0.00232290018481421	0.00424644565171651	6.24105944953066e-05
338.519	2.76170849525057	NaN	1400.12014679323	12.3034664930204	0.0309518796716817	-0.490748289442424	-0.00335361939752607	0.00619437632990748	0.000118831804267566
338.975	2.33262398989985	NaN	1422.31703113272	9.58722703412865	0.0195520041483627	-0.384850245208726	-0.00279679746042881	0.00486962909380779	8.22639531457673e-05
339.431	2.8630224740938	NaN	1427.56781924305	8.98074157661796	0.0211759885021342	-0.361293647649666	-0.00259529816919116	0.00456964370259229	8.485352759071e-05
339.888	2.54873746156229	NaN	1422.30432334664	9.77237522871823	0.0163900749496869	-0.394730996807521	-0.00297381983770096	0.00502142375697131	7.4305155866348e-05
340.344	2.62120407217274	NaN	1401.17689436347	12.3338634514807	0.0308006876899506	-0.496297045640418	-0.00321700945231607	0.00633420824699958	0.000119280904699175
340.801	2.81996362563469	NaN	1401.84962150168	12.1906757108668	0.03016333564069	-0.486141537294558	-0.00321639589949959	0.00614606450730191	0.000118285171430576
341.257	2.52348230385822	NaN	1440.671317936	7.2964388054515	0.00451891221070724	-0.295381886856604	-0.00206184137848799	0.00372454003836468	3.03684530023132e-05
341.714	2.61043303542828	NaN	1409.3821486759	11.1340498761408	0.0237488438841176	-0.44433823542785	-0.00302929942549372	0.00562304245642868	9.59783479126928e-05
342.17	2.61613060070622	NaN	1413.70603452752	10.7631088634293	0.0293799924232496	-0.432923691820758	-0.00305895851655683	0.0054864219477374	0.00011375348544752
342.627	2.45062291803924	NaN	1429.12402755154	8.889315421663	0.0179792431151898	-0.3586023581189	-0.00237215797963932	0.00456509508150455	7.367108948253e-05
