Time,Wed Sep 25 13:08:50 2019
Serial Number,S10535
Integration time (microseconds),2000000
Sensor temperature,25.1
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1491,1509
338.1,1476,1492
338.5,1528,1543
339,1487,1509
339.4,1502,1519
339.9,1464,1477
340.3,1534,1553
340.8,1534,1549
341.3,1429,1442
341.7,1501,1519
342.2,1532,1552
342.6,1493,1507
343.1,1519,1536
343.5,1527,1549
344,1528,1543
344.5,1509,1525
344.9,1506,1524
345.4,1504,1525
345.8,1500,1519
346.3,1523,1539
346.7,1517,1536
347.2,1483,1505
347.7,1513,1532
348.1,1505,1526
348.6,1457,1471
349,1530,1547
349.5,1508,1526
349.9,1529,1547
350.4,1486,1501
350.9,1508,1519
351.3,1533,1549
351.8,1516,1536
352.2,1530,1550
352.7,1498,1511
353.1,1499,1521
353.6,1521,1539
354.1,1512,1530
354.5,1483,1503
355,1485,1503
355.4,1516,1534
355.9,1518,1538
356.3,1526,1544
356.8,1511,1529
357.3,1524,1538
357.7,1509,1531
358.2,1531,1550
358.6,1514,1531
359.1,1532,1546
359.5,1515,1533
360,1506,1522
360.5,1525,1541
360.9,1514,1533
361.4,1508,1523
361.8,1530,1550
362.3,1495,1514
362.7,1492,1506
363.2,1508,1527
363.7,1525,1545
364.1,1527,1546
364.6,1522,1534
365,1480,1501
365.5,1462,1473
366,1415,1424
366.4,1487,1507
366.9,1503,1521
367.3,1523,1534
367.8,1534,1549
368.2,1533,1553
368.7,1485,1504
369.2,1509,1524
369.6,1517,1538
370.1,1520,1538
370.5,1517,1534
371,1517,1535
371.5,1483,1496
371.9,1480,1494
372.4,1507,1523
372.8,1512,1532
373.3,1516,1530
373.8,1517,1532
374.2,1527,1542
374.7,1521,1542
375.1,1506,1524
375.6,1528,1543
376,1513,1526
376.5,1494,1509
377,1524,1539
377.4,1527,1543
377.9,1498,1515
378.3,1517,1536
378.8,1540,1551
379.3,1529,1548
379.7,1515,1532
380.2,1516,1532
380.6,1537,1552
381.1,1517,1540
381.6,1522,1543
382,1516,1532
382.5,1521,1537
382.9,1524,1540
383.4,1531,1545
383.9,1505,1522
384.3,1510,1527
384.8,1515,1535
385.2,1500,1518
385.7,1499,1512
386.2,1535,1553
386.6,1513,1530
387.1,1482,1498
387.5,1524,1540
388,1528,1547
388.5,1477,1495
388.9,1537,1552
389.4,1534,1550
389.8,1524,1542
390.3,1486,1494
390.8,1521,1539
391.2,1514,1532
391.7,1508,1523
392.1,1519,1535
392.6,1506,1530
393.1,1520,1542
393.5,1497,1508
394,1540,1561
394.4,1433,1453
394.9,1523,1537
395.4,1523,1542
395.8,1534,1552
396.3,1528,1549
396.7,1509,1529
397.2,1527,1547
397.7,1504,1520
398.1,1520,1535
398.6,1473,1486
399,1533,1555
399.5,1511,1526
400,1531,1549
400.4,1529,1548
400.9,1528,1547
401.3,1528,1544
401.8,1515,1528
402.3,1513,1531
402.7,1515,1530
403.2,1519,1543
403.6,1509,1530
404.1,1510,1526
404.6,1517,1530
405,1518,1534
405.5,1521,1538
406,1509,1525
406.4,1495,1515
406.9,1531,1548
407.3,1519,1537
407.8,1513,1536
408.3,1528,1544
408.7,1457,1474
409.2,1528,1549
409.6,1515,1533
410.1,1529,1551
410.6,1527,1545
411,1509,1530
411.5,1497,1516
412,1512,1532
412.4,1534,1555
412.9,1527,1545
413.3,1538,1555
413.8,1513,1531
414.3,1509,1523
414.7,1522,1542
415.2,1524,1542
415.6,1522,1539
416.1,1515,1530
416.6,1528,1546
417,1542,1557
417.5,1501,1518
418,1528,1545
418.4,1519,1533
418.9,1445,1457
419.3,1487,1503
419.8,1528,1541
420.3,1526,1545
420.7,1494,1511
421.2,1498,1515
421.7,1526,1541
422.1,1464,1480
422.6,1506,1524
423,1524,1545
423.5,1535,1549
424,1507,1527
424.4,1504,1521
424.9,1537,1559
425.4,1530,1550
425.8,1517,1539
426.3,1479,1494
426.7,1530,1553
427.2,1526,1542
427.7,1514,1532
428.1,1506,1524
428.6,1501,1518
429.1,1531,1552
429.5,1505,1524
430,1522,1535
430.4,1550,1565
430.9,1530,1548
431.4,1515,1535
431.8,1525,1542
432.3,1522,1547
432.8,1537,1556
433.2,1496,1514
433.7,1499,1519
434.1,1525,1546
434.6,1536,1554
435.1,1498,1516
435.5,1527,1549
436,1516,1533
436.5,1506,1520
436.9,1493,1516
437.4,1513,1527
437.9,1467,1482
438.3,1520,1538
438.8,1522,1541
439.2,1530,1549
439.7,1526,1544
440.2,1461,1477
440.6,1485,1503
441.1,1527,1541
441.6,1532,1550
442,1497,1514
442.5,1535,1552
443,1523,1543
443.4,1515,1529
443.9,1503,1522
444.3,1506,1517
444.8,1521,1537
445.3,1537,1556
445.7,1460,1480
446.2,1525,1539
446.7,1528,1546
447.1,1524,1540
447.6,1519,1533
448.1,1490,1505
448.5,1515,1533
449,1516,1535
449.5,1508,1528
449.9,1524,1546
450.4,1516,1527
450.8,1480,1498
451.3,1531,1547
451.8,1541,1558
452.2,1513,1532
452.7,1546,1561
453.2,1539,1556
453.6,1522,1539
454.1,1506,1526
454.6,1525,1542
455,1508,1526
455.5,1522,1541
456,1522,1540
456.4,1506,1525
456.9,1546,1563
457.4,1522,1539
457.8,1499,1514
458.3,1465,1479
458.7,1531,1553
459.2,1537,1553
459.7,1517,1526
460.1,1504,1520
460.6,1519,1534
461.1,1509,1530
461.5,1532,1543
462,1518,1538
462.5,1532,1547
462.9,1520,1537
463.4,1473,1490
463.9,1496,1513
464.3,1525,1538
464.8,1526,1544
465.3,1517,1538
465.7,1514,1532
466.2,1484,1501
466.7,1523,1539
467.1,1529,1547
467.6,1523,1539
468.1,1518,1536
468.5,1506,1520
469,1505,1523
469.4,1534,1551
469.9,1529,1550
470.4,1529,1545
470.8,1515,1528
471.3,1548,1564
471.8,1531,1546
472.2,1514,1530
472.7,1500,1518
473.2,1502,1512
473.6,1501,1520
474.1,1541,1556
474.6,1529,1546
475,1510,1530
475.5,1519,1541
476,1511,1530
476.4,1519,1541
476.9,1527,1547
477.4,1516,1532
477.8,1525,1538
478.3,1493,1507
478.8,1520,1533
479.2,1521,1539
479.7,1527,1546
480.2,1517,1531
480.6,1526,1545
481.1,1488,1508
481.6,1518,1537
482,1510,1532
482.5,1524,1543
483,1524,1539
483.4,1525,1540
483.9,1526,1541
484.4,1516,1538
484.8,1535,1548
485.3,1531,1543
485.8,1521,1536
486.2,1519,1535
486.7,1520,1536
487.2,1530,1547
487.6,1520,1534
488.1,1504,1517
488.6,1530,1551
489,1518,1536
489.5,1525,1542
490,1528,1548
490.4,1552,1567
490.9,1500,1510
491.4,1528,1545
491.8,1524,1542
492.3,1520,1542
492.8,1545,1561
493.2,1532,1552
493.7,1506,1521
494.2,1523,1544
494.6,1518,1536
495.1,1528,1547
495.6,1490,1507
496,1510,1527
496.5,1497,1514
497,1514,1534
497.5,1508,1521
497.9,1513,1525
498.4,1536,1553
498.9,1487,1507
499.3,1521,1538
499.8,1522,1536
500.3,1523,1538
500.7,1528,1547
501.2,1454,1468
501.7,1490,1505
502.1,1503,1524
502.6,1517,1535
503.1,1504,1519
503.5,1528,1544
504,1519,1539
504.5,1507,1520
504.9,1532,1553
505.4,1508,1523
505.9,1523,1539
506.3,1516,1533
506.8,1517,1533
507.3,1509,1532
507.8,1486,1502
508.2,1517,1537
508.7,1515,1530
509.2,1477,1491
509.6,1465,1485
510.1,1506,1525
510.6,1505,1519
511,1535,1554
511.5,1524,1540
512,1518,1531
512.4,1530,1544
512.9,1530,1548
513.4,1499,1515
513.8,1503,1518
514.3,1534,1549
514.8,1531,1550
515.3,1492,1510
515.7,1500,1514
516.2,1538,1560
516.7,1494,1513
517.1,1518,1535
517.6,1509,1533
518.1,1519,1534
518.5,1518,1537
519,1478,1495
