Time,Wed Sep 25 13:09:30 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,25.62
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1455,1525
338.1,1416,1485
338.5,1550,1621
339,1446,1511
339.4,1483,1552
339.9,1386,1444
340.3,1567,1633
340.8,1565,1634
341.3,1294,1352
341.7,1482,1551
342.2,1560,1627
342.6,1460,1532
343.1,1528,1592
343.5,1547,1618
344,1550,1618
344.5,1502,1568
344.9,1494,1559
345.4,1487,1561
345.8,1478,1552
346.3,1539,1605
346.7,1522,1592
347.2,1434,1509
347.7,1512,1576
348.1,1492,1565
348.6,1368,1433
349,1556,1621
349.5,1498,1566
349.9,1552,1623
350.4,1442,1502
350.9,1499,1562
351.3,1564,1631
351.8,1521,1589
352.2,1556,1625
352.7,1472,1542
353.1,1475,1549
353.6,1531,1600
354.1,1510,1579
354.5,1434,1507
355,1440,1505
355.4,1520,1588
355.9,1524,1593
356.3,1546,1611
356.8,1507,1578
357.3,1541,1607
357.7,1502,1570
358.2,1558,1626
358.6,1513,1586
359.1,1560,1629
359.5,1517,1586
360,1494,1553
360.5,1544,1620
360.9,1515,1583
361.4,1499,1567
361.8,1556,1624
362.3,1465,1537
362.7,1458,1522
363.2,1500,1572
363.7,1543,1613
364.1,1549,1622
364.6,1536,1607
365,1427,1497
365.5,1379,1441
366,1259,1306
366.4,1446,1519
366.9,1487,1560
367.3,1538,1602
367.8,1565,1635
368.2,1564,1634
368.7,1440,1513
369.2,1501,1569
369.6,1523,1593
370.1,1530,1600
370.5,1521,1589
371,1521,1587
371.5,1434,1492
371.9,1427,1493
372.4,1497,1566
372.8,1509,1581
373.3,1519,1580
373.8,1522,1590
374.2,1549,1619
374.7,1533,1604
375.1,1494,1564
375.6,1551,1619
376,1511,1576
376.5,1463,1535
377,1540,1606
377.4,1549,1614
377.9,1473,1544
378.3,1522,1596
378.8,1581,1644
379.3,1554,1621
379.7,1516,1579
380.2,1519,1594
380.6,1575,1644
381.1,1523,1592
381.6,1535,1605
382,1520,1592
382.5,1533,1601
382.9,1541,1611
383.4,1559,1628
383.9,1491,1558
384.3,1503,1573
384.8,1517,1583
385.2,1479,1547
385.7,1476,1547
386.2,1570,1634
386.6,1512,1580
387.1,1433,1499
387.5,1541,1614
388,1550,1618
388.5,1418,1486
388.9,1573,1647
389.4,1565,1628
389.8,1540,1614
390.3,1442,1505
390.8,1533,1600
391.2,1515,1581
391.7,1499,1567
392.1,1529,1593
392.6,1493,1564
393.1,1530,1598
393.5,1470,1536
394,1582,1651
394.4,1305,1384
394.9,1538,1607
395.4,1538,1604
395.8,1567,1631
396.3,1551,1623
396.7,1501,1571
397.2,1547,1606
397.7,1489,1546
398.1,1531,1594
398.6,1409,1468
399,1563,1632
399.5,1506,1573
400,1559,1628
400.4,1554,1622
400.9,1552,1623
401.3,1551,1617
401.8,1518,1585
402.3,1512,1582
402.7,1518,1586
403.2,1529,1607
403.6,1501,1574
404.1,1504,1574
404.6,1522,1588
405,1525,1594
405.5,1534,1603
406,1502,1568
406.4,1466,1536
406.9,1559,1626
407.3,1527,1600
407.8,1511,1582
408.3,1551,1627
408.7,1367,1427
409.2,1551,1617
409.6,1517,1585
410.1,1553,1627
410.6,1549,1615
411,1501,1565
411.5,1471,1539
412,1509,1587
412.4,1567,1635
412.9,1549,1614
413.3,1575,1641
413.8,1511,1580
414.3,1501,1570
414.7,1535,1605
415.2,1541,1613
415.6,1536,1605
416.1,1516,1585
416.6,1550,1618
417,1585,1648
417.5,1480,1551
418,1550,1621
418.4,1527,1595
418.9,1337,1394
419.3,1445,1515
419.8,1550,1621
420.3,1545,1620
420.7,1462,1527
421.2,1473,1538
421.7,1544,1614
422.1,1386,1462
422.6,1494,1562
423,1541,1608
423.5,1569,1636
424,1496,1561
424.4,1489,1562
424.9,1574,1647
425.4,1555,1625
425.8,1521,1587
426.3,1424,1493
426.7,1555,1625
427.2,1545,1621
427.7,1514,1584
428.1,1493,1565
428.6,1481,1550
429.1,1560,1629
429.5,1492,1559
430,1534,1605
430.4,1606,1670
430.9,1555,1624
431.4,1516,1587
431.8,1542,1606
432.3,1536,1612
432.8,1574,1645
433.2,1468,1538
433.7,1476,1545
434.1,1542,1610
434.6,1571,1638
435.1,1472,1543
435.5,1548,1617
436,1519,1581
436.5,1494,1565
436.9,1461,1544
437.4,1513,1579
437.9,1393,1459
438.3,1530,1603
438.8,1535,1599
439.2,1556,1621
439.7,1546,1618
440.2,1378,1452
440.6,1439,1513
441.1,1548,1613
441.6,1561,1631
442,1472,1548
442.5,1569,1637
443,1537,1609
443.4,1517,1585
443.9,1487,1560
444.3,1494,1540
444.8,1533,1602
445.3,1574,1650
445.7,1374,1448
446.2,1544,1614
446.7,1550,1620
447.1,1539,1603
447.6,1527,1597
448.1,1451,1523
448.5,1516,1579
449,1520,1594
449.5,1499,1572
449.9,1539,1612
450.4,1518,1580
450.8,1426,1492
451.3,1558,1624
451.8,1583,1647
452.2,1512,1591
452.7,1598,1664
453.2,1579,1651
453.6,1536,1606
454.1,1495,1564
454.6,1543,1614
455,1498,1576
455.5,1534,1602
456,1535,1602
456.4,1494,1561
456.9,1596,1660
457.4,1535,1608
457.8,1475,1544
458.3,1387,1453
458.7,1559,1630
459.2,1574,1640
459.7,1521,1590
460.1,1489,1557
460.6,1527,1595
461.1,1501,1577
461.5,1561,1625
462,1525,1593
462.5,1562,1634
462.9,1530,1599
463.4,1409,1472
463.9,1467,1530
464.3,1542,1603
464.8,1546,1616
465.3,1522,1591
465.7,1514,1588
466.2,1437,1510
466.7,1538,1605
467.1,1553,1618
467.6,1537,1603
468.1,1524,1586
468.5,1494,1563
469,1490,1555
469.4,1567,1639
469.9,1553,1626
470.4,1553,1624
470.8,1516,1582
471.3,1603,1667
471.8,1559,1627
472.2,1515,1585
472.7,1477,1550
473.2,1485,1552
473.6,1480,1550
474.1,1585,1647
474.6,1552,1621
475,1505,1578
475.5,1528,1603
476,1507,1576
476.4,1527,1592
476.9,1549,1620
477.4,1519,1579
477.8,1542,1611
478.3,1460,1521
478.8,1530,1598
479.2,1531,1597
479.7,1547,1616
480.2,1522,1589
480.6,1546,1615
481.1,1446,1513
481.6,1526,1596
482,1503,1569
482.5,1539,1607
483,1540,1613
483.4,1543,1603
483.9,1547,1620
484.4,1520,1590
484.8,1570,1631
485.3,1559,1627
485.8,1533,1600
486.2,1527,1597
486.7,1530,1603
487.2,1555,1622
487.6,1529,1598
488.1,1489,1556
488.6,1556,1634
489,1526,1594
489.5,1543,1611
490,1551,1618
490.4,1612,1674
490.9,1479,1546
491.4,1551,1616
491.8,1539,1613
492.3,1530,1599
492.8,1595,1662
493.2,1560,1629
493.7,1495,1560
494.2,1537,1609
494.6,1524,1596
495.1,1550,1618
495.6,1453,1519
496,1503,1570
496.5,1471,1534
497,1515,1583
497.5,1498,1565
497.9,1513,1576
498.4,1570,1639
498.9,1444,1521
499.3,1532,1601
499.8,1536,1610
500.3,1538,1604
500.7,1551,1623
501.2,1361,1424
501.7,1453,1518
502.1,1486,1559
502.6,1522,1591
503.1,1487,1551
503.5,1549,1625
504,1528,1602
504.5,1495,1569
504.9,1562,1630
505.4,1499,1565
505.9,1538,1615
506.3,1520,1587
506.8,1523,1591
507.3,1502,1574
507.8,1442,1516
508.2,1523,1593
508.7,1517,1590
509.2,1418,1484
509.6,1388,1464
510.1,1495,1558
510.6,1492,1552
511,1569,1638
511.5,1541,1612
512,1524,1591
512.4,1557,1623
512.9,1555,1622
513.4,1475,1542
513.8,1485,1557
514.3,1565,1637
514.8,1557,1624
515.3,1457,1523
515.7,1478,1546
516.2,1575,1644
516.7,1464,1532
517.1,1526,1599
517.6,1500,1569
518.1,1528,1596
518.5,1525,1589
519,1422,1483
519.5,1505,1568
519.9,1547,1613
520.4,1532,1599
520.9,1511,1588
521.4,1450,1526
521.8,1504,1579
522.3,1474,1542
522.8,1543,1616
523.2,1458,1526
523.7,1518,1587
524.2,1372,1436
524.6,1518,1582
