Time,Wed Sep 25 13:10:30 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.26
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1454,1529
338.1,1413,1487
338.5,1553,1626
339,1444,1514
339.4,1483,1553
339.9,1383,1453
340.3,1571,1642
340.8,1568,1641
341.3,1287,1357
341.7,1482,1558
342.2,1563,1636
342.6,1459,1530
343.1,1530,1603
343.5,1549,1629
344,1552,1625
344.5,1503,1575
344.9,1494,1569
345.4,1488,1562
345.8,1478,1552
346.3,1541,1614
346.7,1524,1600
347.2,1432,1509
347.7,1513,1588
348.1,1492,1564
348.6,1363,1436
349,1558,1627
349.5,1499,1575
349.9,1555,1624
350.4,1440,1503
350.9,1500,1568
351.3,1567,1641
351.8,1522,1597
352.2,1558,1632
352.7,1472,1549
353.1,1475,1554
353.6,1533,1608
354.1,1511,1580
354.5,1432,1506
355,1439,1512
355.4,1521,1598
355.9,1526,1598
356.3,1548,1621
356.8,1508,1585
357.3,1543,1613
357.7,1502,1580
358.2,1561,1634
358.6,1515,1590
359.1,1563,1636
359.5,1518,1593
360,1495,1560
360.5,1546,1623
360.9,1516,1589
361.4,1499,1570
361.8,1559,1632
362.3,1464,1539
362.7,1457,1533
363.2,1501,1573
363.7,1545,1623
364.1,1552,1625
364.6,1538,1613
365,1425,1501
365.5,1375,1443
366,1250,1303
366.4,1444,1519
366.9,1487,1563
367.3,1540,1606
367.8,1568,1639
368.2,1567,1643
368.7,1438,1511
369.2,1502,1576
369.6,1524,1598
370.1,1532,1601
370.5,1523,1597
371,1522,1592
371.5,1432,1493
371.9,1425,1497
372.4,1498,1571
372.8,1510,1586
373.3,1520,1595
373.8,1524,1599
374.2,1552,1622
374.7,1535,1616
375.1,1494,1572
375.6,1553,1628
376,1512,1580
376.5,1462,1540
377,1542,1613
377.4,1552,1625
377.9,1472,1547
378.3,1523,1599
378.8,1585,1650
379.3,1556,1629
379.7,1518,1591
380.2,1520,1594
380.6,1579,1647
381.1,1524,1599
381.6,1537,1611
382,1522,1598
382.5,1535,1608
382.9,1543,1621
383.4,1562,1635
383.9,1491,1566
384.3,1504,1576
384.8,1519,1597
385.2,1479,1553
385.7,1476,1551
386.2,1573,1639
386.6,1513,1583
387.1,1431,1507
387.5,1543,1620
388,1553,1625
388.5,1416,1488
388.9,1577,1651
389.4,1569,1644
389.8,1542,1619
390.3,1440,1506
390.8,1535,1609
391.2,1516,1590
391.7,1500,1576
392.1,1530,1603
392.6,1494,1570
393.1,1532,1607
393.5,1469,1539
394,1586,1661
394.4,1298,1375
394.9,1540,1612
395.4,1540,1611
395.8,1570,1640
396.3,1553,1633
396.7,1502,1573
397.2,1549,1626
397.7,1489,1555
398.1,1533,1603
398.6,1407,1470
399,1566,1638
399.5,1507,1581
400,1562,1641
400.4,1557,1634
400.9,1555,1631
401.3,1554,1625
401.8,1520,1592
402.3,1513,1586
402.7,1519,1588
403.2,1530,1606
403.6,1502,1579
404.1,1505,1581
404.6,1523,1590
405,1526,1598
405.5,1536,1607
406,1503,1573
406.4,1465,1537
406.9,1562,1636
407.3,1529,1606
407.8,1512,1589
408.3,1554,1632
408.7,1362,1428
409.2,1553,1627
409.6,1518,1592
410.1,1555,1632
410.6,1552,1618
411,1502,1576
411.5,1470,1544
412,1510,1589
412.4,1570,1642
412.9,1552,1619
413.3,1579,1649
413.8,1512,1592
414.3,1502,1579
414.7,1537,1613
415.2,1543,1622
415.6,1538,1615
416.1,1517,1587
416.6,1553,1626
417,1589,1657
417.5,1480,1556
418,1553,1626
418.4,1528,1599
418.9,1331,1399
419.3,1444,1513
419.8,1552,1627
420.3,1547,1631
420.7,1461,1533
421.2,1473,1540
421.7,1547,1619
422.1,1383,1461
422.6,1495,1565
423,1543,1617
423.5,1572,1644
424,1497,1569
424.4,1489,1566
424.9,1578,1651
425.4,1558,1629
425.8,1523,1599
426.3,1421,1497
426.7,1558,1630
427.2,1548,1619
427.7,1515,1583
428.1,1494,1573
428.6,1481,1552
429.1,1563,1634
429.5,1493,1566
430,1537,1609
430.4,1611,1683
430.9,1558,1634
431.4,1517,1589
431.8,1545,1614
432.3,1538,1620
432.8,1577,1650
433.2,1467,1546
433.7,1476,1551
434.1,1544,1616
434.6,1574,1645
435.1,1472,1547
435.5,1551,1627
436,1520,1586
436.5,1494,1569
436.9,1461,1550
437.4,1514,1584
437.9,1389,1461
438.3,1532,1603
438.8,1537,1607
439.2,1559,1631
439.7,1548,1625
440.2,1374,1456
440.6,1438,1515
441.1,1550,1625
441.6,1564,1635
442,1471,1556
442.5,1572,1643
443,1539,1614
443.4,1518,1594
443.9,1487,1562
444.3,1495,1547
444.8,1535,1611
445.3,1578,1655
445.7,1370,1440
446.2,1546,1617
446.7,1553,1631
447.1,1541,1612
447.6,1529,1600
448.1,1450,1526
448.5,1517,1588
449,1522,1600
449.5,1500,1579
449.9,1541,1618
450.4,1520,1587
450.8,1424,1498
451.3,1561,1633
451.8,1587,1657
452.2,1514,1585
452.7,1603,1672
453.2,1583,1660
453.6,1538,1610
454.1,1495,1573
454.6,1545,1621
455,1499,1574
455.5,1536,1609
456,1537,1609
456.4,1494,1571
456.9,1601,1671
457.4,1537,1612
457.8,1475,1548
458.3,1383,1451
458.7,1562,1635
459.2,1577,1648
459.7,1523,1596
460.1,1489,1563
460.6,1529,1603
461.1,1501,1586
461.5,1564,1635
462,1527,1602
462.5,1565,1639
462.9,1531,1603
463.4,1406,1476
463.9,1466,1539
464.3,1544,1614
464.8,1549,1620
465.3,1523,1598
465.7,1515,1595
466.2,1435,1508
466.7,1540,1610
467.1,1555,1620
467.6,1539,1613
468.1,1525,1594
468.5,1495,1571
469,1490,1565
469.4,1570,1643
469.9,1556,1624
470.4,1556,1632
470.8,1517,1588
471.3,1608,1678
471.8,1562,1628
472.2,1516,1594
472.7,1477,1553
473.2,1485,1564
473.6,1480,1550
474.1,1589,1658
474.6,1555,1627
475,1506,1583
475.5,1529,1610
476,1508,1581
476.4,1529,1600
476.9,1552,1623
477.4,1520,1569
477.8,1545,1616
478.3,1459,1530
478.8,1531,1600
479.2,1533,1613
479.7,1549,1623
480.2,1524,1595
480.6,1548,1620
481.1,1445,1515
481.6,1527,1604
482,1504,1577
482.5,1542,1616
483,1542,1620
483.4,1545,1614
483.9,1549,1624
484.4,1521,1595
484.8,1573,1639
485.3,1562,1637
485.8,1535,1606
486.2,1529,1604
486.7,1532,1608
487.2,1558,1630
487.6,1531,1604
488.1,1490,1559
488.6,1559,1637
489,1527,1603
489.5,1545,1622
490,1554,1632
490.4,1617,1689
490.9,1479,1550
491.4,1554,1620
491.8,1541,1615
492.3,1532,1612
492.8,1599,1671
493.2,1563,1637
493.7,1496,1561
494.2,1539,1614
494.6,1526,1599
495.1,1552,1628
495.6,1451,1523
496,1504,1578
496.5,1470,1549
497,1516,1590
497.5,1499,1570
497.9,1514,1584
498.4,1574,1645
498.9,1442,1527
499.3,1534,1609
499.8,1538,1610
500.3,1540,1614
500.7,1554,1625
501.2,1356,1427
501.7,1451,1520
502.1,1487,1561
502.6,1524,1600
503.1,1488,1562
503.5,1552,1628
504,1530,1608
504.5,1496,1574
504.9,1565,1639
505.4,1499,1571
505.9,1541,1616
506.3,1522,1598
506.8,1525,1604
507.3,1503,1571
507.8,1440,1513
508.2,1525,1600
508.7,1518,1603
509.2,1416,1490
509.6,1384,1461
510.1,1495,1569
510.6,1492,1558
511,1572,1651
511.5,1544,1613
512,1525,1601
512.4,1559,1624
512.9,1558,1630
513.4,1475,1547
513.8,1485,1563
514.3,1568,1642
514.8,1560,1637
515.3,1456,1529
515.7,1478,1549
516.2,1579,1650
516.7,1463,1537
517.1,1527,1604
517.6,1501,1573
518.1,1529,1603
518.5,1527,1600
519,1420,1482
519.5,1505,1571
519.9,1550,1620
520.4,1533,1611
520.9,1512,1591
521.4,1449,1525
521.8,1505,1583
522.3,1473,1550
522.8,1545,1626
523.2,1457,1535
523.7,1520,1593
524.2,1367,1442
524.6,1519,1588
525.1,1577,1646
525.6,1564,1636
526,1530,1606
526.5,1532,1605
527,1544,1619
527.5,1518,1594
527.9,1531,1607
528.4,1564,1639
528.9,1547,1620
529.3,1404,1477
529.8,1573,1646
530.3,1520,1589
530.7,1548,1624
531.2,1521,1593
531.7,1528,1605
532.2,1499,1570
532.6,1541,1618
533.1,1548,1622
533.6,1526,1605
534,1552,1628
534.5,1511,1585
535,1548,1624
535.4,1530,1609
535.9,1545,1621
536.4,1429,1504
536.9,1576,1651
537.3,1500,1576
537.8,1556,1629
538.3,1535,1609
538.7,1584,1653
539.2,1569,1647
539.7,1542,1612
540.2,1479,1550
540.6,1538,1611
541.1,1528,1601
541.6,1534,1607
542,1570,1640
542.5,1532,1604
543,1543,1622
543.5,1526,1600
543.9,1542,1618
544.4,1518,1586
544.9,1477,1548
545.3,1529,1603
545.8,1555,1630
546.3,1522,1600
546.7,1507,1583
547.2,1538,1586
547.7,1533,1612
548.2,1560,1633
548.6,1549,1619
549.1,1473,1543
549.6,1569,1645
550,1520,1594
550.5,1497,1574
551,1536,1612
551.5,1568,1643
551.9,1541,1610
552.4,1504,1583
552.9,1540,1614
553.3,1552,1627
553.8,1463,1535
554.3,1527,1591
554.8,1549,1621
555.2,1357,1423
555.7,1574,1648
556.2,1550,1624
556.7,1573,1648
557.1,1539,1617
557.6,1552,1626
558.1,1515,1596
558.5,1477,1550
559,1498,1577
559.5,1570,1658
560,1534,1610
560.4,1533,1605
560.9,1519,1594
561.4,1544,1619
561.8,1489,1565
562.3,1553,1631
562.8,1520,1594
563.3,1529,1598
563.7,1542,1616
564.2,1362,1436
564.7,1470,1541
565.2,1419,1491
565.6,1507,1577
566.1,1578,1655
566.6,1565,1643
567,1545,1617
567.5,1541,1613
568,1532,1608
568.5,1500,1574
568.9,1491,1567
569.4,1515,1588
569.9,1473,1545
570.4,1484,1554
570.8,1542,1620
571.3,1545,1620
571.8,1541,1617
572.2,1506,1574
572.7,1550,1628
573.2,1518,1594
573.7,1555,1630
574.1,1538,1606
574.6,1559,1636
575.1,1573,1654
575.6,1548,1622
576,1516,1595
576.5,1505,1579
577,1570,1646
577.4,1458,1528
577.9,1514,1586
578.4,1460,1541
578.9,1530,1608
579.3,1479,1551
579.8,1512,1591
580.3,1539,1610
580.8,1529,1607
581.2,1518,1589
581.7,1548,1616
582.2,1554,1630
582.7,1390,1455
583.1,1463,1536
583.6,1467,1540
584.1,1467,1542
584.6,1561,1637
585,1558,1631
585.5,1527,1602
586,1527,1602
586.4,1559,1632
586.9,1555,1628
587.4,1563,1637
587.9,884.1,952
588.3,1515,1591
588.8,1460,1540
589.3,1493,1569
589.8,1535,1613
590.2,1519,1591
590.7,1564,1636
591.2,1544,1616
591.7,1468,1539
592.1,1536,1615
592.6,1470,1547
593.1,1575,1652
593.6,1550,1625
594,1495,1573
594.5,1455,1534
595,1437,1514
595.5,1455,1532
595.9,1522,1596
596.4,1463,1543
596.9,1483,1563
597.4,1553,1624
597.8,1586,1657
598.3,1562,1636
598.8,1521,1594
599.3,1554,1630
599.7,1576,1649
600.2,1516,1595
600.7,1537,1612
601.2,1448,1521
601.6,1560,1635
602.1,1580,1651
602.6,1541,1622
603.1,1558,1632
603.5,1390,1475
604,1512,1586
604.5,1564,1632
605,1539,1611
605.4,1475,1548
605.9,1498,1573
606.4,1522,1591
606.9,1488,1567
607.3,1527,1612
607.8,1547,1619
608.3,1418,1494
608.8,1398,1469
609.2,1541,1616
609.7,1505,1580
610.2,1533,1608
610.7,1454,1533
611.1,1488,1562
611.6,1574,1645
612.1,1549,1627
612.6,1543,1618
613,1581,1651
613.5,1558,1629
614,1451,1528
614.5,1525,1595
614.9,1267,1318
615.4,1530,1606
615.9,1503,1581
616.4,1538,1609
616.9,1557,1633
617.3,1529,1604
617.8,1512,1589
618.3,1591,1663
618.8,1592,1663
619.2,1561,1636
619.7,1550,1626
620.2,1416,1484
620.7,1528,1601
621.1,1561,1637
621.6,1483,1552
622.1,1556,1631
622.6,1434,1509
623,1533,1608
623.5,1556,1628
624,1540,1612
624.5,1514,1584
625,1547,1624
625.4,1561,1633
625.9,1499,1578
626.4,1555,1628
626.9,1520,1592
627.3,1534,1609
627.8,1489,1563
628.3,1514,1589
628.8,1566,1639
629.2,1535,1611
629.7,1520,1589
630.2,1513,1589
630.7,1533,1604
631.2,1546,1623
631.6,1538,1617
632.1,1511,1584
632.6,1573,1650
633.1,1542,1617
633.5,1573,1649
634,1524,1595
634.5,1441,1519
635,1546,1618
635.4,1555,1628
635.9,1540,1616
636.4,1550,1626
636.9,1571,1642
637.4,1490,1566
637.8,1400,1469
638.3,1452,1523
638.8,1532,1605
639.3,1568,1643
639.7,1437,1503
640.2,1486,1565
640.7,1497,1572
641.2,1603,1672
641.7,1450,1523
642.1,1534,1608
642.6,1504,1584
643.1,1566,1642
643.6,1438,1510
644,1484,1558
644.5,1501,1578
645,1495,1576
645.5,1525,1598
646,1558,1636
646.4,1573,1649
646.9,1542,1616
647.4,1566,1638
647.9,1565,1641
648.4,1417,1489
648.8,1528,1605
649.3,1568,1643
649.8,1572,1643
650.3,1568,1643
650.7,1514,1579
651.2,1535,1617
651.7,1526,1605
652.2,1588,1659
652.7,1482,1559
653.1,1442,1515
653.6,1534,1610
654.1,1425,1498
654.6,1497,1571
655.1,1430,1505
