Time,Wed Sep 25 13:09:00 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,25.2
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1455,1521
338.1,1418,1482
338.5,1548,1611
339,1447,1511
339.4,1483,1548
339.9,1389,1447
340.3,1565,1630
340.8,1563,1626
341.3,1299,1358
341.7,1482,1545
342.2,1558,1629
342.6,1460,1529
343.1,1527,1591
343.5,1545,1612
344,1548,1615
344.5,1502,1568
344.9,1494,1559
345.4,1487,1556
345.8,1478,1548
346.3,1537,1603
346.7,1521,1592
347.2,1435,1504
347.7,1511,1579
348.1,1491,1564
348.6,1371,1435
349,1554,1614
349.5,1498,1565
349.9,1550,1615
350.4,1443,1501
350.9,1499,1558
351.3,1562,1630
351.8,1520,1589
352.2,1554,1623
352.7,1472,1540
353.1,1476,1550
353.6,1530,1599
354.1,1510,1571
354.5,1436,1503
355,1441,1503
355.4,1519,1588
355.9,1523,1592
356.3,1544,1608
356.8,1507,1575
357.3,1540,1602
357.7,1501,1571
358.2,1556,1622
358.6,1513,1576
359.1,1558,1624
359.5,1516,1583
360,1494,1552
360.5,1542,1611
360.9,1514,1578
361.4,1498,1560
361.8,1554,1622
362.3,1465,1533
362.7,1459,1523
363.2,1500,1567
363.7,1541,1607
364.1,1548,1616
364.6,1535,1601
365,1428,1496
365.5,1382,1442
366,1264,1312
366.4,1447,1510
366.9,1486,1553
367.3,1536,1599
367.8,1563,1628
368.2,1562,1632
368.7,1441,1510
369.2,1501,1570
369.6,1522,1588
370.1,1529,1595
370.5,1520,1588
371,1520,1583
371.5,1435,1488
371.9,1429,1488
372.4,1497,1562
372.8,1509,1579
373.3,1518,1578
373.8,1521,1590
374.2,1547,1609
374.7,1532,1600
375.1,1494,1562
375.6,1549,1619
376,1510,1574
376.5,1463,1529
377,1538,1602
377.4,1547,1611
377.9,1473,1544
378.3,1521,1591
378.8,1578,1635
379.3,1552,1621
379.7,1516,1582
380.2,1518,1589
380.6,1573,1640
381.1,1522,1589
381.6,1533,1604
382,1519,1586
382.5,1531,1600
382.9,1540,1604
383.4,1558,1624
383.9,1490,1555
384.3,1503,1572
384.8,1517,1587
385.2,1479,1545
385.7,1476,1539
386.2,1567,1631
386.6,1511,1581
387.1,1434,1504
387.5,1540,1611
388,1548,1610
388.5,1420,1483
388.9,1571,1635
389.4,1563,1626
389.8,1539,1608
390.3,1443,1501
390.8,1532,1600
391.2,1514,1581
391.7,1499,1563
392.1,1527,1595
392.6,1493,1565
393.1,1529,1598
393.5,1470,1537
394,1579,1645
394.4,1310,1380
394.9,1536,1602
395.4,1537,1599
395.8,1564,1632
396.3,1549,1617
396.7,1501,1561
397.2,1545,1615
397.7,1489,1548
398.1,1530,1588
398.6,1411,1461
399,1561,1630
399.5,1506,1572
400,1557,1625
400.4,1552,1620
400.9,1550,1621
401.3,1550,1608
401.8,1517,1581
402.3,1511,1578
402.7,1517,1582
403.2,1527,1597
403.6,1501,1573
404.1,1504,1573
404.6,1521,1582
405,1524,1591
405.5,1533,1597
406,1502,1567
406.4,1466,1533
406.9,1558,1618
407.3,1526,1594
407.8,1510,1581
408.3,1550,1621
408.7,1370,1426
409.2,1549,1610
409.6,1516,1587
410.1,1551,1614
410.6,1547,1612
411,1500,1566
411.5,1471,1536
412,1509,1579
412.4,1565,1633
412.9,1547,1611
413.3,1573,1632
413.8,1511,1579
414.3,1500,1571
414.7,1534,1600
415.2,1539,1613
415.6,1535,1601
416.1,1515,1577
416.6,1548,1613
417,1583,1647
417.5,1480,1546
418,1548,1617
418.4,1525,1590
418.9,1341,1395
419.3,1446,1512
419.8,1548,1615
420.3,1543,1621
420.7,1463,1525
421.2,1473,1536
421.7,1543,1607
422.1,1389,1458
422.6,1494,1561
423,1540,1604
423.5,1567,1633
424,1496,1559
424.4,1489,1554
424.9,1572,1638
425.4,1554,1617
425.8,1520,1591
426.3,1425,1492
426.7,1553,1621
427.2,1544,1610
427.7,1513,1581
428.1,1493,1560
428.6,1481,1544
429.1,1558,1624
429.5,1492,1560
430,1533,1600
430.4,1603,1663
430.9,1553,1617
431.4,1515,1584
431.8,1541,1609
432.3,1535,1609
432.8,1571,1637
433.2,1468,1534
433.7,1476,1539
434.1,1540,1604
434.6,1569,1636
435.1,1472,1539
435.5,1547,1618
436,1518,1577
436.5,1494,1558
436.9,1462,1545
437.4,1512,1574
437.9,1395,1459
438.3,1529,1598
438.8,1534,1596
439.2,1554,1620
439.7,1544,1610
440.2,1381,1453
440.6,1440,1510
441.1,1546,1609
441.6,1559,1624
442,1472,1544
442.5,1567,1632
443,1536,1603
443.4,1516,1580
443.9,1487,1555
444.3,1494,1540
444.8,1532,1597
445.3,1572,1646
445.7,1377,1442
446.2,1542,1607
446.7,1549,1615
447.1,1538,1600
447.6,1526,1587
