Time,Tue Nov 26 12:24:02 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,28.73
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1449,1545
338.1,1403,1499
338.5,1564,1658
339,1439,1535
339.4,1483,1581
339.9,1367,1462
340.3,1585,1682
340.8,1583,1677
341.3,1256,1348
341.7,1482,1581
342.2,1576,1672
342.6,1455,1548
343.1,1538,1631
343.5,1560,1660
344,1564,1664
344.5,1506,1603
344.9,1496,1591
345.4,1489,1585
345.8,1477,1578
346.3,1550,1643
346.7,1531,1625
347.2,1424,1521
347.7,1519,1614
348.1,1494,1592
348.6,1344,1436
349,1571,1666
349.5,1502,1598
349.9,1567,1660
350.4,1433,1526
350.9,1503,1595
351.3,1581,1677
351.8,1529,1624
352.2,1571,1673
352.7,1470,1564
353.1,1474,1571
353.6,1542,1638
354.1,1516,1610
354.5,1425,1524
355,1432,1528
355.4,1528,1627
355.9,1533,1631
356.3,1559,1656
356.8,1513,1608
357.3,1553,1654
357.7,1506,1605
358.2,1574,1670
358.6,1520,1614
359.1,1576,1673
359.5,1524,1618
360,1497,1587
360.5,1556,1658
360.9,1522,1618
361.4,1502,1596
361.8,1571,1667
362.3,1461,1556
362.7,1453,1544
363.2,1504,1598
363.7,1556,1655
364.1,1563,1660
364.6,1547,1646
365,1416,1507
365.5,1358,1457
366,1213,1299
366.4,1438,1533
366.9,1488,1583
367.3,1549,1647
367.8,1582,1681
368.2,1581,1680
368.7,1431,1532
369.2,1506,1599
369.6,1531,1627
370.1,1541,1634
370.5,1530,1626
371,1529,1626
371.5,1424,1519
371.9,1416,1510
372.4,1500,1598
372.8,1515,1610
373.3,1527,1619
373.8,1531,1630
374.2,1563,1656
374.7,1544,1640
375.1,1496,1593
375.6,1565,1655
376,1517,1612
376.5,1459,1555
377,1552,1649
377.4,1563,1657
377.9,1471,1569
378.3,1530,1625
378.8,1601,1689
379.3,1569,1666
379.7,1524,1625
