Time,Tue Nov 26 12:24:22 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,28.95
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1449,1545
338.1,1402,1500
338.5,1565,1661
339,1438,1538
339.4,1483,1581
339.9,1365,1466
340.3,1586,1682
340.8,1584,1680
341.3,1253,1354
341.7,1482,1577
342.2,1577,1673
342.6,1455,1550
343.1,1538,1638
343.5,1561,1660
344,1565,1657
344.5,1507,1609
344.9,1497,1597
345.4,1489,1591
345.8,1477,1577
346.3,1551,1648
346.7,1531,1629
347.2,1423,1523
347.7,1519,1615
348.1,1494,1592
348.6,1343,1437
349,1572,1666
349.5,1502,1603
349.9,1568,1667
350.4,1433,1525
350.9,1503,1596
351.3,1582,1679
351.8,1530,1628
352.2,1572,1675
352.7,1470,1566
353.1,1474,1576
353.6,1543,1643
354.1,1517,1619
354.5,1424,1519
355,1431,1521
355.4,1528,1626
355.9,1533,1631
356.3,1560,1656
356.8,1513,1614
357.3,1554,1652
357.7,1506,1608
358.2,1575,1673
358.6,1521,1622
359.1,1577,1676
359.5,1525,1621
360,1497,1581
360.5,1557,1658
360.9,1522,1623
361.4,1503,1597
361.8,1572,1669
362.3,1461,1557
362.7,1453,1550
363.2,1504,1602
363.7,1557,1653
364.1,1564,1665
364.6,1548,1644
365,1415,1508
365.5,1357,1456
366,1209,1304
366.4,1438,1536
366.9,1488,1586
367.3,1550,1645
367.8,1583,1680
368.2,1582,1682
368.7,1431,1532
369.2,1506,1606
369.6,1532,1628
370.1,1541,1635
370.5,1530,1635
371,1530,1628
371.5,1424,1521
371.9,1415,1515
372.4,1501,1602
372.8,1515,1618
373.3,1527,1620
373.8,1532,1630
374.2,1564,1660
374.7,1544,1647
375.1,1497,1598
375.6,1566,1662
376,1517,1613
376.5,1458,1556
377,1553,1653
377.4,1564,1657
377.9,1471,1571
378.3,1531,1632
378.8,1603,1693
379.3,1570,1673
379.7,1524,1624
