Time,Tue Nov 26 12:21:42 2019
Serial Number,S10535
Integration time (microseconds),4000000
Sensor temperature,27.22
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1465,1526
338.1,1431,1496
338.5,1549,1612
339,1458,1513
339.4,1490,1556
339.9,1405,1465
340.3,1564,1626
340.8,1563,1624
341.3,1324,1380
341.7,1489,1546
342.2,1558,1621
342.6,1470,1532
343.1,1530,1592
343.5,1546,1610
344,1549,1609
344.5,1507,1572
344.9,1500,1566
345.4,1494,1554
345.8,1486,1546
346.3,1539,1599
346.7,1525,1592
347.2,1447,1510
347.7,1516,1581
348.1,1498,1557
348.6,1389,1451
349,1554,1608
349.5,1504,1564
349.9,1551,1612
350.4,1454,1510
350.9,1505,1569
351.3,1561,1621
351.8,1523,1588
352.2,1554,1616
352.7,1481,1541
353.1,1483,1552
353.6,1533,1599
354.1,1514,1578
354.5,1447,1511
355,1453,1512
355.4,1523,1588
355.9,1526,1590
356.3,1545,1607
356.8,1512,1575
357.3,1541,1609
357.7,1507,1574
358.2,1556,1614
358.6,1517,1581
359.1,1558,1619
359.5,1520,1584
360,1500,1554
360.5,1544,1608
360.9,1518,1583
361.4,1504,1564
361.8,1554,1617
362.3,1474,1538
362.7,1468,1526
363.2,1505,1566
363.7,1543,1601
364.1,1548,1612
364.6,1537,1601
365,1441,1497
365.5,1399,1458
366,1293,1343
366.4,1457,1524
366.9,1493,1556
367.3,1538,1602
367.8,1562,1623
368.2,1561,1624
368.7,1452,1520
369.2,1506,1570
369.6,1525,1586
370.1,1532,1593
370.5,1524,1584
371,1524,1594
371.5,1447,1507
371.9,1441,1498
372.4,1503,1558
372.8,1513,1574
373.3,1522,1583
373.8,1525,1589
374.2,1548,1603
374.7,1534,1599
375.1,1500,1563
375.6,1550,1609
376,1514,1575
376.5,1472,1537
377,1540,1597
377.4,1548,1614
377.9,1481,1542
378.3,1524,1585
378.8,1576,1628
379.3,1552,1613
379.7,1520,1582
380.2,1522,1583
380.6,1571,1628
381.1,1525,1590
381.6,1536,1594
382,1523,1588
382.5,1534,1592
382.9,1541,1602
383.4,1558,1622
383.9,1497,1561
384.3,1508,1572
384.8,1521,1584
385.2,1487,1545
385.7,1484,1548
386.2,1566,1624
386.6,1516,1576
387.1,1446,1509
387.5,1541,1608
388,1549,1609
388.5,1433,1496
388.9,1570,1628
389.4,1563,1621
389.8,1540,1605
390.3,1454,1514
390.8,1534,1595
391.2,1518,1583
391.7,1504,1566
392.1,1530,1591
392.6,1499,1563
393.1,1531,1592
393.5,1478,1541
394,1577,1637
394.4,1333,1403
394.9,1538,1601
395.4,1539,1598
395.8,1564,1628
396.3,1550,1615
396.7,1506,1569
397.2,1546,1609
397.7,1496,1549
398.1,1532,1595
398.6,1425,1480
399,1560,1620
399.5,1511,1573
400,1557,1620
400.4,1553,1614
400.9,1551,1613
401.3,1550,1613
401.8,1521,1584
402.3,1515,1578
402.7,1521,1585
403.2,1530,1594
403.6,1506,1573
404.1,1509,1577
404.6,1524,1585
405,1527,1589
405.5,1535,1592
406,1507,1570
406.4,1475,1537
406.9,1558,1621
407.3,1529,1593
407.8,1515,1577
408.3,1551,1616
408.7,1388,1444
409.2,1550,1607
409.6,1520,1579
410.1,1551,1614
410.6,1548,1607
411,1506,1569
411.5,1479,1543
412,1513,1571
412.4,1564,1627
412.9,1548,1610
413.3,1571,1628
413.8,1515,1579
414.3,1506,1573
414.7,1536,1598
415.2,1541,1607
415.6,1537,1599
416.1,1519,1577
416.6,1549,1612
417,1580,1641
417.5,1488,1544
418,1549,1614
418.4,1529,1591
418.9,1362,1420
419.3,1457,1519
419.8,1549,1611
420.3,1544,1605
420.7,1472,1533
421.2,1482,1545
421.7,1544,1608
422.1,1405,1466
422.6,1500,1562
423,1541,1602
423.5,1566,1629
424,1502,1558
424.4,1496,1557
424.9,1570,1633
425.4,1554,1613
425.8,1524,1587
426.3,1438,1500
426.7,1554,1613
427.2,1545,1606
427.7,1517,1579
428.1,1499,1566
428.6,1489,1548
429.1,1558,1619
429.5,1498,1561
430,1536,1597
430.4,1599,1657
430.9,1554,1613
431.4,1519,1579
431.8,1543,1605
432.3,1537,1601
432.8,1570,1628
433.2,1477,1537
433.7,1484,1551
434.1,1542,1603
434.6,1568,1630
435.1,1481,1544
435.5,1548,1612
436,1522,1578
436.5,1500,1567
436.9,1471,1553
437.4,1516,1572
437.9,1411,1470
438.3,1531,1596
438.8,1536,1598
439.2,1555,1618
439.7,1546,1607
440.2,1398,1462
440.6,1452,1512
441.1,1547,1613
441.6,1559,1621
442,1480,1545
442.5,1566,1624
443,1538,1602
443.4,1520,1582
443.9,1494,1555
444.3,1500,1543
444.8,1534,1600
445.3,1571,1633
445.7,1394,1459
446.2,1544,1605
446.7,1550,1603
447.1,1540,1599
447.6,1529,1588
448.1,1462,1529
448.5,1519,1579
449,1523,1587
449.5,1504,1566
449.9,1540,1607
450.4,1521,1581
450.8,1440,1502
451.3,1557,1618
451.8,1579,1647
452.2,1516,1586
452.7,1592,1650
453.2,1575,1635
453.6,1537,1600
454.1,1501,1564
454.6,1543,1606
455,1504,1569
455.5,1535,1597
456,1536,1595
456.4,1500,1564
456.9,1590,1650
457.4,1536,1608
457.8,1483,1541
458.3,1406,1462
458.7,1557,1622
459.2,1570,1633
459.7,1524,1581
460.1,1495,1558
460.6,1529,1590
461.1,1506,1572
461.5,1559,1618
462,1527,1588
462.5,1560,1625
462.9,1531,1592
463.4,1425,1484
463.9,1476,1538
464.3,1542,1600
464.8,1546,1609
465.3,1524,1589
465.7,1517,1585
466.2,1450,1511
466.7,1539,1599
467.1,1552,1617
467.6,1538,1599
468.1,1526,1585
468.5,1500,1564
469,1496,1553
469.4,1564,1631
469.9,1552,1615
470.4,1552,1614
470.8,1519,1582
471.3,1596,1658
471.8,1557,1622
472.2,1518,1584
472.7,1485,1552
473.2,1492,1554
473.6,1487,1547
474.1,1580,1639
474.6,1551,1616
475,1509,1575
475.5,1530,1593
476,1511,1575
476.4,1529,1592
476.9,1548,1611
477.4,1522,1590
477.8,1543,1608
478.3,1470,1530
478.8,1531,1591
479.2,1533,1598
479.7,1546,1609
480.2,1525,1585
480.6,1546,1607
481.1,1458,1522
481.6,1528,1592
482,1508,1570
482.5,1540,1606
483,1540,1609
483.4,1543,1609
483.9,1546,1606
484.4,1523,1587
484.8,1567,1622
485.3,1557,1619
485.8,1534,1596
486.2,1529,1594
486.7,1532,1598
487.2,1554,1619
487.6,1531,1596
488.1,1496,1558
488.6,1555,1621
489,1528,1591
489.5,1543,1605
490,1550,1610
490.4,1604,1664
490.9,1487,1548
491.4,1551,1606
491.8,1540,1607
492.3,1532,1594
492.8,1589,1649
493.2,1558,1619
493.7,1501,1570
494.2,1538,1600
494.6,1527,1589
495.1,1549,1610
495.6,1463,1529
496,1508,1572
496.5,1479,1540
497,1519,1583
497.5,1504,1565
497.9,1517,1578
498.4,1567,1629
498.9,1456,1523
499.3,1533,1598
499.8,1537,1596
500.3,1538,1599
500.7,1550,1614
501.2,1383,1440
501.7,1463,1522
502.1,1493,1558
502.6,1525,1587
503.1,1494,1550
503.5,1549,1609
504,1530,1590
504.5,1501,1566
504.9,1560,1622
505.4,1504,1561
505.9,1539,1602
506.3,1523,1579
506.8,1526,1589
507.3,1507,1567
507.8,1454,1518
508.2,1526,1588
508.7,1520,1585
509.2,1433,1500
509.6,1406,1469
510.1,1500,1563
510.6,1498,1557
511,1566,1628
511.5,1542,1606
512,1526,1588
512.4,1555,1614
512.9,1554,1618
513.4,1483,1540
513.8,1492,1553
514.3,1563,1626
514.8,1556,1616
515.3,1467,1529
515.7,1486,1550
516.2,1571,1629
516.7,1473,1542
517.1,1528,1590
517.6,1506,1565
518.1,1529,1590
518.5,1527,1587
519,1437,1494
519.5,1509,1568
519.9,1547,1606
520.4,1533,1598
520.9,1515,1582
521.4,1461,1525
521.8,1508,1568
522.3,1482,1544
522.8,1543,1610
523.2,1468,1533
523.7,1521,1583
524.2,1392,1450
524.6,1521,1582
525.1,1570,1629
525.6,1559,1616
526,1530,1593
526.5,1531,1591
527,1542,1603
527.5,1519,1588
527.9,1531,1590
528.4,1559,1620
528.9,1544,1606
529.3,1423,1483
529.8,1566,1629
530.3,1522,1587
530.7,1545,1608
531.2,1522,1582
531.7,1528,1592
532.2,1503,1571
532.6,1539,1601
533.1,1545,1606
533.6,1527,1590
534,1548,1611
534.5,1514,1576
535,1545,1610
