Time,Tue Nov 26 10:24:42 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,28.08
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1450,1542
338.1,1406,1495
338.5,1561,1658
339,1440,1526
339.4,1483,1572
339.9,1371,1458
340.3,1581,1674
340.8,1579,1674
341.3,1264,1348
341.7,1482,1569
342.2,1572,1663
342.6,1456,1552
343.1,1535,1628
343.5,1557,1649
344,1560,1649
344.5,1505,1593
344.9,1496,1595
345.4,1488,1579
345.8,1477,1573
346.3,1548,1636
346.7,1529,1621
347.2,1426,1524
347.7,1517,1604
348.1,1493,1582
348.6,1350,1441
349,1567,1657
349.5,1501,1592
349.9,1563,1656
350.4,1435,1525
350.9,1502,1592
351.3,1577,1665
351.8,1527,1620
352.2,1567,1659
352.7,1471,1563
353.1,1474,1565
353.6,1539,1631
354.1,1515,1605
354.5,1427,1517
355,1434,1524
355.4,1526,1618
355.9,1531,1623
356.3,1556,1644
356.8,1512,1605
357.3,1551,1641
357.7,1505,1597
358.2,1570,1662
358.6,1519,1613
359.1,1572,1663
359.5,1522,1613
360,1497,1589
360.5,1553,1649
360.9,1520,1611
361.4,1501,1591
361.8,1568,1657
362.3,1462,1554
362.7,1454,1540
363.2,1503,1594
363.7,1553,1642
364.1,1560,1648
364.6,1545,1639
365,1418,1505
365.5,1363,1450
366,1223,1305
366.4,1440,1530
366.9,1487,1581
367.3,1547,1637
367.8,1578,1669
368.2,1577,1668
368.7,1433,1521
369.2,1505,1600
369.6,1529,1622
370.1,1538,1631
370.5,1528,1617
371,1527,1617
371.5,1426,1512
371.9,1419,1506
372.4,1500,1593
372.8,1514,1608
373.3,1525,1612
373.8,1529,1622
374.2,1560,1652
374.7,1541,1633
375.1,1496,1587
375.6,1562,1653
376,1515,1604
376.5,1459,1554
377,1549,1636
377.4,1560,1650
377.9,1471,1562
378.3,1528,1624
378.8,1597,1686
379.3,1565,1656
379.7,1522,1609
380.2,1525,1613
380.6,1590,1698
381.1,1529,1623
381.6,1543,1634
382,1526,1614
382.5,1541,1632
382.9,1550,1645
383.4,1572,1665
383.9,1492,1576
